,y_hat
3843,False
2745,False
3486,False
3804,False
2781,False
3175,False
3523,False
3900,False
2106,False
2655,False
3862,False
2536,False
3286,False
2594,False
2828,False
2067,False
3012,False
3267,False
3078,False
3585,False
2236,False
3180,False
2193,False
2183,False
2750,False
2231,False
3495,False
2440,False
2800,False
2333,False
3186,False
3831,False
2265,False
2836,False
3541,False
2238,False
2760,False
3151,False
2039,False
2959,False
3403,False
2384,False
2179,False
2841,False
2180,False
3835,False
2949,False
2321,False
2162,False
2070,False
3449,False
3764,False
3579,False
3951,False
2761,False
2946,False
2109,False
2072,False
2354,False
3556,False
2787,False
2983,False
2901,False
3077,False
3963,False
2552,False
2850,False
3812,False
3336,False
3498,False
3035,False
2979,False
2097,False
2003,False
3619,False
2152,False
2807,False
2111,False
3278,False
3460,False
3957,False
3184,False
2335,False
3854,False
3282,False
3228,False
3415,False
2784,False
2453,False
3623,False
3998,False
2540,False
2832,False
3840,False
2005,False
2245,False
2616,False
3122,False
2982,False
2763,False
2864,False
3489,False
3933,False
3467,False
3364,False
3332,False
2202,False
2743,False
3352,False
2693,False
2420,False
2467,False
3052,False
3625,False
2857,False
2587,False
2050,False
2684,False
3618,False
3712,False
2102,False
2819,False
3737,False
2677,False
2190,False
2379,False
2708,False
3470,False
3463,False
2036,False
2458,False
2424,False
2000,False
3125,False
2320,False
3609,False
3815,False
2390,False
2955,False
2881,False
3246,False
3104,False
3023,False
3429,False
3139,False
2547,False
3920,False
2250,False
3696,False
3293,False
2364,False
2922,False
3366,False
2683,False
2802,False
2584,False
3306,False
3776,False
3705,False
2411,False
3674,False
2307,False
2590,False
2935,False
2340,False
3748,False
3050,False
2953,False
3311,False
2796,False
2278,False
3117,False
3190,False
3046,False
2085,False
3779,False
2576,False
2195,False
2720,False
2294,False
2156,False
2580,False
3801,False
2879,False
3697,False
3384,False
3302,False
3927,False
3318,False
3070,False
2426,False
3038,False
2605,False
3015,False
2866,False
2700,False
3977,False
3371,False
2146,False
3730,False
