,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.94,0.9,0.9,0.914893627166748,0.0,0.9148936170212766,0.9148936170212766,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,9,,0.8957446217536926,1.005
1,1.0,0.9,0.9,0.05000000074505806,0.04500000178813934,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,9,,0.9210000038146973,1.01
2,1.0,0.9,0.9,0.06499999761581421,0.05000000074505806,0.975,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,9,,0.9789999723434448,2.327777777777778
3,0.9,0.9,0.9,0.5722222328186035,0.0,0.5722222222222222,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,9,,0.5877777338027954,1.005
4,1.0,0.9,0.9,0.0949999988079071,0.08500000089406967,0.985,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,9,,0.9710000157356262,2.890625
5,0.96,0.9,0.9,0.8854166865348816,0.0,0.8697916666666666,0.8854166666666666,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,0,,0.7958333492279053,1.025
6,1.0,0.9,0.9,0.09000000357627869,0.07500000298023224,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,,0.9239999651908875,1.02
7,1.0,0.9,0.9,0.07000000029802322,0.05000000074505806,0.97,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,,0.9520000219345093,2.4210526315789473
8,0.95,0.9,0.9,0.6421052813529968,0.0,0.6368421052631579,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,,0.6200000047683716,1.035
9,1.0,0.9,0.9,0.08500000089406967,0.054999999701976776,0.98,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,,0.9699999690055847,2.9402173913043477
