ix,goal_cost,intv_cost
2182,1.0,0.7834000000000001
3286,1.0,0.9823000000000001
3959,1.0,0.8828
3519,1.0,0.7816000000000001
3181,1.0,0.28290000000000004
3618,1.0,0.9
2481,1.0,0.7838
3982,1.0,0.7000000000000001
2934,1.0,0.7831
3516,1.0,0.7825000000000001
3840,1.0,0.9820000000000001
2641,1.0,0.48240000000000005
2473,1.0,0.9823000000000001
2183,1.0,0.5833
2019,1.0,0.3834
3885,1.0,0.9834
3251,1.0,0.9
2094,1.0,1.0
2229,1.0,0.8826
3615,1.0,0.38230000000000003
2334,1.0,0.01
3321,1.0,1.0821
2345,1.0,0.7000000000000001
3654,1.0,0.5
2502,1.0,0.1839
2457,1.0,0.9836
2001,1.0,0.9926
2799,1.0,0.7828
2853,1.0,0.1819
3331,1.0,0.5
3857,1.0,0.7946000000000001
2560,1.0,0.7815000000000001
2841,1.0,0.9
2625,1.0,0.9
3024,1.0,0.48340000000000005
2068,1.0,0.5845
2970,1.0,0.8844000000000001
2273,1.0,0.383
3760,1.0,0.6817000000000001
2709,1.0,0.8813000000000001
2585,1.0,0.5829
2695,1.0,0.5
2869,1.0,0.3835
3255,1.0,1.0
3902,1.0,0.7818
3470,1.0,0.1821
2098,1.0,0.8
2950,1.0,0.6841
3094,1.0,0.6845
2674,1.0,1.0
3572,1.0,0.7000000000000001
3632,1.0,0.3925
3794,1.0,0.2821
2096,1.0,0.6831
3973,1.0,0.9824
3535,1.0,0.8826
2847,1.0,0.7000000000000001
3182,1.0,0.8
3273,1.0,0.7826000000000001
2953,1.0,0.9825
2222,1.0,1.01
2400,1.0,0.4818
2494,1.0,0.6826000000000001
3521,1.0,0.6924
3672,1.0,0.7836000000000001
2959,1.0,0.6832
3692,1.0,0.9832000000000001
2266,1.0,0.683
2527,1.0,1.1
3532,1.0,0.684
3612,1.0,0.5836
3297,1.0,0.8828
2514,1.0,0.881
3709,1.0,1.0
3088,1.0,0.7816000000000001
2328,1.0,1.1
3100,1.0,0.8824000000000001
2922,1.0,0.182
2430,1.0,0.8828
2563,1.0,0.2814
2440,1.0,1.11
2416,1.0,0.7829
3869,1.0,0.7931
2378,1.0,0.7827000000000001
3984,1.0,1.0833000000000002
3767,1.0,0.08320000000000001
2331,1.0,0.5937
3696,1.0,0.30000000000000004
2450,1.0,0.9
2983,1.0,0.5820000000000001
3561,1.0,0.4809
3866,1.0,0.38220000000000004
3526,1.0,1.0821
3043,1.0,0.8816
2118,1.0,0.9819
3949,1.0,0.9835
3955,1.0,0.9839
3545,1.0,0.7835000000000001
3918,1.0,0.4827
3324,1.0,0.9836
3450,1.0,0.3831
3839,1.0,0.5833
2140,1.0,0.7818
2448,1.0,0.4822
3048,1.0,0.38320000000000004
3436,1.0,0.7826000000000001
3433,1.0,0.6837000000000001
2584,1.0,0.28290000000000004
2545,1.0,0.81
2261,1.0,0.7846000000000001
2058,1.0,0.7837000000000001
2045,1.0,0.6842
2346,1.0,1.0831
3305,1.0,0.18230000000000002
3705,1.0,0.1847
3715,1.0,0.8823000000000001
3058,1.0,0.1
3360,1.0,0.7000000000000001
3768,1.0,0.48350000000000004
3216,1.0,0.38180000000000003
2070,1.0,0.5830000000000001
2341,1.0,0.8832000000000001
3849,1.0,0.48350000000000004
2577,1.0,0.7000000000000001
2896,1.0,0.8
2180,1.0,0.5824
2721,1.0,0.38270000000000004
2615,1.0,0.3814
2131,1.0,1.0836000000000001
2263,1.0,0.5938
3941,1.0,0.18330000000000002
3676,1.0,0.7852
2394,1.0,0.4828
3065,1.0,0.9
3818,1.0,0.7936000000000001
2167,1.0,0.7928000000000001
2369,1.0,0.4828
3514,1.0,0.6832
3978,1.0,1.1
2665,1.0,0.6835
2247,1.0,0.681
3128,1.0,0.8813000000000001
2575,1.0,0.7834000000000001
3229,1.0,0.4
2880,1.0,0.9
2617,1.0,0.4829
2690,1.0,0.8924000000000001
3761,1.0,1.0808
2453,1.0,0.7834000000000001
2323,1.0,0.883
2513,1.0,0.7826000000000001
2738,1.0,0.08030000000000001
3397,1.0,0.5849
2402,1.0,0.18170000000000003
3116,1.0,0.883
2357,1.0,0.7836000000000001
2337,1.0,0.9931000000000001
2260,1.0,0.48340000000000005
3005,1.0,0.9831000000000001
3315,1.0,0.18330000000000002
3960,1.0,0.6835
3928,1.0,0.7835000000000001
3079,1.0,1.0832000000000002
3382,1.0,0.5832
3349,1.0,0.6000000000000001
3160,1.0,1.0
3901,1.0,0.5832
2016,1.0,0.7000000000000001
3175,1.0,0.3825
3140,1.0,1.0826
3174,1.0,0.9835
3298,1.0,0.18150000000000002
3592,1.0,0.5832
2878,1.0,0.9833000000000001
3089,1.0,0.5828
2139,1.0,1.083
2887,1.0,0.4
2278,1.0,0.9853000000000001
2932,1.0,1.0833000000000002
2843,1.0,1.0827
2020,1.0,0.7828
2588,1.0,0.9833000000000001
3314,1.0,0.9828
2986,1.0,0.7833
3560,1.0,0.7823
2964,1.0,0.1936
2600,1.0,1.0836000000000001
2786,1.0,0.8818
2495,1.0,0.7835000000000001
2795,1.0,0.7821
3792,1.0,0.6838000000000001
3508,1.0,0.8818
3852,1.0,0.9831000000000001
2947,1.0,0.9829000000000001
3513,1.0,0.5835
2225,1.0,0.3835
3740,1.0,0.4829
3688,1.0,0.4
3053,1.0,0.3815
2184,1.0,0.782
