,years_experience,degree,nr_commits,nr_languages,nr_stars
3565,1.0,0.0,16.0,3.0,2.0
3334,0.0,0.0,5.0,4.0,4.0
3575,3.0,0.0,32.0,7.0,1.0
2655,1.0,1.0,15.0,2.0,6.0
3193,1.0,0.0,11.0,1.0,4.0
2092,2.0,0.0,23.0,0.0,6.0
2889,1.0,0.0,16.0,1.0,3.0
2837,0.0,0.0,4.0,15.0,1.0
3724,3.0,0.0,36.0,10.0,2.0
2051,2.0,0.0,25.0,3.0,4.0
3382,1.0,0.0,13.0,4.0,5.0
3783,0.0,1.0,2.0,2.0,3.0
2073,1.0,0.0,15.0,4.0,3.0
3604,0.0,2.0,6.0,6.0,6.0
2374,0.0,0.0,2.0,1.0,2.0
2962,2.0,0.0,26.0,11.0,3.0
2241,1.0,0.0,12.0,0.0,2.0
2054,2.0,0.0,25.0,1.0,8.0
3696,3.0,0.0,34.0,4.0,9.0
2334,1.0,1.0,11.0,0.0,12.0
2951,1.0,1.0,12.0,1.0,3.0
2664,2.0,0.0,26.0,3.0,5.0
3709,1.0,2.0,15.0,6.0,1.0
3237,2.0,0.0,25.0,3.0,4.0
3634,2.0,0.0,22.0,0.0,2.0
2964,1.0,0.0,13.0,0.0,9.0
2923,1.0,0.0,12.0,0.0,2.0
2040,2.0,0.0,26.0,6.0,7.0
3990,2.0,0.0,26.0,7.0,5.0
2094,0.0,2.0,3.0,8.0,1.0
2677,1.0,1.0,15.0,10.0,5.0
2876,1.0,0.0,13.0,3.0,4.0
3337,3.0,0.0,30.0,0.0,8.0
3862,0.0,3.0,2.0,5.0,10.0
3852,1.0,1.0,15.0,4.0,1.0
3854,0.0,0.0,4.0,4.0,2.0
3795,2.0,0.0,24.0,7.0,2.0
3976,0.0,2.0,2.0,2.0,2.0
2575,1.0,0.0,14.0,4.0,3.0
3516,2.0,0.0,28.0,6.0,3.0
3401,0.0,0.0,5.0,5.0,2.0
2132,1.0,0.0,14.0,9.0,2.0
3567,1.0,1.0,12.0,2.0,5.0
2178,1.0,1.0,17.0,9.0,1.0
3327,1.0,0.0,17.0,4.0,1.0
3460,2.0,0.0,22.0,2.0,3.0
3391,0.0,1.0,2.0,2.0,5.0
3991,1.0,1.0,16.0,10.0,7.0
3077,2.0,0.0,22.0,1.0,9.0
3324,1.0,1.0,15.0,6.0,1.0
2266,2.0,0.0,28.0,7.0,5.0
2189,2.0,0.0,28.0,13.0,3.0
2686,0.0,0.0,1.0,1.0,2.0
3405,1.0,0.0,16.0,6.0,4.0
3224,3.0,0.0,34.0,4.0,2.0
3221,0.0,2.0,4.0,3.0,4.0
3938,2.0,2.0,23.0,2.0,1.0
3519,3.0,0.0,35.0,4.0,3.0
3053,3.0,0.0,33.0,3.0,7.0
3532,1.0,0.0,14.0,2.0,4.0
2085,1.0,0.0,16.0,9.0,9.0
2755,2.0,0.0,23.0,3.0,5.0
2721,2.0,0.0,24.0,9.0,7.0
2513,2.0,0.0,23.0,3.0,3.0
2626,0.0,1.0,3.0,1.0,2.0
2357,1.0,1.0,12.0,3.0,3.0
2843,2.0,1.0,24.0,3.0,0.0
2749,1.0,0.0,16.0,10.0,3.0
3861,2.0,0.0,30.0,5.0,1.0
2747,1.0,0.0,10.0,0.0,3.0
2599,1.0,2.0,16.0,3.0,4.0
2058,2.0,0.0,23.0,2.0,4.0
3559,0.0,2.0,4.0,4.0,3.0
3926,4.0,0.0,42.0,2.0,2.0
2295,1.0,0.0,14.0,2.0,2.0
3473,2.0,1.0,24.0,3.0,0.0
3906,2.0,0.0,27.0,7.0,0.0
2225,1.0,0.0,15.0,6.0,7.0
