,years_experience,degree,nr_commits,nr_languages,nr_stars
2172,2.0,0.0,20.0,9.0,3.0
3723,2.0,0.0,30.0,7.0,5.0
2878,0.0,2.0,3.0,15.0,6.0
2868,3.0,0.0,34.0,2.0,5.0
2340,2.0,0.0,22.0,4.0,2.0
3080,0.0,0.0,6.0,3.0,3.0
3229,3.0,0.0,35.0,3.0,2.0
3164,2.0,0.0,23.0,4.0,1.0
2808,1.0,0.0,13.0,3.0,1.0
3358,2.0,0.0,24.0,6.0,10.0
2880,2.0,0.0,25.0,2.0,1.0
3072,0.0,3.0,9.0,4.0,14.0
3740,1.0,2.0,13.0,2.0,2.0
3092,2.0,0.0,21.0,1.0,3.0
2917,3.0,0.0,32.0,5.0,4.0
3827,1.0,0.0,16.0,1.0,8.0
2531,0.0,2.0,8.0,3.0,6.0
2284,2.0,1.0,22.0,12.0,2.0
2807,0.0,0.0,4.0,7.0,3.0
3522,2.0,1.0,24.0,1.0,9.0
2879,0.0,2.0,4.0,0.0,3.0
3839,0.0,0.0,6.0,6.0,4.0
3193,2.0,1.0,26.0,4.0,5.0
3126,2.0,0.0,24.0,1.0,3.0
2602,3.0,1.0,31.0,1.0,1.0
2120,2.0,0.0,23.0,1.0,7.0
3669,1.0,1.0,12.0,2.0,4.0
2059,3.0,0.0,36.0,2.0,3.0
2012,2.0,0.0,22.0,7.0,10.0
3414,0.0,0.0,7.0,2.0,4.0
3519,1.0,0.0,13.0,8.0,2.0
3108,0.0,1.0,8.0,4.0,4.0
3043,1.0,0.0,16.0,13.0,5.0
3407,1.0,0.0,15.0,2.0,2.0
3379,2.0,0.0,22.0,3.0,1.0
2444,0.0,3.0,2.0,0.0,3.0
2916,1.0,1.0,14.0,11.0,1.0
3223,0.0,0.0,1.0,1.0,3.0
3099,2.0,0.0,23.0,2.0,6.0
3174,2.0,0.0,23.0,3.0,3.0
3503,1.0,1.0,13.0,0.0,5.0
3787,2.0,0.0,25.0,0.0,2.0
3770,0.0,1.0,3.0,1.0,7.0
3797,1.0,0.0,15.0,5.0,10.0
2801,0.0,0.0,4.0,0.0,3.0
2577,2.0,0.0,22.0,3.0,6.0
3685,4.0,0.0,42.0,1.0,9.0
3809,0.0,2.0,5.0,8.0,7.0
3730,2.0,0.0,22.0,1.0,2.0
2998,2.0,0.0,23.0,4.0,2.0
2629,2.0,0.0,22.0,0.0,6.0
2733,1.0,1.0,15.0,15.0,5.0
2965,1.0,0.0,15.0,3.0,1.0
2500,3.0,0.0,37.0,4.0,2.0
3064,3.0,0.0,35.0,0.0,0.0
3114,2.0,0.0,24.0,1.0,6.0
3592,0.0,0.0,5.0,1.0,8.0
3818,2.0,2.0,25.0,4.0,7.0
3943,1.0,1.0,12.0,5.0,8.0
2205,3.0,0.0,32.0,2.0,6.0
3882,2.0,0.0,23.0,0.0,7.0
3381,1.0,2.0,13.0,3.0,5.0
3977,0.0,2.0,2.0,6.0,5.0
3758,3.0,0.0,36.0,4.0,5.0
2411,0.0,2.0,7.0,3.0,3.0
2662,1.0,1.0,14.0,1.0,4.0
3225,0.0,0.0,5.0,2.0,3.0
2463,1.0,2.0,12.0,2.0,1.0
3215,1.0,0.0,18.0,10.0,4.0
2817,0.0,0.0,7.0,1.0,5.0
2590,2.0,0.0,21.0,0.0,1.0
3978,2.0,0.0,28.0,9.0,3.0
2968,0.0,0.0,7.0,4.0,1.0
3941,2.0,0.0,21.0,8.0,5.0
3884,1.0,1.0,12.0,0.0,15.0
2052,2.0,0.0,25.0,4.0,5.0
3790,1.0,0.0,13.0,5.0,5.0
2116,2.0,0.0,21.0,8.0,0.0
2938,1.0,1.0,15.0,8.0,4.0
2952,2.0,1.0,23.0,4.0,4.0
2583,2.0,0.0,22.0,2.0,11.0
2898,2.0,0.0,24.0,1.0,0.0
3659,2.0,0.0,26.0,1.0,2.0
2453,1.0,0.0,12.0,4.0,4.0
3742,3.0,0.0,32.0,1.0,3.0
3007,2.0,0.0,23.0,2.0,5.0
2197,2.0,0.0,25.0,0.0,2.0
2639,0.0,1.0,5.0,6.0,4.0
3116,3.0,1.0,35.0,4.0,2.0
2574,0.0,0.0,5.0,5.0,5.0
3532,3.0,0.0,37.0,2.0,4.0
3711,0.0,1.0,4.0,1.0,1.0
3861,3.0,0.0,35.0,4.0,4.0
2942,1.0,0.0,13.0,1.0,3.0
2944,0.0,2.0,4.0,18.0,7.0
3841,1.0,0.0,17.0,2.0,2.0
3438,1.0,0.0,11.0,6.0,6.0
2214,2.0,0.0,23.0,2.0,5.0
3550,0.0,2.0,7.0,2.0,14.0
2202,3.0,0.0,33.0,7.0,0.0
2276,3.0,0.0,34.0,13.0,6.0
3235,0.0,2.0,5.0,0.0,7.0
3810,0.0,0.0,5.0,8.0,1.0
3138,2.0,0.0,25.0,1.0,3.0
3652,1.0,1.0,19.0,10.0,7.0
3609,1.0,0.0,12.0,3.0,7.0
3161,2.0,0.0,22.0,4.0,1.0
2218,0.0,1.0,4.0,4.0,1.0
2291,1.0,1.0,16.0,12.0,0.0
2692,1.0,0.0,14.0,1.0,5.0
3089,2.0,0.0,22.0,6.0,1.0
3360,2.0,0.0,25.0,0.0,4.0
2934,2.0,0.0,22.0,2.0,7.0
2597,1.0,2.0,12.0,2.0,6.0
3585,0.0,0.0,4.0,3.0,3.0
3836,3.0,0.0,33.0,3.0,7.0
2204,1.0,0.0,15.0,4.0,4.0
2638,1.0,0.0,12.0,4.0,5.0
3246,3.0,0.0,32.0,1.0,2.0
2725,1.0,1.0,15.0,7.0,2.0
3280,1.0,0.0,13.0,0.0,7.0
3150,1.0,0.0,14.0,6.0,4.0
3734,0.0,2.0,2.0,7.0,8.0
3694,1.0,1.0,12.0,4.0,1.0
2314,1.0,0.0,16.0,3.0,4.0
3071,1.0,0.0,17.0,8.0,4.0
3635,1.0,0.0,14.0,10.0,9.0
2180,0.0,2.0,3.0,7.0,5.0
3944,2.0,0.0,22.0,0.0,5.0
3315,0.0,2.0,3.0,3.0,5.0
3334,2.0,0.0,28.0,5.0,9.0
3349,2.0,0.0,23.0,10.0,1.0
2665,3.0,0.0,35.0,11.0,2.0
2005,1.0,0.0,18.0,10.0,2.0
3558,2.0,2.0,26.0,3.0,3.0
2391,1.0,0.0,13.0,3.0,3.0
3715,1.0,0.0,20.0,5.0,2.0
3750,2.0,0.0,25.0,14.0,3.0
2378,1.0,0.0,11.0,11.0,7.0
2361,2.0,0.0,23.0,3.0,0.0
2036,1.0,1.0,13.0,5.0,1.0
2779,1.0,1.0,12.0,13.0,1.0
3535,0.0,2.0,3.0,2.0,1.0
3347,3.0,0.0,33.0,3.0,3.0
3572,3.0,0.0,32.0,6.0,2.0
3681,2.0,0.0,21.0,1.0,5.0
3867,1.0,0.0,15.0,13.0,3.0
2318,2.0,1.0,22.0,11.0,2.0
2633,2.0,1.0,21.0,3.0,4.0
3737,0.0,0.0,1.0,8.0,7.0
3713,1.0,2.0,15.0,4.0,4.0
2786,1.0,1.0,11.0,3.0,0.0
2185,0.0,3.0,3.0,2.0,0.0
3662,1.0,0.0,19.0,5.0,4.0
2649,0.0,0.0,4.0,13.0,4.0
3593,1.0,0.0,16.0,2.0,3.0
2380,3.0,0.0,32.0,7.0,5.0
2881,2.0,0.0,23.0,7.0,1.0
3322,1.0,0.0,14.0,2.0,6.0
3938,2.0,0.0,27.0,17.0,4.0
2759,0.0,0.0,1.0,3.0,7.0
3826,2.0,0.0,21.0,4.0,2.0
3151,3.0,0.0,31.0,11.0,4.0
2735,3.0,0.0,34.0,2.0,0.0
2130,1.0,2.0,14.0,2.0,4.0
3922,2.0,0.0,29.0,4.0,5.0
2392,0.0,2.0,4.0,4.0,3.0
3180,1.0,1.0,16.0,0.0,7.0
3714,3.0,0.0,33.0,2.0,9.0
3033,2.0,0.0,23.0,1.0,3.0
3657,2.0,0.0,26.0,3.0,3.0
3325,3.0,0.0,36.0,2.0,5.0
2404,2.0,0.0,26.0,3.0,5.0
3987,1.0,2.0,15.0,1.0,5.0
2565,1.0,0.0,14.0,5.0,6.0
3907,1.0,1.0,13.0,5.0,5.0
2563,1.0,0.0,16.0,1.0,3.0
2576,2.0,0.0,24.0,2.0,0.0
3231,3.0,0.0,36.0,2.0,7.0
2703,1.0,0.0,14.0,5.0,4.0
2181,4.0,0.0,49.0,8.0,1.0
2171,2.0,0.0,28.0,0.0,4.0
3601,2.0,0.0,26.0,3.0,1.0
2959,3.0,0.0,36.0,2.0,3.0
2350,0.0,0.0,4.0,3.0,4.0
3319,1.0,0.0,18.0,4.0,6.0
2863,1.0,0.0,17.0,2.0,6.0
2830,1.0,1.0,13.0,4.0,5.0
3517,3.0,0.0,37.0,0.0,8.0
2892,2.0,0.0,22.0,10.0,0.0
3889,1.0,0.0,13.0,2.0,15.0
2792,2.0,0.0,25.0,5.0,10.0
3775,2.0,0.0,25.0,0.0,1.0
2547,3.0,0.0,35.0,6.0,3.0
3531,0.0,0.0,5.0,2.0,0.0
3997,2.0,0.0,23.0,6.0,5.0
3243,2.0,0.0,27.0,0.0,5.0
3549,2.0,1.0,22.0,4.0,5.0
2097,0.0,3.0,5.0,6.0,0.0
2537,1.0,1.0,13.0,2.0,2.0
