,senior-level_skill
3638,0.0
3438,0.0
2260,0.0
3779,0.0
3308,0.0
3809,0.0
3138,0.0
3814,0.0
3278,0.0
2810,0.0
2590,0.0
3311,0.0
3280,0.0
2677,0.0
3546,0.0
3878,0.0
3080,0.0
2296,0.0
3522,0.0
3570,0.0
2934,0.0
3913,0.0
2474,0.0
3644,0.0
2648,0.0
3148,0.0
2746,0.0
3135,0.0
2863,0.0
2580,0.0
3126,0.0
3064,0.0
2989,0.0
3726,0.0
3314,0.0
3963,0.0
2325,0.0
3937,0.0
2592,0.0
2898,0.0
3979,0.0
2901,0.0
3324,0.0
3977,0.0
2247,0.0
3431,0.0
2435,0.0
3451,0.0
2141,0.0
2179,0.0
3525,0.0
3504,0.0
3608,0.0
2544,0.0
3666,0.0
3215,0.0
2272,0.0
2208,0.0
2397,0.0
3787,0.0
3817,0.0
3260,0.0
3506,0.0
3327,0.0
3556,0.0
3652,0.0
2055,0.0
3039,0.0
2847,0.0
2775,0.0
3416,0.0
2217,0.0
2180,0.0
2542,0.0
3268,0.0
3423,0.0
3298,0.0
2268,0.0
3407,0.0
3290,0.0
3622,0.0
2313,0.0
2786,0.0
2380,0.0
2200,0.0
3517,0.0
3662,0.0
3764,0.0
2952,0.0
2587,0.0
2630,0.0
3115,0.0
2350,0.0
2965,0.0
3824,0.0
2378,0.0
3347,0.0
2202,0.0
2116,0.0
3723,0.0
2275,0.0
2792,0.0
2134,0.0
2218,0.0
3265,0.0
3234,0.0
2464,0.0
3768,0.0
3956,0.0
2085,0.0
3577,0.0
2906,0.0
2779,0.0
3020,0.0
2103,0.0
2878,0.0
2921,0.0
2916,0.0
3572,0.0
2877,0.0
3797,0.0
2036,0.0
3960,0.0
2733,0.0
3895,0.0
3465,0.0
2567,0.0
3848,0.0
3773,0.0
2159,0.0
2956,0.0
2807,0.0
2488,0.0
3645,0.0
2500,0.0
2367,0.0
2861,0.0
3208,0.0
2530,0.0
2734,0.0
2168,0.0
3861,0.0
2373,0.0
3624,0.0
3150,0.0
3589,0.0
2893,0.0
2896,0.0
2012,0.0
3092,0.0
3988,0.0
2052,0.0
3154,0.0
2399,0.0
2124,0.0
2801,0.0
3396,0.0
2456,0.0
2172,0.0
3381,0.0
3033,0.0
2427,0.0
3315,0.0
3235,0.0
2082,0.0
3949,0.0
3978,0.0
2563,0.0
3244,0.0
3264,0.0
3810,0.0
3962,0.0
2506,0.0
2812,0.0
3071,0.0
2979,0.0
3706,0.0
2286,0.0
3225,0.0
2078,0.0
2277,0.0
2703,0.0
3123,0.0
2021,0.0
3520,0.0
3926,0.0
3849,0.0
2564,0.0
2424,0.0
2283,0.0
2312,0.0
3673,0.0
2120,0.0
3710,0.0
2991,0.0
3322,0.0
2602,0.0
3011,0.0
2303,0.0
3655,0.0
