ix,goal_cost,intv_cost
2146,1.0,0.1821
2682,1.0,0.0838
3583,1.0,0.08170000000000001
3508,1.0,0.0828
3824,1.0,0.08270000000000001
2280,1.0,0.08270000000000001
2541,1.0,0.28200000000000003
3208,1.0,0.0825
3704,1.0,0.08460000000000001
2834,1.0,0.0814
2212,1.0,0.1832
3448,1.0,0.1825
2673,1.0,0.0838
2989,1.0,0.08310000000000001
3979,1.0,0.182
3757,1.0,0.182
2962,1.0,0.0835
2611,1.0,0.08310000000000001
2033,1.0,0.08370000000000001
3086,1.0,0.0821
2407,1.0,0.08360000000000001
2220,1.0,0.084
3459,1.0,0.0838
3562,1.0,0.1827
2787,1.0,0.0833
2983,1.0,0.0847
2873,1.0,0.083
2408,1.0,0.0826
2272,1.0,0.08310000000000001
2868,1.0,0.08310000000000001
3548,1.0,0.0824
2313,1.0,0.08410000000000001
3261,1.0,0.0828
2601,1.0,0.0819
3526,1.0,0.0838
2782,1.0,0.0829
2532,1.0,0.0843
3130,1.0,0.0825
2375,1.0,0.08460000000000001
3574,1.0,0.18230000000000002
3761,1.0,0.08370000000000001
3318,1.0,0.0834
2760,1.0,0.0847
2261,1.0,0.1821
3536,1.0,0.08220000000000001
2391,1.0,0.0826
3847,1.0,0.0823
3151,1.0,0.18280000000000002
2908,1.0,0.085
2500,1.0,0.1827
2945,1.0,0.1824
2259,1.0,0.08220000000000001
3516,1.0,0.08410000000000001
3155,1.0,0.0828
2850,1.0,0.0835
3667,1.0,0.0826
3238,1.0,0.0824
2104,1.0,0.0823
3252,1.0,0.08420000000000001
3889,1.0,0.0833
2635,1.0,0.08220000000000001
3978,1.0,0.0821
2810,1.0,0.08310000000000001
2986,1.0,0.0834
2321,1.0,0.0826
2748,1.0,0.0835
3212,1.0,0.0825
2419,1.0,0.1819
2131,1.0,0.0814
3087,1.0,0.08420000000000001
2121,1.0,0.082
2696,1.0,0.08070000000000001
2405,1.0,0.08320000000000001
3755,1.0,0.08320000000000001
3671,1.0,0.0834
2496,1.0,0.28300000000000003
3323,1.0,0.08320000000000001
2111,1.0,0.08120000000000001
2402,1.0,0.0845
3088,1.0,0.083
3513,1.0,0.0826
2176,1.0,0.08320000000000001
3719,1.0,0.1829
3929,1.0,0.083
3363,1.0,0.08360000000000001
3964,1.0,0.0825
3863,1.0,0.18380000000000002
2687,1.0,0.08410000000000001
2308,1.0,0.08420000000000001
3767,1.0,0.1829
3773,1.0,0.0843
2788,1.0,0.08310000000000001
3349,1.0,0.0828
3615,1.0,0.0825
2809,1.0,0.18230000000000002
2051,1.0,0.18180000000000002
2242,1.0,0.0839
3083,1.0,0.18180000000000002
3370,1.0,0.0839
2248,1.0,0.0828
3487,1.0,0.08170000000000001
2501,1.0,0.08360000000000001
3811,1.0,0.0833
3110,1.0,0.0829
2772,1.0,0.1831
2717,1.0,0.082
2529,1.0,0.0838
2004,1.0,0.08270000000000001
3918,1.0,0.1816
3682,1.0,0.084
2207,1.0,0.0833
2653,1.0,0.085
3800,1.0,0.1834
3316,1.0,0.0825
2221,1.0,0.08410000000000001
2068,1.0,0.08310000000000001
3033,1.0,0.1825
2928,1.0,0.0843
2426,1.0,0.0844
3251,1.0,0.08220000000000001
3836,1.0,0.08360000000000001
2794,1.0,0.08320000000000001
3422,1.0,0.08220000000000001
3216,1.0,0.0824
3927,1.0,0.08320000000000001
3198,1.0,0.1824
3894,1.0,0.0848
2058,1.0,0.0819
3113,1.0,0.0825
2387,1.0,0.0847
2186,1.0,0.08310000000000001
3248,1.0,0.0819
3193,1.0,0.0835
3312,1.0,0.18380000000000002
3099,1.0,0.08310000000000001
3298,1.0,0.084
3940,1.0,0.0835
2656,1.0,0.08360000000000001
2535,1.0,0.08270000000000001
3699,1.0,0.0833
2409,1.0,0.0834
2366,1.0,0.1826
3771,1.0,0.08460000000000001
2328,1.0,0.0826
3268,1.0,0.1821
2602,1.0,0.0826
2295,1.0,0.08510000000000001
3535,1.0,0.0838
2386,1.0,0.0844
2243,1.0,0.08270000000000001
2008,1.0,0.08270000000000001
2667,1.0,0.0826
2170,1.0,0.0834
3525,1.0,0.0834
3883,1.0,0.1837
3403,1.0,0.08360000000000001
2847,1.0,0.084
3009,1.0,0.0839
3339,1.0,0.18230000000000002
2939,1.0,0.08320000000000001
3192,1.0,0.1824
2813,1.0,0.0813
3434,1.0,0.08220000000000001
2485,1.0,0.0825
3410,1.0,0.1834
3466,1.0,0.08360000000000001
2645,1.0,0.0828
2614,1.0,0.08080000000000001
3882,1.0,0.0829
3307,1.0,0.082
3392,1.0,0.0834
2609,1.0,0.0835
2509,1.0,0.084
3004,1.0,0.0839
3187,1.0,0.08360000000000001
3956,1.0,0.0844
3913,1.0,0.0843
2872,1.0,0.0839
2159,1.0,0.08270000000000001
3350,1.0,0.08270000000000001
2934,1.0,0.0833
2365,1.0,0.08270000000000001
2543,1.0,0.18230000000000002
3452,1.0,0.0844
3327,1.0,0.08270000000000001
2891,1.0,0.08420000000000001
3738,1.0,0.0826
3902,1.0,0.08310000000000001
2582,1.0,0.0826
2493,1.0,0.0849
3946,1.0,0.1836
2737,1.0,0.1827
2961,1.0,0.0845
2701,1.0,0.1839
2360,1.0,0.0826
3334,1.0,0.1826
2061,1.0,0.183
2110,1.0,0.0818
2417,1.0,0.0834
2946,1.0,0.0833
