,h_post,h_post_individualized
3795,0.6,
2228,0.6,
2008,0.6,
2757,0.6,
3859,0.6,
2165,0.6,
2414,0.6,
3126,0.6,
3133,0.6,
2616,0.6,
3782,0.6,
2711,0.6,
2176,0.6,
2453,0.6,
3828,0.6,
3799,0.6,
2456,0.6,
2252,0.6,
2596,0.6,
3387,0.6,
2583,0.6,
3781,0.6,
3299,0.6,
2356,0.6,
3559,0.6,
2027,0.6,
2350,0.6,
3380,0.6,
2169,0.6,
3293,0.7945370233129354,
2765,0.6,
3905,0.6,
2778,0.6,
2841,0.8145790554414785,
2550,0.6,
2142,0.6,
3901,0.6,
2420,0.6,
3073,0.6,
2485,0.6,
3087,0.6,
3395,0.6,
3986,0.6,
2024,0.6,
2797,0.6,
2354,0.6,
3797,0.6,
3537,0.6,
2818,0.6,
2959,0.8145790554414785,
3637,0.6,
2944,0.8145790554414785,
2635,0.6,
2934,0.6,
3018,0.6,
3809,0.6,
2306,0.6,
3576,0.6,
3487,0.6,
2348,0.6,
3047,0.6,
3152,0.6,
3209,0.6,
2895,0.6,
3925,0.6,
3171,0.6,
3863,0.9945370233129354,
2917,0.6,
3728,0.6,
3185,0.9945370233129354,
2465,0.6,
3842,0.6,
3349,0.6,
2107,0.6,
2853,0.6,
3820,0.6,
3136,0.6,
2017,0.6647760166119905,
2373,0.6,
2535,0.6,
3307,0.6,
2433,0.6,
2162,0.6,
2075,0.6,
2130,0.6,
2608,0.6,
3045,0.6,
2249,0.6,
2511,0.6,
3554,0.6,
2796,0.6,
3180,0.6,
3592,0.6,
3861,0.6,
3772,0.6,
3683,0.6,
2602,0.6,
3271,0.6,
3665,0.9945370233129354,
2831,0.6,
2619,0.6,
3886,0.6,
2196,0.6,
3627,0.6,
3436,0.6,
3716,0.6,
2984,0.6,
2950,0.6,
2283,0.6,
3257,0.6,
3975,0.6,
2325,0.6,
3230,0.6,
3156,0.6,
3422,0.6,
3280,0.6,
3510,0.6,
2439,0.6,
3014,0.6,
3999,0.6,
3544,0.6,
3352,0.6,
3166,0.9945370233129354,
2351,0.6,
2463,0.6,
3937,0.6,
2886,0.6,
3240,0.6,
2171,0.6,
3308,0.6,
2010,0.6,
3539,0.6,
3935,0.6,
3848,0.6,
3780,0.6,
3158,0.6,
2718,0.6,
3424,0.6,
3989,0.6,
2379,0.6,
3113,0.6,
2488,0.6,
2489,0.6,
2145,0.6,
2479,0.6,
2517,0.6,
3719,0.6,
2424,0.6,
2359,0.6,
3587,0.6,
2836,0.6,
2094,0.6,
2043,0.6,
3805,0.6,
3801,0.6,
2155,0.6,
3556,0.6,
3479,0.6,
3439,0.6,
3170,0.6,
2615,0.6,
2868,0.6,
3599,0.6,
2189,0.6,
2462,0.6,
2234,0.6,
2704,0.6,
3008,0.6,
2235,0.6,
2341,0.6,
3112,0.6,
3632,0.6,
2454,0.6,
2738,0.6,
2122,0.6,
2645,0.6,
3421,0.6,
3907,0.6,
3770,0.6,
2280,0.6,
3346,0.6,
3689,0.6,
2061,0.6,
2427,0.6,
3705,0.6,
3785,0.6,
3934,0.6,
3891,0.6,
3475,0.6,
2991,0.6,
3125,0.6,
3993,0.6,
3739,0.6,
3333,0.6,
3572,0.6,
3401,0.6,
2683,0.6,
2426,0.6,
3343,0.6,
3623,0.6,
