,years_experience,degree,nr_commits,nr_languages,nr_stars
3142,1.0,3.0,1012.0,8.0,20.0
3944,2.0,2.0,2024.0,3.0,12.0
3777,1.0,3.0,1013.0,6.0,18.0
2913,3.0,1.0,3033.0,10.0,13.0
2220,4.0,0.0,4042.0,5.0,12.0
3383,3.0,1.0,3036.0,7.0,11.0
2519,1.0,3.0,1018.0,2.0,14.0
3628,2.0,2.0,2020.0,6.0,15.0
2597,3.0,1.0,3031.0,5.0,12.0
3829,1.0,3.0,1014.0,5.0,11.0
2811,2.0,2.0,2025.0,2.0,20.0
3715,3.0,1.0,3032.0,6.0,11.0
3347,0.0,3.0,5.0,4.0,15.0
3405,1.0,3.0,1013.0,1.0,15.0
3070,4.0,0.0,46.0,1.0,1.0
3639,1.0,3.0,1013.0,6.0,12.0
3159,1.0,3.0,1012.0,10.0,17.0
3127,4.0,0.0,4048.0,1.0,16.0
3640,3.0,1.0,33.0,1.0,0.0
2975,3.0,1.0,3036.0,6.0,13.0
2888,1.0,3.0,1012.0,2.0,16.0
3262,0.0,3.0,1.0,5.0,10.0
3853,0.0,3.0,1.0,7.0,11.0
2731,3.0,1.0,33.0,3.0,3.0
3220,0.0,3.0,6.0,1.0,2.0
2400,4.0,0.0,4041.0,6.0,12.0
2892,3.0,1.0,3032.0,6.0,11.0
3382,0.0,3.0,7.0,10.0,11.0
2381,2.0,2.0,2024.0,5.0,15.0
2470,3.0,1.0,3036.0,5.0,15.0
2455,1.0,3.0,1011.0,17.0,12.0
3033,4.0,0.0,4043.0,3.0,18.0
3388,4.0,0.0,4041.0,3.0,18.0
3883,1.0,3.0,1013.0,5.0,16.0
3269,3.0,1.0,3032.0,12.0,15.0
3842,0.0,3.0,2.0,2.0,18.0
3195,2.0,2.0,2023.0,10.0,15.0
2376,1.0,3.0,1015.0,2.0,11.0
2433,1.0,3.0,1013.0,4.0,13.0
3981,4.0,1.0,4047.0,9.0,16.0
2025,1.0,3.0,1013.0,1.0,11.0
