,h_post,h_post_individualized
3279,0.6,
3966,0.6,
2296,0.6,
2825,0.8173854447439354,
3190,0.5060674235169114,
2130,0.6,
3964,0.6,
2840,0.6,
2101,0.6,
3059,0.6,
2520,0.6,
2409,0.6,
3602,0.6,
3825,0.6,
2615,0.6,
3367,0.6,
2776,0.6,
3119,0.6,
3678,0.6,
3843,0.6,
3972,0.8173854447439354,
3831,0.6,
2259,0.6,
2920,0.6,
2513,0.6,
3329,0.6,
2828,0.6,
2565,0.6,
2853,0.6,
3127,0.8173854447439354,
3180,0.6,
3777,0.6,
3842,0.6,
2494,0.8173854447439354,
3309,0.6,
3733,0.6,
2029,0.6,
2419,0.6,
3730,0.8173854447439354,
3603,0.6,
3396,0.6,
3856,0.9983555625675069,
2386,0.5060674235169114,
3017,0.6,
3176,0.6,
3988,0.6,
2059,0.6,
2323,0.6,
3357,0.8173854447439354,
3427,0.6,
2598,0.6,
3413,0.6,
2314,0.6,
2863,0.9505745030093014,
2068,0.6,
3808,0.6,
3196,0.6,
3883,0.6,
3139,0.6,
2918,0.8173854447439354,
3033,0.6,
2043,0.6,
2924,0.8173854447439354,
3573,0.6,
2464,0.9983555625675069,
2118,0.6,
2727,0.6,
3720,0.6,
3633,0.6,
3978,0.6,
3736,0.6,
2360,0.6,
2629,0.6,
2039,0.6,
2099,0.9505745030093014,
2143,0.6,
3927,0.6,
3483,0.6,
3981,0.6,
2375,0.6,
3228,0.6,
2795,0.9505745030093014,
3276,0.6,
2234,0.6,
2716,0.6,
3471,0.6,
3166,0.6,
3743,0.6,
3215,0.8173854447439354,
2214,0.6,
2147,0.6,
3695,0.6,
3425,0.6,
2867,0.6,
2527,0.6,
3893,0.6,
3755,0.6,
3068,0.6,
3126,0.6,
3388,0.9505745030093014,
2136,0.6,
3522,0.6,
2031,0.8173854447439354,
2858,0.6,
3096,0.6,
2766,0.6,
2654,0.6,
2651,0.6,
2036,0.6,
3638,0.6,
2907,0.6,
3836,0.6,
3533,0.6,
3770,0.6,
3097,0.8173854447439354,
3508,0.6365939553404715,
3394,0.6,
3521,0.6,
2751,0.6,
3140,0.6,
3395,0.6,
3529,0.6,
2556,0.6,
2866,0.6,
3110,0.6,
3795,0.6,
3422,0.6,
3599,0.6,
3944,0.6,
3006,0.6,
2038,0.6,
3466,0.9505745030093014,
2003,0.8173854447439354,
2452,0.6,
2827,0.6,
2823,0.6,
3967,0.6,
3122,0.6,
2851,0.6,
2957,0.6,
3036,0.6,
2114,0.9505745030093014,
2987,0.6,
2163,0.6,
3207,0.6,
3195,0.6,
2938,0.6,
2790,0.6,
3050,0.6,
3798,0.6,
3606,0.6,
3334,0.6,
3969,0.6,
2242,0.6,
2855,0.6,
2541,0.6,
3790,0.6,
3903,0.8173854447439354,
2216,0.6,
3925,0.6,
2145,0.6,
3747,0.9983555625675069,
2100,0.6,
3719,0.6,
3820,0.6,
3476,0.6,
2979,0.6,
2325,0.6,
2410,0.6,
3534,0.6,
3657,0.6,
3039,0.6,
2919,0.6,
2737,0.6,
2225,0.5060674235169114,
2338,0.6,
2973,0.6,
2535,0.6,
3205,0.6,
3202,0.6,
2162,0.6,
3398,0.6,
3020,0.6,
3470,0.6,
3667,0.6,
3241,0.6,
3421,0.6,
3486,0.6,
3156,0.6,
2227,0.8173854447439354,
3697,0.6,
3578,0.6,
3738,0.6,
2430,0.6,
2343,0.6,
3622,0.6,
3451,0.6,
2164,0.6,
2070,0.6,
3253,0.6,
