,h_post,h_post_individualized
3902,0.8,
2426,0.6,
2731,0.8,
3466,0.8,
2932,0.8,
3074,0.8,
3235,0.8,
2828,0.8,
3232,0.8,
3440,0.8,
3699,0.8,
2219,0.9926839683066851,
3433,0.8,
2208,0.8,
2355,0.8,
3406,0.8,
3590,0.8,
3064,0.8,
3870,0.6,
3168,0.8,
3521,0.8,
3789,0.6,
2490,0.6,
3713,0.8,
3804,0.8,
3857,0.8,
2765,0.8,
2451,0.8,
2680,0.6,
2483,0.8,
3630,0.8,
3531,0.8,
3709,0.8,
3069,0.8,
2086,0.8,
2433,0.8,
3988,0.6,
3028,0.8,
3099,0.8,
2821,0.8,
3429,0.8,
3585,0.8,
2601,0.8,
2549,0.8,
2104,0.8,
3332,0.6,
3178,0.8,
3665,0.8,
2135,0.8,
3113,0.8,
3814,0.8,
3336,0.8,
2252,0.8,
2020,0.8,
2398,0.8,
3483,0.8,
3008,0.6,
2187,0.6,
2432,0.8,
3131,0.8,
3745,0.8,
3048,0.6,
2650,0.8,
2515,0.8,
2280,0.6,
3749,0.8,
2267,0.8,
3704,0.8,
2311,0.8,
2463,0.8,
2421,0.8,
3832,0.8,
2861,0.6,
3058,0.6,
3882,0.6,
3975,0.6,
2269,0.8,
2338,0.6,
2529,0.8,
3169,0.8,
3338,0.8,
3006,0.8,
2597,0.6,
3177,0.8,
3213,0.8,
2617,0.8,
3716,0.8,
3524,1.0,
2415,0.8,
2178,0.6,
2400,0.8,
2734,0.8,
3765,0.8,
3279,0.8,
2840,0.8,
2403,0.8,
3259,0.8,
2351,0.8,
3783,0.8,
3995,0.8,
3292,0.8,
2747,0.8,
3500,0.8,
2917,0.8,
3880,1.0,
2539,0.8,
2232,0.8,
3469,0.8,
2379,0.8,
2240,0.8,
2459,0.8,
2256,0.6,
3305,0.6986932592035806,
3557,0.6,
2224,0.8,
3597,0.6,
2121,0.8,
3695,0.8,
2608,0.8,
2342,0.8,
3826,0.8,
3246,0.6,
2622,0.8,
2892,0.8,
3775,0.9926839683066851,
2592,0.8,
2440,0.6,
2842,0.8,
2473,0.6,
3352,0.8,
2044,0.6,
3036,0.8,
3313,0.6,
2984,0.8,
3771,0.8,
3838,0.8,
2225,0.8,
2378,0.8,
2809,0.8,
3795,0.8,
2516,0.8,
2782,0.8,
2695,0.6,
2998,0.6,
2434,0.8,
3128,0.6,
2587,0.6,
2579,0.6,
2204,0.6,
2763,0.8,
3918,0.8,
3884,0.8,
2333,0.6,
2556,0.8,
2126,0.6,
2491,0.8,
3925,0.8,
2530,0.8,
3867,1.0,
2469,0.8,
2307,0.8,
2471,0.8,
2022,0.8,
2952,0.8,
2512,0.8,
2492,0.6,
3829,0.8,
2484,0.8,
2184,0.8,
3846,0.6,
3721,0.8,
3559,0.6,
2193,0.6,
2668,0.8,
2566,0.8,
2920,0.8,
2965,0.8,
3001,0.8,
2690,0.8,
2583,0.8,
3265,0.8,
2962,0.6,
2551,0.8,
3643,0.8,
3501,0.8,
3282,0.8,
2222,0.8,
3614,0.8,
2059,0.8,
3361,0.8,
3025,0.6,
3904,0.8,
2092,0.8,
2231,0.8,
2783,0.6,
3694,0.8,
3657,0.8,
2774,0.8,
3858,0.8,
3012,0.6,
