,years_experience,degree,nr_commits,nr_languages,nr_stars
2994,4.0,0.0,42.0,3.0,9.0
2477,0.0,2.0,1.0,1.0,2.0
2436,2.0,0.0,24.0,0.0,4.0
2587,4.0,0.0,43.0,1.0,1.0
2255,1.0,0.0,13.0,8.0,2.0
3775,2.0,0.0,27.0,4.0,6.0
2992,2.0,0.0,26.0,2.0,2.0
3888,1.0,0.0,11.0,1.0,2.0
3648,2.0,0.0,22.0,4.0,3.0
3022,1.0,1.0,13.0,2.0,5.0
2085,1.0,0.0,13.0,0.0,4.0
2026,1.0,0.0,11.0,3.0,7.0
3017,1.0,1.0,15.0,4.0,5.0
3919,3.0,0.0,33.0,9.0,4.0
2334,1.0,0.0,11.0,0.0,0.0
3592,0.0,2.0,2.0,4.0,3.0
2067,1.0,0.0,17.0,4.0,5.0
3099,1.0,1.0,15.0,6.0,4.0
2973,1.0,1.0,15.0,2.0,8.0
2492,1.0,0.0,15.0,3.0,1.0
2588,0.0,1.0,4.0,5.0,1.0
3625,3.0,0.0,35.0,10.0,7.0
3414,1.0,0.0,14.0,7.0,1.0
3061,2.0,0.0,21.0,3.0,2.0
3489,3.0,1.0,32.0,2.0,7.0
3545,1.0,0.0,11.0,2.0,6.0
2030,2.0,1.0,25.0,2.0,0.0
3202,3.0,0.0,32.0,0.0,3.0
2224,0.0,0.0,6.0,5.0,8.0
3392,0.0,0.0,4.0,5.0,1.0
3349,0.0,0.0,9.0,7.0,2.0
3219,2.0,0.0,25.0,3.0,5.0
2687,1.0,1.0,11.0,6.0,5.0
2836,0.0,2.0,8.0,2.0,10.0
3193,1.0,0.0,11.0,4.0,6.0
2955,3.0,0.0,34.0,1.0,3.0
2921,1.0,0.0,12.0,4.0,4.0
2019,1.0,1.0,15.0,1.0,5.0
2649,2.0,1.0,25.0,5.0,2.0
3840,0.0,1.0,2.0,9.0,5.0
2922,1.0,0.0,16.0,1.0,0.0
2692,0.0,0.0,2.0,6.0,1.0
2772,3.0,0.0,37.0,2.0,3.0
3186,1.0,2.0,15.0,6.0,2.0
2442,2.0,0.0,27.0,2.0,2.0
3939,3.0,0.0,30.0,3.0,3.0
3087,0.0,2.0,2.0,2.0,2.0
3039,0.0,1.0,8.0,0.0,6.0
3197,2.0,0.0,24.0,4.0,4.0
3546,1.0,1.0,13.0,2.0,3.0
3220,1.0,0.0,11.0,5.0,3.0
2976,0.0,2.0,3.0,0.0,5.0
2387,1.0,1.0,12.0,0.0,4.0
3878,1.0,0.0,14.0,2.0,7.0
2340,2.0,0.0,26.0,8.0,9.0
3138,2.0,0.0,24.0,2.0,6.0
3688,0.0,1.0,5.0,16.0,2.0
2532,3.0,0.0,32.0,1.0,7.0
3364,2.0,1.0,26.0,1.0,2.0
3653,2.0,1.0,24.0,16.0,11.0
2624,3.0,0.0,32.0,0.0,2.0
2131,2.0,0.0,29.0,3.0,7.0
2832,3.0,0.0,34.0,2.0,3.0
3671,0.0,2.0,6.0,7.0,1.0
2930,2.0,0.0,26.0,2.0,3.0
2979,1.0,0.0,14.0,3.0,4.0
3043,1.0,0.0,17.0,2.0,1.0
3198,0.0,0.0,3.0,1.0,3.0
2301,2.0,0.0,23.0,9.0,1.0
3248,2.0,0.0,20.0,1.0,0.0
2652,2.0,0.0,25.0,10.0,2.0
2918,2.0,0.0,22.0,5.0,5.0
2062,1.0,2.0,13.0,8.0,4.0
2015,1.0,0.0,17.0,6.0,5.0
3424,0.0,0.0,4.0,0.0,7.0
2041,2.0,1.0,24.0,3.0,0.0
2858,2.0,0.0,22.0,6.0,4.0
3709,1.0,0.0,14.0,6.0,0.0
3943,3.0,0.0,32.0,3.0,1.0
2079,2.0,0.0,25.0,2.0,7.0
2392,2.0,0.0,22.0,3.0,6.0
3132,3.0,0.0,31.0,2.0,5.0
3548,1.0,0.0,15.0,3.0,6.0
3008,3.0,0.0,33.0,3.0,4.0
2025,1.0,0.0,13.0,1.0,9.0
2719,1.0,0.0,17.0,2.0,7.0
3240,1.0,0.0,13.0,1.0,5.0
3060,2.0,0.0,25.0,1.0,6.0
2592,2.0,1.0,24.0,3.0,5.0
3730,2.0,0.0,23.0,3.0,4.0
2938,2.0,1.0,25.0,0.0,0.0
2051,3.0,1.0,36.0,5.0,1.0
3554,2.0,0.0,23.0,3.0,3.0
3979,2.0,0.0,23.0,1.0,5.0
3805,0.0,3.0,1.0,2.0,3.0
2526,2.0,0.0,24.0,1.0,6.0
3604,1.0,2.0,18.0,3.0,4.0
3129,3.0,0.0,35.0,1.0,6.0
3512,2.0,0.0,21.0,3.0,1.0
3837,0.0,1.0,5.0,1.0,0.0
3534,2.0,0.0,24.0,8.0,4.0
3508,0.0,0.0,2.0,11.0,10.0
2647,3.0,0.0,34.0,18.0,5.0
2101,0.0,2.0,3.0,2.0,0.0
2400,1.0,1.0,14.0,4.0,8.0
3104,0.0,0.0,5.0,5.0,2.0
2749,2.0,0.0,25.0,1.0,7.0
2788,1.0,0.0,14.0,10.0,5.0
3902,2.0,1.0,24.0,8.0,3.0
3056,3.0,0.0,30.0,4.0,4.0
2385,2.0,0.0,23.0,15.0,1.0
3004,2.0,0.0,23.0,4.0,1.0
2205,1.0,0.0,14.0,3.0,6.0
2871,4.0,0.0,45.0,4.0,2.0
