ix,goal_cost,intv_cost
2073,1.0,0.8821000000000001
3493,1.0,0.5829
2344,1.0,0.18510000000000001
3752,1.0,0.48410000000000003
2362,1.0,0.5839000000000001
2863,1.0,0.6836
2520,1.0,0.38430000000000003
2575,1.0,0.7852
2261,1.0,1.0816000000000001
2201,1.0,0.6827000000000001
3917,1.0,0.6828000000000001
2786,1.0,0.8824000000000001
2735,1.0,0.6834
2311,1.0,1.0826
3677,1.0,0.8845000000000001
3634,1.0,0.48440000000000005
3783,1.0,0.3844
3377,1.0,0.8828
3410,1.0,0.2833
3573,1.0,0.08270000000000001
2659,1.0,0.28350000000000003
2160,1.0,0.5822
3564,1.0,0.8824000000000001
3643,1.0,0.28150000000000003
2605,1.0,0.4848
3781,1.0,0.9822000000000001
2142,1.0,0.783
2080,1.0,0.9827
2096,1.0,0.8845000000000001
3182,1.0,0.7825000000000001
2447,1.0,0.781
2448,1.0,0.8815000000000001
3623,1.0,0.48260000000000003
3528,1.0,0.7828
3964,1.0,0.6824
2634,1.0,1.0823
3775,1.0,0.5828
2991,1.0,0.3814
2041,1.0,1.1826
3739,1.0,0.5827
3886,1.0,0.3834
2459,1.0,0.8825000000000001
2404,1.0,0.9835
2277,1.0,0.7844
3628,1.0,0.0835
3551,1.0,0.28400000000000003
3967,1.0,0.1
2565,1.0,0.5818
3058,1.0,0.182
3227,1.0,0.9839
2173,1.0,1.0825
3688,1.0,0.7846000000000001
2792,1.0,0.2826
3254,1.0,0.3814
3090,1.0,0.6825
3363,1.0,0.6828000000000001
3999,1.0,0.5834
2613,1.0,0.6831
3037,1.0,0.28350000000000003
3308,1.0,0.8844000000000001
2960,1.0,0.8839
3638,1.0,0.6824
2594,1.0,0.8833000000000001
3063,1.0,0.9836
2462,1.0,0.0828
3486,1.0,0.48410000000000003
3570,1.0,0.7835000000000001
3579,1.0,0.5835
2367,1.0,1.083
3923,1.0,0.8837
2766,1.0,0.7848
2283,1.0,0.38320000000000004
2213,1.0,0.8834000000000001
3597,1.0,0.9844
2835,1.0,0.0838
2959,1.0,0.7827000000000001
3149,1.0,0.6841
2967,1.0,0.48200000000000004
3108,1.0,1.0822
2341,1.0,0.6814
2211,1.0,0.8823000000000001
3704,1.0,0.5818
2704,1.0,0.7831
3172,1.0,0.2817
2407,1.0,0.7818
2159,1.0,0.5836
2800,1.0,0.3839
2566,1.0,0.883
2401,1.0,0.8845000000000001
3520,1.0,0.7828
2799,1.0,0.6827000000000001
2658,1.0,0.08410000000000001
3488,1.0,0.3841
2351,1.0,0.9822000000000001
3356,1.0,0.7848
3511,1.0,0.2831
2174,1.0,0.9832000000000001
2406,1.0,0.6837000000000001
3875,1.0,0.8831
3682,1.0,0.9820000000000001
2964,1.0,0.3825
3631,1.0,0.7849
2109,1.0,0.9836
2022,1.0,0.8818
3751,1.0,0.784
3608,1.0,0.9830000000000001
3698,1.0,0.9825
3921,1.0,0.4827
2618,1.0,0.6848000000000001
3661,1.0,0.2832
2568,1.0,0.48310000000000003
3513,1.0,0.7821
2433,1.0,0.48100000000000004
2609,1.0,0.38320000000000004
2197,1.0,0.8826
3242,1.0,0.8812000000000001
2005,1.0,0.5825
2202,1.0,0.5838
3838,1.0,1.0833000000000002
2730,1.0,0.6817000000000001
3592,1.0,0.4839
3258,1.0,0.08360000000000001
2536,1.0,0.8822000000000001
3799,1.0,1.0834000000000001
2762,1.0,0.5828
2164,1.0,0.8836
2259,1.0,0.8827
2222,1.0,0.9834
2008,1.0,0.3821
2588,1.0,0.6835
3471,1.0,0.683
2429,1.0,0.3834
2803,1.0,0.8828
3131,1.0,0.6825
2278,1.0,0.2826
3150,1.0,0.083
2569,1.0,0.8842000000000001
3232,1.0,0.2822
3790,1.0,0.9827
2152,1.0,0.38260000000000005
3718,1.0,0.7827000000000001
2780,1.0,0.6835
2839,1.0,0.8832000000000001
3803,1.0,0.9826
2930,1.0,0.9847
2327,1.0,1.0828
3629,1.0,0.8821000000000001
2350,1.0,0.5836
2413,1.0,1.0848
2809,1.0,0.5849
2495,1.0,0.6831
2437,1.0,0.48300000000000004
2933,1.0,0.7812
3899,1.0,0.884
3022,1.0,0.8833000000000001
2776,1.0,1.0819
2652,1.0,0.8835000000000001
2847,1.0,0.8817
2860,1.0,1.0825
3419,1.0,0.7843
3934,1.0,0.1829
3177,1.0,0.6821
2693,1.0,0.7823
2970,1.0,0.6821
2910,1.0,1.0822
2326,1.0,0.2843
2808,1.0,0.682
3924,1.0,0.9836
3310,1.0,0.8836
3008,1.0,0.8834000000000001
2122,1.0,0.8829
2778,1.0,0.7822
2963,1.0,0.6823
2337,1.0,0.38320000000000004
2920,1.0,0.7815000000000001
3674,1.0,0.48300000000000004
3894,1.0,0.6828000000000001
2721,1.0,0.4838
3466,1.0,0.8835000000000001
2289,1.0,0.0834
2284,1.0,0.5824
2607,1.0,0.785
2486,1.0,0.683
3462,1.0,0.7843
3667,1.0,0.1839
2553,1.0,0.7848
2494,1.0,0.9824
3261,1.0,0.8837
3742,1.0,0.7827000000000001
2533,1.0,0.7832
2610,1.0,0.7818
3301,1.0,0.5812
3225,1.0,0.5834
3507,1.0,0.8835000000000001
2854,1.0,0.5837
2095,1.0,0.7845000000000001
3537,1.0,0.1
2132,1.0,0.5836
3001,1.0,0.5824
2826,1.0,0.48350000000000004
