,years_experience,degree,nr_commits,nr_languages,nr_stars
3191,2.0,0.0,848.0,5.0,10.0
2457,1.0,1.0,851.0,1.0,10.0
3859,2.0,0.0,851.0,1.0,10.0
2166,0.0,0.0,3.0,6.0,11.0
2929,1.0,1.0,844.0,1.0,10.0
2096,4.0,0.0,2868.0,3.0,4.0
3349,2.0,0.0,853.0,7.0,10.0
3383,3.0,0.0,846.0,7.0,10.0
3810,2.0,0.0,846.0,6.0,10.0
2694,1.0,1.0,12.0,7.0,11.0
2915,1.0,1.0,848.0,1.0,10.0
3278,2.0,0.0,851.0,5.0,10.0
2498,1.0,0.0,850.0,4.0,10.0
2002,2.0,0.0,845.0,5.0,10.0
2069,3.0,1.0,1861.0,5.0,10.0
3952,1.0,0.0,12.0,5.0,11.0
3129,1.0,2.0,845.0,1.0,10.0
3767,2.0,0.0,1855.0,5.0,10.0
3257,2.0,0.0,845.0,3.0,10.0
2930,2.0,1.0,847.0,5.0,10.0
3843,1.0,0.0,852.0,4.0,10.0
2042,1.0,2.0,849.0,2.0,10.0
2681,2.0,0.0,843.0,6.0,10.0
3716,2.0,0.0,847.0,1.0,10.0
2813,3.0,0.0,1856.0,1.0,10.0
2659,0.0,0.0,4.0,6.0,11.0
3121,3.0,0.0,854.0,5.0,10.0
2186,2.0,0.0,849.0,1.0,10.0
3690,3.0,0.0,852.0,1.0,10.0
2547,1.0,0.0,16.0,19.0,11.0
3945,1.0,1.0,850.0,6.0,10.0
3892,0.0,0.0,2.0,8.0,11.0
2187,2.0,1.0,854.0,1.0,10.0
3912,3.0,0.0,850.0,1.0,10.0
2564,1.0,0.0,851.0,4.0,10.0
3037,1.0,0.0,848.0,1.0,10.0
3499,1.0,1.0,849.0,2.0,10.0
2412,2.0,0.0,847.0,2.0,10.0
3503,0.0,2.0,2.0,4.0,11.0
3574,0.0,1.0,2.0,4.0,11.0
2601,1.0,1.0,850.0,2.0,10.0
3345,2.0,1.0,849.0,3.0,10.0
3208,2.0,0.0,847.0,5.0,10.0
2178,2.0,0.0,849.0,4.0,10.0
3430,2.0,0.0,851.0,2.0,10.0
3924,2.0,0.0,847.0,1.0,10.0
2629,2.0,0.0,848.0,1.0,10.0
3597,0.0,2.0,2.0,4.0,11.0
3626,2.0,0.0,848.0,5.0,10.0
3796,2.0,0.0,850.0,1.0,10.0
3879,2.0,0.0,845.0,9.0,10.0
2369,4.0,0.0,1859.0,2.0,2.0
2673,1.0,0.0,851.0,5.0,10.0
2225,0.0,1.0,9.0,1.0,11.0
2116,2.0,0.0,849.0,1.0,10.0
3683,0.0,2.0,4.0,2.0,11.0
3240,0.0,0.0,2.0,5.0,11.0
2977,3.0,0.0,1860.0,9.0,10.0
3921,0.0,2.0,6.0,6.0,11.0
2414,1.0,1.0,853.0,1.0,10.0
2894,1.0,1.0,844.0,1.0,10.0
2831,0.0,1.0,7.0,5.0,11.0
2788,2.0,0.0,854.0,1.0,10.0
2510,3.0,0.0,1857.0,2.0,10.0
2554,1.0,0.0,848.0,4.0,10.0
2951,1.0,0.0,846.0,5.0,10.0
2214,1.0,1.0,849.0,1.0,10.0
3858,1.0,0.0,11.0,1.0,11.0
2966,2.0,0.0,1858.0,3.0,10.0
2180,1.0,1.0,849.0,11.0,10.0
2963,2.0,0.0,844.0,2.0,10.0
2471,1.0,0.0,13.0,1.0,11.0
3963,2.0,0.0,848.0,8.0,10.0
3382,0.0,2.0,5.0,5.0,11.0
2797,1.0,1.0,850.0,1.0,10.0
2678,2.0,0.0,847.0,1.0,10.0
3693,1.0,1.0,845.0,13.0,10.0
3189,1.0,0.0,849.0,1.0,10.0
2253,3.0,0.0,1859.0,14.0,10.0
2413,1.0,1.0,844.0,3.0,10.0
2268,3.0,0.0,852.0,3.0,10.0
3425,1.0,0.0,847.0,4.0,10.0
3444,1.0,0.0,842.0,4.0,10.0
2481,3.0,0.0,1858.0,5.0,10.0
3893,2.0,0.0,852.0,7.0,10.0
3717,3.0,0.0,851.0,7.0,10.0
2210,2.0,0.0,852.0,4.0,10.0
2705,3.0,0.0,853.0,8.0,10.0
2245,2.0,0.0,851.0,8.0,10.0
2358,4.0,0.0,1857.0,0.0,2.0
3416,3.0,0.0,2869.0,3.0,10.0
3922,1.0,1.0,846.0,3.0,10.0
3669,3.0,0.0,851.0,2.0,10.0
2046,2.0,1.0,846.0,5.0,10.0
3076,0.0,0.0,4.0,2.0,11.0
2082,2.0,1.0,850.0,1.0,10.0
3326,1.0,0.0,850.0,8.0,10.0
3007,2.0,0.0,846.0,2.0,10.0
2685,1.0,0.0,846.0,4.0,10.0
2447,1.0,2.0,845.0,5.0,10.0
3179,2.0,0.0,845.0,2.0,12.0
3517,1.0,0.0,851.0,2.0,10.0
3661,1.0,0.0,845.0,7.0,10.0
3852,2.0,0.0,855.0,9.0,10.0
2003,1.0,1.0,848.0,6.0,10.0
3730,3.0,0.0,1864.0,4.0,10.0
2167,0.0,0.0,6.0,1.0,11.0
2062,2.0,1.0,845.0,9.0,10.0
2880,0.0,0.0,6.0,1.0,11.0
3841,1.0,1.0,845.0,2.0,10.0
2329,2.0,0.0,854.0,3.0,10.0
3831,2.0,1.0,854.0,10.0,10.0
3162,2.0,0.0,846.0,11.0,10.0
2640,3.0,0.0,1862.0,2.0,10.0
3939,0.0,0.0,8.0,1.0,11.0
3731,2.0,0.0,846.0,5.0,10.0
3936,1.0,1.0,850.0,5.0,10.0
3608,3.0,0.0,1853.0,7.0,10.0
3026,3.0,0.0,843.0,7.0,10.0
3525,0.0,1.0,4.0,3.0,11.0
2433,1.0,0.0,847.0,11.0,10.0
2586,1.0,2.0,16.0,1.0,11.0
2753,2.0,0.0,1859.0,8.0,10.0
3314,1.0,1.0,841.0,4.0,10.0
3550,0.0,2.0,3.0,1.0,11.0
2738,1.0,0.0,844.0,1.0,10.0
2306,1.0,1.0,848.0,1.0,10.0
3286,2.0,1.0,849.0,2.0,10.0
3863,1.0,1.0,848.0,2.0,10.0
3974,1.0,0.0,847.0,3.0,10.0
2734,0.0,2.0,5.0,2.0,11.0
