,y_hat
3814,False
2298,False
2178,False
3906,False
2052,False
3574,False
3738,False
2937,False
3378,False
3963,False
2651,False
2980,False
2788,False
2806,False
3883,False
2860,False
3550,False
3180,False
2597,False
2172,False
3786,False
2207,False
2602,False
3193,False
2069,False
3307,False
3829,False
2625,False
2253,False
3698,False
3502,False
2167,False
2518,False
2303,False
2141,False
2817,False
2194,False
2586,False
2066,False
2838,False
2797,False
2116,False
2570,False
2329,False
2193,False
3188,False
2718,False
3217,False
2837,False
3412,False
2619,False
3312,False
2057,False
2809,False
2462,False
3726,False
2879,False
2824,False
3278,False
3835,False
2051,False
2785,False
3432,False
2147,False
3693,False
3558,False
2088,False
2605,False
3831,False
2517,False
3556,False
2746,False
3971,False
2420,False
2475,False
2907,False
3023,False
2880,False
2309,False
3244,False
2121,False
2983,False
2254,False
3099,False
3921,False
3485,False
3795,False
2581,False
2100,False
2891,False
3544,False
3767,False
3637,False
3422,False
3327,False
2458,False
3155,False
2621,False
2733,False
3383,False
2954,False
3697,False
3055,False
3068,False
3912,False
2345,False
3892,False
3320,False
2269,False
2306,False
3153,False
2225,False
3727,False
2442,False
2875,False
2580,False
2018,False
2445,False
2758,False
2539,False
2873,False
3428,False
3075,False
3623,False
3416,False
2878,False
3216,False
2481,False
3918,False
2722,False
3037,False
3965,False
2734,False
2764,False
2861,False
3753,False
3456,False
2547,False
3231,False
2265,False
2537,False
3776,False
3342,False
2470,False
2779,False
2175,False
3135,False
2574,False
2128,False
3863,False
2738,False
3717,False
3785,False
2003,False
2703,False
3337,False
3929,False
2573,False
3812,False
2510,False
3689,False
2534,False
3843,False
2220,False
2022,False
3064,False
3358,False
3511,False
2767,False
3439,False
3816,False
2205,False
3524,False
2687,False
3977,False
2231,False
3710,False
2443,False
2707,False
3492,False
2202,False
3601,False
3823,False
3377,False
2894,False
3605,False
3838,False
3159,False
2604,False
3869,False
2804,False
3382,False
3323,False
2940,False
3430,False
2681,False
2036,False
2622,False
2896,False
2643,False
