,y_hat
2540,False
3029,False
3995,False
3879,False
3020,False
3398,False
2831,False
3538,False
3437,False
2265,False
2467,False
3472,False
2240,False
3532,False
3840,False
2940,False
2297,False
3350,False
2382,False
2819,False
2012,False
3206,False
3435,False
3468,False
3344,False
2458,False
2963,False
2168,False
2972,False
3951,False
2936,False
3964,False
3930,False
3904,False
3735,False
2040,False
3655,False
3391,False
2059,False
3380,False
2658,False
3265,False
3176,False
3126,False
2166,False
3821,False
3059,False
2805,False
2771,False
3156,False
2338,False
2827,False
2326,False
3574,False
2569,False
3740,False
3546,False
3056,False
2279,False
3556,False
2745,False
2199,False
3992,False
3946,False
2353,False
2938,False
2133,False
3427,False
2844,False
2414,False
3293,False
3031,False
3177,False
3404,False
3050,False
2080,False
2477,False
2471,False
3478,False
2171,False
3084,False
2681,False
2020,False
2659,False
3657,False
3345,False
2950,False
2180,False
2188,False
3276,False
2116,False
2615,False
3791,False
2502,False
2871,False
2087,False
2154,False
3831,False
3653,False
3846,False
2464,False
2836,False
3304,False
3171,False
2970,False
3994,False
3476,False
3782,False
2409,False
2531,False
2699,False
3871,False
2690,False
2317,False
3571,False
2907,False
3629,False
2987,False
2285,False
2220,False
2535,False
3309,False
3165,False
2710,False
3712,False
2394,False
2191,False
3652,False
3452,False
3209,False
2365,False
2183,False
3002,False
2543,False
3295,False
2981,False
3677,False
2526,False
3332,False
3516,False
3706,False
2808,False
2602,False
2822,False
3128,False
2238,False
3042,False
2738,False
2223,False
3081,False
2608,False
2592,False
3909,False
3514,False
3602,False
3989,False
2790,False
3173,False
2261,False
3117,False
3608,False
2782,False
3887,False
3019,False
2568,False
2149,False
2465,False
2066,False
2539,False
3000,False
2286,False
3933,False
2054,False
3790,False
3331,False
2846,False
2218,False
2532,False
3616,False
2446,False
2492,False
3801,False
3131,False
3500,False
2169,False
2334,False
2088,False
3116,False
3024,False
3026,False
3062,False
3013,False
3926,False
2124,False
2323,False
2206,False
3355,False
2691,False
2246,False
3704,False
