,senior-level_skill
3026,0.0
3754,0.0
2858,0.0
2359,0.0
2928,0.0
3798,0.0
2040,0.0
2357,0.0
2015,0.0
3916,0.0
2336,0.0
3050,0.0
2562,0.0
2368,0.0
3384,0.0
3853,0.0
2222,0.0
2094,0.0
2661,0.0
3784,0.0
2148,0.0
3866,0.0
3847,0.0
3421,0.0
2564,0.0
2974,0.0
3038,0.0
2260,0.0
2480,0.0
3452,0.0
3247,0.0
3219,0.0
2867,0.0
3586,0.0
3905,0.0
3803,0.0
3841,0.0
2066,0.0
3236,0.0
3204,0.0
3857,0.0
3702,0.0
2481,0.0
3082,1.0
2968,0.0
2762,0.0
3910,0.0
3527,0.0
2308,0.0
2617,0.0
3186,0.0
2436,0.0
2712,0.0
3257,0.0
2546,0.0
3486,0.0
2575,0.0
2490,0.0
2502,0.0
2241,0.0
2834,0.0
2824,0.0
2632,0.0
2651,0.0
2190,0.0
3280,0.0
3234,0.0
2627,0.0
2444,0.0
3805,0.0
2874,0.0
3913,0.0
2962,0.0
2131,0.0
2388,0.0
3153,0.0
3966,0.0
2600,0.0
2311,0.0
3233,0.0
3985,0.0
2141,0.0
2570,0.0
3332,0.0
3670,0.0
3885,0.0
2259,0.0
3594,0.0
2711,0.0
2191,0.0
2985,0.0
2987,0.0
2921,0.0
2270,0.0
2418,0.0
3766,0.0
2861,0.0
2378,0.0
2794,0.0
3515,0.0
2842,0.0
3500,0.0
3078,0.0
3129,0.0
3590,0.0
3429,0.0
3019,0.0
2103,0.0
3164,0.0
2166,0.0
2652,0.0
2809,0.0
2173,0.0
2675,0.0
2899,0.0
2402,0.0
3742,0.0
3614,0.0
3929,0.0
3305,0.0
3391,0.0
2722,0.0
2756,0.0
3832,0.0
3313,0.0
3442,0.0
3947,0.0
3529,0.0
3710,0.0
3522,0.0
3479,0.0
2375,0.0
2551,0.0
3259,0.0
3880,0.0
2278,0.0
2531,0.0
2060,0.0
2475,0.0
2704,0.0
2636,0.0
3619,0.0
2294,0.0
2903,0.0
2003,0.0
2932,0.0
2620,0.0
3622,0.0
3634,0.0
2885,0.0
3508,0.0
2660,0.0
3076,0.0
3954,0.0
2293,0.0
2738,0.0
3374,0.0
2918,0.0
2500,0.0
2966,0.0
3032,0.0
3462,0.0
3613,0.0
2428,0.0
3087,0.0
3312,0.0
2471,0.0
3528,0.0
3706,0.0
2078,0.0
2789,0.0
3189,0.0
3240,0.0
3705,0.0
3637,0.0
2981,0.0
3986,0.0
3779,0.0
2492,0.0
2157,0.0
3135,0.0
2405,0.0
3366,0.0
2764,0.0
2326,0.0
2159,0.0
3383,0.0
3053,0.0
2448,0.0
3494,0.0
2758,0.0
2463,0.0
2346,0.0
3944,0.0
3311,0.0
2235,0.0
3308,0.0
2374,0.0
3231,0.0
2186,0.0
