,years_experience,degree,nr_commits,nr_languages,nr_stars
3179,0.0,0.0,0.0,0.0,6.0
3906,0.0,0.0,839.0,0.0,8.0
3567,0.0,0.0,826.0,0.0,4.0
3412,0.0,0.0,832.0,0.0,4.0
3399,0.0,0.0,839.0,0.0,10.0
2284,0.0,0.0,808.0,0.0,4.0
2472,0.0,0.0,-26.0,0.0,11.0
2276,0.0,0.0,825.0,0.0,6.0
3285,0.0,0.0,833.0,0.0,6.0
3668,0.0,0.0,837.0,0.0,0.0
3199,0.0,0.0,845.0,0.0,10.0
3682,0.0,0.0,846.0,0.0,0.0
2118,0.0,0.0,827.0,0.0,0.0
2287,0.0,0.0,834.0,0.0,5.0
3981,0.0,0.0,1825.0,0.0,8.0
2906,0.0,0.0,816.0,0.0,0.0
3540,0.0,0.0,821.0,0.0,8.0
3345,0.0,0.0,0.0,0.0,8.0
2674,0.0,0.0,835.0,0.0,1.0
3508,0.0,0.0,1820.0,0.0,5.0
3384,0.0,0.0,1824.0,0.0,5.0
3431,0.0,0.0,826.0,0.0,2.0
3441,0.0,0.0,835.0,0.0,5.0
2703,0.0,0.0,1824.0,0.0,4.0
3186,0.0,0.0,833.0,0.0,8.0
3339,0.0,0.0,-1.0,0.0,9.0
3649,0.0,0.0,826.0,0.0,0.0
2094,0.0,0.0,1823.0,0.0,7.0
3651,0.0,0.0,820.0,0.0,7.0
2970,0.0,0.0,825.0,0.0,4.0
2682,0.0,0.0,824.0,0.0,7.0
3593,0.0,0.0,813.0,0.0,7.0
3286,0.0,0.0,842.0,0.0,0.0
3702,0.0,0.0,828.0,0.0,5.0
2548,0.0,0.0,813.0,0.0,6.0
2763,0.0,0.0,0.0,0.0,9.0
2947,0.0,0.0,815.0,0.0,2.0
2085,0.0,0.0,823.0,0.0,9.0
2221,0.0,0.0,1822.0,0.0,5.0
2401,0.0,0.0,817.0,0.0,1.0
2533,0.0,0.0,850.0,0.0,5.0
3129,0.0,0.0,844.0,0.0,8.0
3291,0.0,0.0,815.0,0.0,8.0
2519,0.0,0.0,826.0,0.0,9.0
3920,0.0,0.0,833.0,0.0,0.0
3666,0.0,0.0,836.0,0.0,4.0
3375,0.0,0.0,823.0,0.0,8.0
2940,0.0,0.0,824.0,0.0,6.0
3789,0.0,0.0,839.0,0.0,5.0
3767,0.0,0.0,832.0,0.0,8.0
2684,0.0,0.0,1828.0,0.0,10.0
2251,0.0,0.0,839.0,0.0,0.0
3482,0.0,0.0,822.0,0.0,6.0
2663,0.0,0.0,822.0,0.0,5.0
2726,0.0,0.0,845.0,0.0,8.0
2463,0.0,0.0,825.0,0.0,5.0
3771,0.0,0.0,0.0,0.0,5.0
2645,0.0,0.0,824.0,0.0,8.0
2257,0.0,0.0,847.0,0.0,8.0
2783,0.0,0.0,838.0,0.0,4.0
2273,0.0,0.0,0.0,0.0,9.0
3638,0.0,0.0,827.0,0.0,7.0
2603,0.0,0.0,820.0,0.0,10.0
3332,0.0,0.0,833.0,0.0,7.0
3774,0.0,0.0,808.0,0.0,10.0
3445,0.0,0.0,826.0,0.0,5.0
3183,0.0,0.0,819.0,0.0,7.0
2162,0.0,0.0,835.0,0.0,9.0
2821,0.0,0.0,827.0,0.0,5.0
3449,0.0,0.0,827.0,0.0,8.0
3798,0.0,0.0,830.0,0.0,0.0
2996,0.0,0.0,836.0,0.0,3.0
2765,0.0,0.0,833.0,0.0,6.0
3396,0.0,0.0,-9.0,0.0,4.0
3143,0.0,0.0,822.0,0.0,7.0
3957,0.0,0.0,834.0,0.0,7.0
3565,0.0,0.0,827.0,0.0,5.0
3988,0.0,0.0,826.0,0.0,2.0
2292,0.0,0.0,828.0,0.0,7.0
2199,0.0,0.0,-7.0,0.0,3.0
2476,0.0,0.0,-30.0,0.0,3.0
3182,0.0,0.0,-8.0,0.0,7.0
3085,0.0,0.0,829.0,0.0,3.0
3298,0.0,0.0,0.0,0.0,9.0
3726,0.0,0.0,820.0,0.0,4.0
3795,0.0,0.0,826.0,0.0,6.0
2899,0.0,0.0,840.0,0.0,5.0
2142,0.0,0.0,824.0,0.0,6.0
2941,0.0,0.0,811.0,0.0,9.0
3501,0.0,0.0,849.0,0.0,0.0
2459,0.0,0.0,825.0,0.0,8.0
2073,0.0,0.0,831.0,0.0,2.0
3592,0.0,0.0,-31.0,0.0,4.0
2320,0.0,0.0,-29.0,0.0,11.0
3622,0.0,0.0,820.0,0.0,4.0
2969,0.0,0.0,828.0,0.0,7.0
2019,0.0,0.0,-7.0,0.0,6.0
3534,0.0,0.0,814.0,0.0,1.0
