,years_experience,degree,nr_commits,nr_languages,nr_stars
3194,0.0,0.0,1840.0,0.0,0.0
3415,0.0,0.0,1850.0,0.0,0.0
2884,0.0,0.0,824.0,0.0,0.0
2215,0.0,0.0,835.0,0.0,2.0
2861,0.0,0.0,1832.0,0.0,0.0
3962,0.0,0.0,1858.0,0.0,0.0
3704,0.0,0.0,2833.0,0.0,0.0
2759,0.0,0.0,0.0,0.0,6.0
2732,0.0,0.0,1844.0,0.0,0.0
3329,0.0,0.0,820.0,0.0,0.0
3697,0.0,0.0,0.0,0.0,3.0
2635,0.0,0.0,1826.0,0.0,0.0
2115,0.0,0.0,0.0,0.0,3.0
2349,0.0,0.0,0.0,0.0,6.0
2467,0.0,0.0,0.0,0.0,4.0
3830,0.0,0.0,1828.0,0.0,0.0
3296,0.0,0.0,829.0,1.0,0.0
3735,0.0,0.0,827.0,0.0,0.0
2821,0.0,0.0,1836.0,0.0,0.0
3477,0.0,0.0,830.0,1.0,0.0
3629,0.0,0.0,1832.0,0.0,0.0
3906,0.0,0.0,1844.0,0.0,0.0
3017,0.0,0.0,1819.0,0.0,0.0
3964,0.0,0.0,842.0,0.0,0.0
3560,0.0,0.0,851.0,0.0,0.0
2922,0.0,0.0,1826.0,0.0,0.0
3835,0.0,0.0,1857.0,0.0,0.0
3936,0.0,0.0,1855.0,0.0,0.0
2038,0.0,0.0,1825.0,0.0,0.0
2169,0.0,0.0,816.0,0.0,0.0
2267,0.0,0.0,834.0,0.0,0.0
2110,0.0,0.0,1841.0,0.0,0.0
3038,0.0,0.0,1839.0,0.0,0.0
2288,0.0,0.0,1840.0,0.0,0.0
3304,0.0,0.0,1838.0,0.0,0.0
2355,0.0,0.0,836.0,0.0,0.0
2246,0.0,0.0,1828.0,0.0,0.0
3282,0.0,0.0,1824.0,0.0,0.0
2456,0.0,0.0,842.0,0.0,0.0
2066,0.0,0.0,820.0,0.0,0.0
2308,0.0,0.0,851.0,0.0,0.0
3230,0.0,0.0,1854.0,0.0,0.0
2158,0.0,0.0,1831.0,0.0,0.0
2150,0.0,0.0,1834.0,0.0,0.0
2696,0.0,0.0,837.0,0.0,0.0
3204,0.0,0.0,835.0,0.0,0.0
3643,0.0,0.0,1835.0,0.0,0.0
3250,0.0,0.0,1846.0,0.0,0.0
2425,0.0,0.0,1847.0,0.0,0.0
2167,0.0,0.0,0.0,0.0,7.0
3951,0.0,0.0,1821.0,0.0,0.0
3573,0.0,0.0,0.0,0.0,8.0
2079,0.0,0.0,812.0,0.0,0.0
3270,0.0,0.0,1822.0,0.0,0.0
3049,0.0,0.0,1841.0,0.0,0.0
3965,0.0,0.0,1831.0,0.0,0.0
3150,0.0,0.0,1835.0,0.0,0.0
2051,0.0,0.0,0.0,0.0,8.0
3040,0.0,0.0,847.0,0.0,0.0
2674,0.0,0.0,830.0,0.0,0.0
3320,0.0,0.0,1820.0,0.0,0.0
2444,0.0,0.0,1828.0,0.0,0.0
3880,0.0,0.0,1827.0,0.0,0.0
3171,0.0,0.0,833.0,0.0,0.0
3725,0.0,0.0,1832.0,0.0,0.0
2846,0.0,0.0,1851.0,0.0,0.0
2134,0.0,0.0,1840.0,0.0,0.0
2686,0.0,0.0,1843.0,0.0,0.0
3610,0.0,0.0,843.0,0.0,0.0
2477,0.0,0.0,836.0,0.0,0.0
3451,0.0,0.0,843.0,0.0,1.0
3132,0.0,0.0,1844.0,0.0,0.0
3091,0.0,0.0,1845.0,0.0,0.0
2479,0.0,0.0,2852.0,0.0,0.0
3117,0.0,0.0,828.0,0.0,2.0
3720,0.0,0.0,1832.0,0.0,0.0
2154,0.0,0.0,1839.0,0.0,0.0
2390,0.0,0.0,1844.0,0.0,0.0
2973,0.0,0.0,1828.0,0.0,0.0
2495,0.0,0.0,844.0,0.0,0.0
2595,0.0,0.0,1843.0,0.0,0.0
3536,0.0,0.0,1822.0,0.0,0.0
2733,0.0,0.0,1851.0,0.0,0.0
2152,0.0,0.0,1844.0,0.0,0.0
3515,0.0,0.0,1844.0,0.0,0.0
3339,0.0,0.0,1843.0,0.0,0.0
2063,0.0,0.0,1838.0,0.0,0.0
3614,0.0,0.0,823.0,0.0,0.0
2580,0.0,0.0,1844.0,0.0,0.0
2024,0.0,0.0,1849.0,0.0,0.0
2446,0.0,0.0,1861.0,0.0,0.0
3718,0.0,0.0,2822.0,0.0,0.0
3527,0.0,0.0,1829.0,0.0,0.0
3868,0.0,0.0,1824.0,0.0,0.0
3116,0.0,0.0,1819.0,0.0,0.0
3820,0.0,0.0,1848.0,0.0,0.0
3996,0.0,0.0,830.0,0.0,0.0
2142,0.0,0.0,0.0,0.0,7.0
3375,0.0,0.0,836.0,0.0,0.0
2021,0.0,0.0,856.0,1.0,0.0
2200,0.0,0.0,1825.0,0.0,0.0
2439,0.0,0.0,835.0,0.0,1.0
2113,0.0,0.0,0.0,0.0,8.0
2959,0.0,0.0,847.0,0.0,0.0
2309,0.0,0.0,1847.0,0.0,0.0
2272,0.0,0.0,1847.0,0.0,0.0
2529,0.0,0.0,1840.0,0.0,0.0
3991,0.0,0.0,1835.0,0.0,0.0
3729,0.0,0.0,1824.0,0.0,0.0
3340,0.0,0.0,828.0,0.0,0.0
2366,0.0,0.0,1844.0,0.0,0.0
2321,0.0,0.0,1848.0,0.0,0.0
2956,0.0,0.0,1842.0,0.0,0.0
3623,0.0,0.0,1848.0,0.0,0.0
2706,0.0,0.0,1846.0,0.0,0.0
2136,0.0,0.0,1844.0,0.0,0.0
2579,0.0,0.0,1839.0,0.0,0.0
2625,0.0,0.0,825.0,0.0,0.0
2968,0.0,0.0,1830.0,0.0,0.0
3738,0.0,0.0,1831.0,0.0,0.0
2721,0.0,0.0,843.0,0.0,0.0
3013,0.0,0.0,1831.0,0.0,0.0
2764,0.0,0.0,2837.0,0.0,0.0
2166,0.0,0.0,820.0,0.0,3.0
3591,0.0,0.0,1849.0,0.0,0.0
3910,0.0,0.0,0.0,0.0,6.0
3615,0.0,0.0,1827.0,0.0,0.0
3137,0.0,0.0,1830.0,0.0,0.0
3565,0.0,0.0,1844.0,0.0,0.0
3381,0.0,0.0,1841.0,0.0,0.0
3241,0.0,0.0,0.0,0.0,9.0
2561,0.0,0.0,1829.0,0.0,0.0
2346,0.0,0.0,1847.0,0.0,0.0
3321,0.0,0.0,845.0,0.0,0.0
2590,0.0,0.0,836.0,0.0,0.0
2862,0.0,0.0,1846.0,0.0,0.0
3478,0.0,0.0,1829.0,0.0,0.0
2334,0.0,0.0,1837.0,0.0,0.0
3943,0.0,0.0,834.0,0.0,0.0
3884,0.0,0.0,1858.0,0.0,0.0
