,years_experience,degree
3621,2.0,1.0
2623,1.0,3.0
3029,2.0,2.0
3725,1.0,3.0
2078,1.0,0.0
2563,0.0,1.0
3707,1.0,1.0
3941,0.0,2.0
2300,1.0,1.0
3365,1.0,1.0
3504,0.0,2.0
2203,0.0,2.0
2642,1.0,1.0
2107,3.0,1.0
3014,0.0,1.0
2249,0.0,2.0
2731,0.0,1.0
2451,1.0,3.0
2053,1.0,1.0
3722,0.0,1.0
3291,0.0,2.0
2269,0.0,2.0
3280,1.0,2.0
3216,1.0,1.0
3822,0.0,3.0
3491,0.0,2.0
3816,0.0,2.0
2306,0.0,1.0
3853,0.0,3.0
3999,0.0,3.0
3835,2.0,0.0
2081,1.0,3.0
2914,1.0,3.0
2878,0.0,2.0
3748,1.0,1.0
2510,1.0,0.0
2387,1.0,0.0
2019,1.0,1.0
2002,0.0,1.0
2969,0.0,1.0
2086,0.0,2.0
3841,2.0,2.0
2316,1.0,0.0
3821,2.0,1.0
2408,0.0,2.0
3930,2.0,2.0
3312,1.0,3.0
2586,1.0,3.0
2399,0.0,1.0
2462,3.0,0.0
2557,0.0,3.0
2786,0.0,1.0
2514,0.0,1.0
3345,1.0,0.0
3894,1.0,3.0
2944,0.0,1.0
2575,3.0,1.0
2534,0.0,1.0
2120,0.0,2.0
2157,0.0,1.0
3633,0.0,1.0
2254,0.0,1.0
2415,0.0,1.0
3758,0.0,2.0
2109,0.0,1.0
2668,0.0,1.0
3770,0.0,3.0
3627,3.0,0.0
2394,1.0,1.0
2858,1.0,3.0
2407,1.0,1.0
3212,0.0,2.0
2945,1.0,1.0
2649,1.0,1.0
3459,1.0,1.0
2605,1.0,1.0
3544,0.0,3.0
2225,1.0,0.0
3425,0.0,2.0
2992,0.0,3.0
2417,1.0,3.0
2555,1.0,3.0
3406,1.0,0.0
3698,0.0,3.0
2709,1.0,2.0
3577,0.0,3.0
3906,2.0,1.0
2354,1.0,1.0
2979,0.0,2.0
2206,0.0,1.0
2701,0.0,2.0
3978,0.0,3.0
2920,1.0,1.0
3407,0.0,2.0
2255,0.0,2.0
2273,0.0,2.0
2016,1.0,2.0
3674,1.0,1.0
2715,0.0,1.0
3466,1.0,3.0
2191,1.0,1.0
2433,1.0,1.0
3502,2.0,1.0
2917,0.0,1.0
3331,0.0,2.0
3077,0.0,3.0
3749,2.0,0.0
3836,0.0,1.0
3578,1.0,2.0
3519,1.0,2.0
3673,2.0,1.0
2293,0.0,3.0
2584,1.0,0.0
3916,1.0,3.0
3451,0.0,3.0
2133,0.0,1.0
2208,1.0,1.0
2862,0.0,1.0
2895,0.0,1.0
3602,0.0,1.0
2822,0.0,2.0
3146,1.0,1.0
3671,1.0,0.0
2846,1.0,1.0
2048,0.0,2.0
2291,0.0,1.0
2982,0.0,2.0
3213,0.0,1.0
2465,1.0,0.0
2151,0.0,1.0
3559,0.0,1.0
3471,0.0,2.0
2239,0.0,3.0
3493,1.0,3.0
2446,1.0,1.0
3276,0.0,2.0
2376,0.0,1.0
3907,0.0,1.0
2755,2.0,0.0
3818,0.0,1.0
3254,1.0,1.0
2922,1.0,1.0
2855,1.0,1.0
3355,1.0,3.0
2956,2.0,0.0
3646,0.0,3.0
3090,0.0,1.0
2711,0.0,1.0
2824,0.0,3.0
2368,0.0,2.0
2923,0.0,2.0
3539,0.0,2.0
2426,1.0,3.0
2726,0.0,2.0
2665,1.0,1.0
3866,0.0,2.0
3768,0.0,3.0
3477,1.0,0.0
2095,1.0,1.0
3354,1.0,1.0
3654,0.0,1.0
3737,0.0,3.0
2184,1.0,3.0
3543,2.0,0.0
2659,0.0,3.0
3878,0.0,3.0
2516,1.0,1.0
3649,2.0,0.0
2734,0.0,2.0
2702,0.0,1.0
2794,2.0,0.0
3870,1.0,1.0
2353,0.0,1.0
3648,2.0,1.0
2398,0.0,2.0
2474,0.0,2.0
3313,1.0,1.0
2581,1.0,3.0
2431,0.0,1.0
3767,1.0,1.0
2880,2.0,1.0
2721,1.0,0.0
2326,2.0,2.0
2238,1.0,1.0
3114,1.0,0.0
3656,1.0,1.0
3531,1.0,1.0
3635,0.0,1.0
3964,2.0,0.0
3413,0.0,3.0
3166,0.0,2.0
2138,1.0,1.0
2056,0.0,3.0
2872,0.0,1.0
2568,1.0,1.0
2015,0.0,2.0
3547,1.0,1.0
2259,0.0,3.0
2315,0.0,2.0
2776,0.0,2.0
