,y_hat
16502,False
15287,False
15007,False
15747,False
15541,False
18553,False
11155,False
17889,False
19689,False
11184,False
13965,False
18383,False
19591,False
14737,False
13087,False
16838,False
11426,False
17121,False
13580,False
11028,False
10151,False
13298,False
17185,False
17592,False
17353,False
11010,False
14297,False
17969,False
14019,False
15125,False
15670,False
19193,False
19487,False
10586,False
17811,False
13302,False
14841,False
16635,False
17915,False
17786,False
15901,False
19975,False
11034,False
14948,False
19187,False
15738,False
18919,False
14990,False
17128,False
13755,False
16398,False
13763,False
13628,False
18134,False
10495,False
11650,False
14804,False
17431,False
19080,False
10892,False
12638,False
10297,False
13005,False
18293,False
11349,False
11567,False
17588,False
15254,False
16033,False
12128,False
18346,False
15185,False
10327,False
12326,False
13481,False
11595,False
15060,False
13810,False
17782,False
12104,False
16492,False
12787,False
13143,False
16937,False
16686,False
14599,False
18917,False
18264,False
12072,False
18773,False
11319,False
17501,False
11546,False
13566,False
16644,False
10650,False
13627,False
12660,False
14952,False
11720,False
16051,False
12649,False
12070,False
14480,False
16493,False
10936,False
16214,False
10609,False
10046,False
12947,False
18531,False
14567,False
10824,False
15691,False
17792,False
10552,False
18073,False
19590,False
18185,False
15543,False
13353,False
10123,False
17101,False
16638,False
15153,False
13977,False
12377,False
14968,False
15285,False
16186,False
16223,False
14603,False
13934,False
14183,False
18469,False
16176,False
18331,False
14585,False
11041,False
10057,False
18072,False
15781,False
13093,False
16028,False
17319,False
15451,False
17686,False
16940,False
16973,False
18861,False
12844,False
10955,False
18363,False
19646,False
18449,False
11241,False
13494,False
18750,False
15875,False
12669,False
14111,False
18873,False
17137,False
11233,False
13871,False
14463,False
12639,False
19283,False
18829,False
17603,False
14023,False
11156,False
18089,False
14809,False
10055,False
19246,False
15373,False
14157,False
13993,False
16977,False
10977,False
15916,False
13171,False
14633,False
17445,False
17333,False
13747,False
15955,False
19740,False
15202,False
10103,False
10676,False
17993,False
12379,False
11148,False
13428,False
14216,False
12017,False
11620,False
11528,False
