ix,goal_cost,intv_cost
16750,1.0,0.4
12960,1.0,0.3
11264,1.0,0.2
16967,1.0,0.9
14571,1.0,0.9
19555,1.0,0.4
17780,1.0,0.1
17628,1.0,0.1
16167,1.0,0.2
17450,1.0,1.0
13578,1.0,0.1
13220,1.0,0.30000000000000004
11098,1.0,1.0
10991,1.0,0.5
16328,1.0,0.7
10480,1.0,0.7
14200,1.0,0.9
16829,1.0,0.6
10169,1.0,0.3
17840,1.0,0.5
18069,1.0,0.1
12869,1.0,0.1
18769,1.0,0.1
18912,1.0,0.2
11906,1.0,0.9
15473,1.0,0.4
14448,1.0,0.9
11925,1.0,0.1
17539,1.0,0.9
19294,1.0,0.4
19817,1.0,0.4
13706,1.0,0.9
10462,1.0,0.1
10472,1.0,0.3
10378,1.0,0.2
14877,1.0,0.9
10288,1.0,1.0
15733,1.0,0.3
10182,1.0,1.0
16543,1.0,0.8
18617,1.0,0.9
10984,1.0,0.3
13427,1.0,0.4
16856,1.0,0.2
10625,1.0,0.7
13596,1.0,0.1
18632,1.0,1.0
12477,1.0,0.9
11557,1.0,0.2
14401,1.0,0.7
12296,1.0,0.5
13416,1.0,0.9
15753,1.0,0.6
17483,1.0,0.30000000000000004
12345,1.0,0.9
13318,1.0,0.2
12415,1.0,0.4
10332,1.0,0.5
19645,1.0,0.4
17014,1.0,0.7
12257,1.0,0.7
17783,1.0,0.4
12559,1.0,1.0
12544,1.0,0.5
18064,1.0,0.6
14944,1.0,0.4
19903,1.0,0.9
16136,1.0,0.7
11516,1.0,0.3
15835,1.0,1.0
14745,1.0,0.3
17519,1.0,0.1
17998,1.0,0.3
11379,1.0,0.8
11562,1.0,0.4
10768,1.0,0.1
11371,1.0,0.5
16172,1.0,0.8
13733,1.0,0.4
16229,1.0,0.9
17856,1.0,1.0
10513,1.0,0.3
17820,1.0,0.5
18660,1.0,0.1
12773,1.0,0.8
13867,1.0,0.8
19510,1.0,0.6
18702,1.0,1.0
19065,1.0,0.1
10900,1.0,0.6
15716,1.0,0.7
12071,1.0,0.6
15207,1.0,0.3
13293,1.0,0.7
12696,1.0,1.0
13767,1.0,1.0
13965,1.0,1.0
18007,1.0,0.9
15752,1.0,0.8
11910,1.0,0.8
13373,1.0,0.8
12834,1.0,0.2
17031,1.0,0.2
13224,1.0,0.6
16514,1.0,0.1
18479,1.0,0.3
17602,1.0,0.4
10814,1.0,0.4
18467,1.0,0.7
13334,1.0,0.9
14370,1.0,0.5
11709,1.0,1.0
19893,1.0,0.4
18568,1.0,0.9
15502,1.0,0.7
17939,1.0,0.9
19527,1.0,0.30000000000000004
15419,1.0,0.1
16000,1.0,0.9
15707,1.0,0.1
10222,1.0,0.9
11483,1.0,0.2
12148,1.0,0.1
18742,1.0,0.6
19055,1.0,1.0
17958,1.0,0.8
12768,1.0,0.1
16437,1.0,0.4
11810,1.0,1.0
14290,1.0,0.8
13587,1.0,0.2
12151,1.0,0.6
10829,1.0,0.4
10360,1.0,0.1
17001,1.0,0.7
11478,1.0,0.5
11062,1.0,0.8
15380,1.0,0.8
10939,1.0,0.5
16966,1.0,0.2
14890,1.0,0.2
16956,1.0,0.3
17731,1.0,0.2
10549,1.0,0.8
19234,1.0,0.8
15780,1.0,0.9
11155,1.0,1.0
14068,1.0,0.2
10970,1.0,0.4
17972,1.0,0.1
19657,1.0,0.4
12701,1.0,0.1
12556,1.0,0.4
13411,1.0,1.0
13329,1.0,1.0
10167,1.0,0.9
10626,1.0,0.9
13907,1.0,0.3
14128,1.0,0.8
12734,1.0,0.1
17824,1.0,0.2
18208,1.0,0.4
10373,1.0,0.7
12183,1.0,0.2
18751,1.0,0.7
14386,1.0,0.9
16887,1.0,1.0
10565,1.0,0.4
19661,1.0,0.8
15728,1.0,0.5
11691,1.0,0.8
12525,1.0,0.1
13842,1.0,0.4
15608,1.0,0.2
16400,1.0,0.4
13944,1.0,0.8
19488,1.0,0.2
15453,1.0,0.3
15926,1.0,0.7
10717,1.0,0.7
11923,1.0,0.8
11124,1.0,0.8
12380,1.0,0.4
10199,1.0,0.9
19794,1.0,0.2
19967,1.0,0.4
19701,1.0,0.9
15390,1.0,0.3
17198,1.0,0.7
18735,1.0,0.9
10733,1.0,0.4
11668,1.0,0.4
16992,1.0,0.2
18413,1.0,0.6
10826,1.0,0.2
15792,1.0,0.5
13856,1.0,0.5
12025,1.0,0.7
13041,1.0,0.4
14967,1.0,0.2
