ix,goal_cost,intv_cost
11724,0.759,1.4
19164,0.8759999871253967,2.0
14806,0.7519999742507935,1.0
10753,0.777,2.1
16823,0.761,2.3
12455,0.763,1.4
19696,0.7699999809265137,1.0
12766,0.765,0.7
16722,0.754,0.8
16082,0.883,1.0
11703,0.8190000057220459,1.0
12454,0.8320000171661377,2.0
13234,0.874,1.1
15807,0.752,1.1
14581,0.76,1.4
18419,0.763,0.8
15865,0.753,1.5
11818,0.759,0.1
11111,0.764,1.1
16073,0.764,1.2
16683,0.755,0.6
14287,0.8989999890327454,1.0
18759,0.773,0.7
18202,0.756,1.1
19987,0.8830000162124634,2.0
13382,0.7540000081062317,0.0
11178,0.754,0.7
12808,0.890999972820282,1.0
13098,0.758,2.0
10229,0.8069999814033508,2.0
13018,0.8939999938011169,1.0
17536,0.888,1.0
19845,0.897,1.0
18279,0.8119999766349792,1.0
11240,0.771,0.1
18405,0.878000020980835,1.0
12566,0.9139999747276306,1.0
14736,0.763,0.3
11933,0.8299999833106995,1.0
12744,0.8190000057220459,1.0
17850,0.943,1.2
16373,0.8849999904632568,2.0
15487,0.7789999842643738,1.0
11483,0.911,2.1
13368,0.861,2.1
11742,0.8759999871253967,1.0
16355,0.8479999899864197,1.0
13415,0.8700000047683716,1.0
19508,0.792,1.8
17264,0.753,1.2
11556,0.8889999985694885,1.0
19438,0.9160000085830688,1.0
14753,0.9179999828338623,1.0
17107,0.8,1.0
16155,0.77,1.1
12752,0.8999999761581421,1.0
18277,0.9110000133514404,1.0
15130,0.8330000042915344,2.0
12096,0.8289999961853027,1.0
14276,0.781,1.7
12491,0.8820000290870667,1.0
13979,0.769,1.7
16754,0.9440000057220459,2.0
16280,0.766,1.7
15488,0.819,1.0
13237,0.7519999742507935,1.0
14612,0.7630000114440918,1.0
11827,0.785,3.5
13929,0.751,1.2
18801,0.761,1.1
15536,0.943,1.0
18135,0.765999972820282,0.0
10884,0.8429999947547913,0.0
18558,0.764,1.0
17030,0.781000018119812,1.0
17171,0.8190000057220459,1.0
18797,0.8130000233650208,0.0
16240,0.8489999771118164,1.0
15293,0.9020000100135803,1.0
14783,0.9049999713897705,1.0
19898,0.852,2.1
17798,0.7540000081062317,1.0
14450,0.7580000162124634,1.5
17939,0.9539999961853027,2.0
18791,0.8339999914169312,1.0
11532,0.8019999861717224,0.0
15241,0.9010000228881836,2.0
11870,0.826,1.0
16904,0.8339999914169312,1.0
14404,0.9359999895095825,1.0
18002,0.771,2.3
13331,0.755,1.4
14517,0.773,1.1
15450,0.7919999957084656,1.0
19240,0.906000018119812,1.0
13260,0.759,0.4
13280,0.77,1.1
18068,0.849,1.0
12272,0.8809999823570251,2.0
11289,0.9369999766349792,1.0
11976,0.845,1.0
18580,0.9200000166893005,1.0
14263,0.908,1.0
19685,0.9300000071525574,1.0
12947,0.8899999856948853,1.0
14264,0.874,1.0
19053,0.7540000081062317,0.5
13492,0.753,0.4
17595,0.9290000200271606,2.0
19887,0.765,1.2
16083,0.8679999709129333,1.0
14484,0.927,2.1
15554,0.9300000071525574,2.0
10937,0.8999999761581421,1.0
19418,0.7720000147819519,1.0
19097,0.752,1.3
19711,0.8859999775886536,1.0
14356,0.9200000166893005,2.0
17162,0.77,2.0
16255,0.921999990940094,1.0
16708,0.8960000276565552,1.0
10284,0.76,1.1
17616,0.751,1.4
14937,0.766,1.2
17824,0.766,1.2
11016,0.759,1.6
14133,0.8140000104904175,0.0
13427,0.8870000243186951,1.0
10719,0.828000009059906,1.0
13377,0.871,1.1
19425,0.751,1.4
14040,0.766,0.3
16128,0.9399999976158142,2.0
13688,0.8849999904632568,1.0
13671,0.925000011920929,1.0
13716,0.8579999804496765,1.0
14538,0.8500000238418579,2.0
16981,0.8899999856948853,1.0
12884,0.771,1.9
17707,1.0,0.0
15735,0.8429999947547913,0.0
16200,0.9290000200271606,1.0
19956,0.925000011920929,2.0
10758,0.8949999809265137,1.0
14351,0.7889999747276306,1.0
10163,0.751,1.1
13185,0.8830000162124634,1.0
19694,0.9020000100135803,2.0
17130,0.9120000004768372,1.0
12761,0.779,1.0
16166,0.758,1.7
17802,0.871999979019165,1.0
12078,0.761,1.8
13470,0.758,0.9
11024,0.828000009059906,1.0
13959,0.806,3.0
15166,0.8100000023841858,2.0
13376,0.8080000281333923,1.0
12615,0.8130000233650208,2.0
18829,0.769,1.5
14251,0.757,1.1
19476,0.904,0.1
17329,0.847000002861023,1.0
18023,0.8560000061988831,2.0
14558,0.8399999737739563,1.0
18151,0.76,1.2
14652,0.9990000128746033,0.0
19586,0.761,1.2
17759,0.906000018119812,1.0
12219,0.753,1.3
16282,0.781000018119812,1.5
13256,0.9089999794960022,1.0
13677,0.815,1.0
18514,0.9959999918937683,0.0
15447,0.767,3.2
13317,0.756,1.8
15174,0.834,1.1
19482,1.0,0.0
15044,0.9589999914169312,1.0
13153,0.756,2.6
10612,0.757,1.5
18734,0.8619999885559082,2.0
18006,0.9210000038146973,2.0
11394,0.798,1.0
19307,0.7680000066757202,1.0
16042,0.906000018119812,1.0
10204,0.8709999918937683,1.0
12500,0.921999990940094,1.0
15563,0.8169999718666077,1.0
19200,0.946,1.1
18884,0.8740000128746033,1.0
17311,0.751,1.1
13920,0.7710000276565552,1.0
14070,0.795,2.0
13790,0.752,0.4
13010,0.79,1.0
16646,0.831,2.0
14673,0.9309999942779541,2.0
18362,0.93,1.0
13351,0.902999997138977,1.0
