,h_post,h_post_individualized
11815,0.00042018313626975256,
11319,1.0,
16553,0.0,
14779,1.0,
19088,0.0,
19186,0.8236009159015628,
17656,0.8236009159015628,
18666,0.0,
12111,0.8236009159015628,
12153,0.963973250628031,
17020,1.0,
10164,1.0,
14965,1.0,
17353,1.0,
13502,1.0,
15009,0.963973250628031,
19658,1.0,
13089,0.18882580232671284,
16486,0.0,
14929,1.0,
12914,0.4004201831362698,
10758,0.00042018313626975256,
12424,1.0,
18336,1.0,
16697,1.0,
18054,1.0,
19265,0.0,
10262,0.963973250628031,
11598,0.0,
19148,1.0,
14660,0.00042018313626975256,
11174,0.0,
13669,0.0,
19258,1.0,
14473,0.0,
12133,1.0,
15128,0.0,
17622,0.0,
19398,0.00042018313626975256,
11877,0.0,
18890,0.8236009159015628,
12866,0.0,
15088,0.2,
11634,1.0,
17035,0.0,
16514,0.18882580232671284,
15501,0.00042018313626975256,
16401,0.0,
15475,1.0,
13031,0.00042018313626975256,
18642,0.0,
10318,0.0,
15152,1.0,
19289,0.0,
10715,0.18882580232671284,
17716,1.0,
17511,1.0,
13091,0.0,
14870,1.0,
18206,0.0,
14723,1.0,
17995,1.0,
11661,0.0,
16347,1.0,
15996,1.0,
12995,1.0,
13874,1.0,
14183,0.8236009159015628,
12598,0.00042018313626975256,
14125,0.0,
18485,0.0,
15586,1.0,
17396,0.0,
17407,1.0,
10156,0.00042018313626975256,
11537,0.0,
11983,0.8236009159015628,
12319,1.0,
12788,0.0,
12615,0.00042018313626975256,
12725,0.00042018313626975256,
18379,1.0,
12567,1.0,
13003,0.2,
12893,1.0,
16428,0.18882580232671284,
18383,1.0,
18881,1.0,
16407,1.0,
11427,0.3357988312515932,
16754,0.0,
15424,0.0,
17843,0.05678891686011269,
18978,1.0,
10214,0.00042018313626975256,
12890,0.00042018313626975256,
19509,1.0,
17655,0.0,
12477,0.00042018313626975256,
11812,0.0,
16985,1.0,
17192,0.0,
10225,1.0,
16419,1.0,
13164,0.0,
14688,0.0,
16200,0.00042018313626975256,
12933,0.0,
11560,0.00042018313626975256,
12618,0.0,
13690,1.0,
19312,0.0,
14489,1.0,
18197,0.0,
17587,0.963973250628031,
19000,0.0,
19639,0.0,
19733,0.0,
13273,1.0,
17408,1.0,
13614,1.0,
18049,1.0,
11104,0.00042018313626975256,
14812,0.1971612515865808,
14347,1.0,
15786,1.0,
12953,1.0,
16678,0.0,
11673,1.0,
15077,1.0,
16700,0.0,
16155,1.0,
15732,0.0,
18223,1.0,
18265,0.18882580232671284,
14123,0.0,
11246,1.0,
10382,0.0,
10395,1.0,
16930,0.0,
12194,0.0,
10649,0.0,
14672,1.0,
11275,1.0,
14194,0.963973250628031,
18537,0.0,
10741,0.8236009159015628,
12119,0.8236009159015628,
13526,1.0,
17429,1.0,
16642,0.00042018313626975256,
18136,0.0,
13897,0.0,
14938,1.0,
14313,0.0,
15166,0.0,
19893,0.8236009159015628,
18705,0.0,
19091,1.0,
14807,1.0,
11915,0.0,
18400,0.0,
14069,0.0,
18196,0.00042018313626975256,
13750,1.0,
15927,1.0,
17861,0.8236009159015628,
11516,1.0,
14732,1.0,
16538,0.0,
19404,0.0,
13379,0.963973250628031,
10734,0.8236009159015628,
14108,0.00042018313626975256,
16980,1.0,
11000,1.0,
16940,1.0,
18344,1.0,
17477,1.0,
19986,0.0,
12191,0.00042018313626975256,
14615,1.0,
19958,1.0,
15035,1.0,
10445,1.0,
19370,1.0,
11157,0.18882580232671284,
17732,0.0,
17075,1.0,
18544,0.18882580232671284,
13115,0.05678891686011269,
16377,1.0,
18505,0.0,
16365,0.00042018313626975256,
12487,1.0,
17261,1.0,
11519,0.0,
16464,1.0,
15822,1.0,
12328,1.0,
