ix,goal_cost,intv_cost
14562,1.0,1.0
10032,1.0,0.3
17965,1.0,0.2
12963,1.0,0.2
14578,1.0,0.7
17772,1.0,0.9
10687,1.0,0.7
15985,1.0,1.0
18160,1.0,0.9
11935,1.0,0.2
19439,1.0,0.9
12472,1.0,0.2
11909,1.0,0.6
11757,1.0,0.4
17708,1.0,0.3
15329,1.0,0.4
17124,1.0,1.0
16422,1.0,1.0
16627,1.0,1.0
19813,1.0,0.3
17658,1.0,0.5
15865,1.0,0.4
10491,1.0,0.6
15258,1.0,0.2
15321,1.0,0.5
16620,1.0,0.5
11022,1.0,0.7
17995,1.0,0.6
19925,1.0,0.8
13008,1.0,0.3
13602,1.0,1.0
10765,1.0,0.8
12642,1.0,0.8
17734,1.0,0.6
15856,1.0,0.7
19168,1.0,0.5
15060,1.0,0.2
14376,1.0,0.5
13228,1.0,0.6
12888,1.0,0.9
18130,1.0,0.9
16086,1.0,0.9
15912,1.0,0.7
12173,1.0,0.3
14998,1.0,0.4
15103,1.0,0.2
12326,1.0,0.2
15067,1.0,0.6
13986,1.0,0.2
19248,1.0,0.6
17997,1.0,0.6
18721,1.0,0.1
17788,1.0,0.7
10987,1.0,0.2
17860,1.0,0.1
12149,1.0,0.3
15374,1.0,0.5
15461,1.0,0.6
17872,1.0,0.8
13532,1.0,0.5
17685,1.0,0.4
18386,1.0,0.7
13943,1.0,0.2
12220,1.0,0.8
18320,1.0,0.7
11155,1.0,1.0
14800,1.0,0.3
18369,1.0,0.2
17103,1.0,0.7
10006,1.0,0.2
10712,1.0,0.2
10703,1.0,0.7
12808,1.0,0.3
19909,1.0,0.6
18957,1.0,1.1
15612,1.0,0.4
17833,1.0,0.7
12618,1.0,1.0
16978,1.0,0.6
19760,1.0,0.7
19963,1.0,0.8
19045,1.0,0.8
19091,1.0,0.9
13260,1.0,0.5
16177,1.0,0.6
10878,1.0,0.7
19420,1.0,1.1
10879,1.0,0.7
17792,1.0,0.3
18303,1.0,0.1
19345,1.0,1.0
10864,1.0,0.6
13422,1.0,0.5
18300,1.0,0.7
12869,1.0,0.8
19384,1.0,0.2
19710,1.0,0.4
10408,1.0,0.7
17904,1.0,0.4
18823,1.0,0.9
10144,1.0,0.6
13951,1.0,0.2
17374,1.0,0.9
15941,1.0,0.1
10086,1.0,0.7
10676,1.0,1.0
15973,1.0,0.1
17628,1.0,0.4
16454,1.0,0.8
14596,1.0,0.1
11078,1.0,0.4
14325,1.0,0.2
15080,1.0,0.6
17829,1.0,0.6
16261,1.0,0.8
19778,1.0,0.8
19942,1.0,0.6
18896,1.0,0.3
15181,1.0,1.0
18333,1.0,0.1
15911,1.0,0.6
10642,1.0,0.8
12635,1.0,1.0
11567,1.0,0.7
17524,1.0,0.7
15436,1.0,0.1
15994,1.0,0.3
10670,1.0,0.9
17272,1.0,1.0
11165,1.0,0.2
13398,1.0,0.4
14922,1.0,0.9
15028,1.0,0.7999999999999999
17808,1.0,0.8
13408,1.0,0.3
12839,1.0,0.3
19803,1.0,0.5
17012,1.0,0.5
13499,1.0,0.4
10641,1.0,0.9
15527,1.0,1.0
11609,1.0,0.6
19561,1.0,1.0
13443,1.0,0.5
11530,1.0,1.0
18107,1.0,0.2
18454,1.0,0.3
11040,1.0,1.0
16719,1.0,0.8
19564,1.0,0.2
17817,1.0,0.9
11907,1.0,0.6
17934,1.0,0.4
15353,1.0,0.9
12715,1.0,0.6
14157,1.0,0.3
11630,1.0,0.4
15357,1.0,0.5
14239,1.0,0.2
10932,1.0,0.3
19784,1.0,0.9
10717,1.0,0.3
19774,1.0,1.0
19729,1.0,0.7999999999999999
17667,1.0,0.6
15483,1.0,0.5
14769,1.0,0.1
15512,1.0,0.1
15472,1.0,0.1
12179,1.0,0.9
16812,1.0,1.0
15327,1.0,0.5
12899,1.0,0.4
10924,1.0,0.8
12948,1.0,0.6
19037,1.0,0.4
10069,1.0,0.9
14567,1.0,0.2
14952,1.0,0.7
13923,1.0,0.7
15708,1.0,0.1
10737,1.0,0.6
11422,1.0,0.7
11563,1.0,0.5
10008,1.0,0.6
13713,1.0,0.6
12342,1.0,0.9
16348,1.0,0.5
14825,1.0,0.2
14586,1.0,0.6
10517,1.0,0.9
11335,1.0,0.9
17637,1.0,0.4
19399,1.0,0.8
10059,1.0,0.8
14420,1.0,0.4
18496,1.0,0.2
13848,1.0,0.3
15884,1.0,0.6
14759,1.0,0.1
