ix,goal_cost,intv_cost
16378,1.0,0.1
19326,1.0,0.8
14374,1.0,0.3
11146,1.0,0.4
11148,1.0,0.1
11996,1.0,0.6
14824,1.0,0.1
10793,1.0,0.4
10480,1.0,0.7
17373,1.0,0.2
13590,1.0,0.7
11696,1.0,0.2
16445,1.0,0.1
19685,1.0,0.1
13104,1.0,0.6
13404,1.0,0.3
14039,1.0,0.5
16042,1.0,0.8
19050,1.0,0.6
13938,1.0,0.8
16747,1.0,0.9
18188,1.0,0.2
18080,1.0,0.4
12396,1.0,0.2
16137,1.0,0.7
10977,1.0,0.1
10583,1.0,0.4
18250,1.0,0.3
15521,1.0,0.8
15808,1.0,0.8
11682,1.0,0.2
17838,1.0,0.6
16017,1.0,0.5
16711,1.0,0.8
19560,1.0,0.1
10037,1.0,0.6
18146,1.0,1.0
11024,1.0,0.8
15177,1.0,1.1
12126,1.0,0.9
10013,1.0,0.6
13833,1.0,0.1
16077,1.0,1.1
18852,1.0,0.2
19387,1.0,0.1
16326,1.0,0.9
17441,1.0,1.0
16634,1.0,0.2
16266,1.0,0.6
12071,1.0,0.4
17211,1.0,0.6
19532,1.0,0.1
17220,1.0,0.6
16909,1.0,0.6
18280,1.0,0.3
15458,1.0,0.1
12760,1.0,0.4
17435,1.0,0.7
13049,1.0,0.9
18061,1.0,0.2
19350,1.0,0.6
12601,1.0,0.8
15025,1.0,1.0
19465,1.0,0.3
18946,1.0,0.9
15659,1.0,0.4
17891,1.0,0.3
17834,1.0,0.3
11209,1.0,0.6
18514,1.0,0.6
13593,1.0,0.9
12081,1.0,0.8
11269,1.0,0.2
14546,1.0,1.0
16740,1.0,0.5
15497,1.0,0.3
19441,1.0,0.2
13673,1.0,0.1
13507,1.0,0.3
19953,1.0,0.3
12696,1.0,0.5
19866,1.0,0.5
16903,1.0,0.1
13919,1.0,0.7
16561,1.0,0.7
14460,1.0,0.2
11630,1.0,0.4
17359,1.0,0.9
10916,1.0,0.4
14672,1.0,0.1
16191,1.0,0.4
16460,1.0,0.8
10960,1.0,0.3
10381,1.0,1.0
10473,1.0,0.6
15351,1.0,0.2
12401,1.0,1.1
15384,1.0,1.0
15292,1.0,0.5
10656,1.0,1.0
13055,1.0,0.2
18955,1.0,0.4
15631,1.0,0.6
18586,1.0,0.3
14645,1.0,0.1
14497,1.0,0.4
19519,1.0,0.2
12319,1.0,0.5
19286,1.0,0.1
14599,1.0,1.0
10206,1.0,0.1
14664,1.0,0.9
18129,1.0,1.0
19463,1.0,0.7
17108,1.0,0.4
15592,1.0,0.6
16472,1.0,0.5
17542,1.0,0.7
14147,1.0,0.2
15226,1.0,0.5
16256,1.0,0.8
16013,1.0,0.3
16076,1.0,0.3
12754,1.0,0.1
16471,1.0,0.6
13882,1.0,0.4
14149,1.0,0.5
16043,1.0,0.6
16727,1.0,0.1
12103,1.0,1.0
10932,1.0,0.6
16993,1.0,0.6
11603,1.0,0.4
16615,1.0,1.0
14491,1.0,0.3
13904,1.0,0.4
16524,1.0,0.8
17865,1.0,0.6
13505,1.0,0.3
19551,1.0,0.6
15648,1.0,0.5
19929,1.0,0.7
16400,1.0,0.8
19403,1.0,0.4
14838,1.0,1.0
12557,1.0,0.6
11792,1.0,0.30000000000000004
12283,1.0,0.7
15388,1.0,0.1
10601,1.0,0.4
19640,1.0,0.6
10719,1.0,0.9
18709,1.0,1.1
14775,1.0,0.4
12461,1.0,0.9
11398,1.0,0.2
10462,1.0,0.9
16392,1.0,0.4
10405,1.0,0.7
15638,1.0,0.5
17098,1.0,0.1
13939,1.0,0.4
12489,1.0,0.9
11569,1.0,0.3
15418,1.0,1.0
16629,1.0,0.2
16756,1.0,0.9
19080,1.0,1.0
11536,1.0,0.2
18279,1.0,0.9
19210,1.0,0.8
17460,1.0,0.2
12405,1.0,0.4
19903,1.0,0.2
14885,1.0,0.5
18704,1.0,0.5
14337,1.0,1.0
11869,1.0,0.2
14509,1.0,0.5
14547,1.0,1.0
15442,1.0,0.7
17850,1.0,0.4
12767,1.0,0.6
17198,1.0,0.8
19655,1.0,0.5
12700,1.0,0.6
14201,1.0,0.1
14679,1.0,0.5
11203,1.0,0.2
11464,1.0,0.1
11365,1.0,0.1
18325,1.0,1.0
15435,1.0,0.6
14169,1.0,0.9
19494,1.0,1.0
13722,1.0,0.2
15941,1.0,0.3
17814,1.0,0.5
12227,1.0,0.7
14417,1.0,0.5
