,h_post,h_post_individualized
13305,0.9608597359917954,1.0
18524,0.9608597359917954,1.0
16199,0.8003188700402244,1.0
14225,0.9988282949664752,1.0
16351,0.804309189732796,1.0
15896,1.0,1.0
13273,0.7663406307581161,1.0
15571,0.9608597359917954,1.0
14577,0.9608597359917954,1.0
15011,1.0,1.0
19207,1.0,1.0
18598,0.9608597359917954,1.0
10653,0.9608597359917954,1.0
16203,1.0,1.0
12688,0.9608597359917954,1.0
15003,0.9608597359917954,1.0
11818,0.9608597359917954,1.0
16828,0.9988282949664752,1.0
13107,0.9988282949664752,1.0
13986,0.9988282949664752,1.0
19758,0.9608597359917954,1.0
16573,1.0,1.0
12817,1.0,1.0
16549,0.9988282949664752,1.0
15250,0.16186934097842084,0.0
17382,1.0,1.0
15482,0.9608597359917954,1.0
19972,0.9608597359917954,1.0
14398,0.9608597359917954,1.0
12557,0.8003188700402244,1.0
17549,0.9608597359917954,1.0
11865,0.9608597359917954,1.0
17018,0.9608597359917954,1.0
18810,1.0,1.0
18701,0.9988282949664752,1.0
11476,0.9608597359917954,1.0
12558,0.9988282949664752,1.0
10086,1.0,1.0
16159,0.9608597359917954,1.0
16169,0.9608597359917954,1.0
19802,0.9988282949664752,1.0
17854,1.0,1.0
19414,1.0,1.0
10587,0.9608597359917954,1.0
12838,0.9608597359917954,1.0
17742,0.9988282949664752,1.0
17873,0.9608597359917954,1.0
19007,0.9608597359917954,1.0
14003,0.9988282949664752,1.0
12293,0.9608597359917954,1.0
11851,1.0,1.0
18031,0.9608597359917954,1.0
11805,0.9948379752739036,1.0
16360,0.9608597359917954,1.0
11566,0.9608597359917954,1.0
13194,0.9608597359917954,1.0
13309,1.0,1.0
13760,0.9988282949664752,1.0
13883,0.9948379752739036,1.0
11836,0.9988282949664752,1.0
16754,1.0,1.0
11505,1.0,1.0
17979,0.9948379752739036,1.0
15640,0.9988282949664752,1.0
11561,1.0,1.0
11870,0.9988282949664752,1.0
15898,1.0,1.0
11706,0.9948379752739036,1.0
13802,0.9608597359917954,1.0
15143,0.9988282949664752,1.0
15551,1.0,1.0
11616,0.9988282949664752,1.0
17058,0.9608597359917954,1.0
11159,0.9608597359917954,1.0
18033,0.9608597359917954,1.0
12727,0.804309189732796,1.0
12399,0.9988282949664752,1.0
16180,0.9608597359917954,1.0
16390,0.9608597359917954,1.0
18892,1.0,1.0
17332,0.9988282949664752,1.0
13756,0.9608597359917954,1.0
10774,0.9988282949664752,1.0
17923,0.9608597359917954,1.0
19442,1.0,1.0
16890,0.9608597359917954,1.0
13946,0.9608597359917954,1.0
17518,0.9608597359917954,1.0
15070,0.9948379752739036,1.0
17242,0.9608597359917954,1.0
16833,0.9608597359917954,1.0
15491,0.9608597359917954,1.0
15109,0.9988282949664752,1.0
10574,0.9608597359917954,1.0
13688,0.9988282949664752,1.0
11293,1.0,1.0
14357,0.9988282949664752,1.0
18409,0.16186934097842084,0.0
14834,0.9988282949664752,1.0
17675,1.0,1.0
19366,0.9608597359917954,1.0
18294,0.9988282949664752,1.0
19527,0.9988282949664752,1.0
17811,0.9608597359917954,1.0
16406,0.9988282949664752,1.0
19294,0.9608597359917954,1.0
19578,0.9608597359917954,1.0
18331,0.9988282949664752,1.0
18153,0.9608597359917954,1.0
14766,0.9608597359917954,1.0
16267,0.9608597359917954,1.0
10950,0.9608597359917954,1.0
10039,0.9608597359917954,1.0
18829,0.8014977822323865,1.0
18204,0.9988282949664752,1.0
11446,0.16186934097842084,0.0
18179,1.0,1.0
12501,0.16634063075811611,0.0
16185,0.9948379752739036,1.0
13394,0.7663406307581161,1.0
17031,0.9608597359917954,1.0
13223,1.0,1.0
16691,1.0,1.0
10155,0.9948379752739036,1.0
17822,1.0,1.0
17290,1.0,1.0
18455,1.0,1.0
19282,0.9608597359917954,1.0
13690,0.9608597359917954,1.0
13062,0.9988282949664752,1.0
15323,0.9608597359917954,1.0
16636,1.0,1.0
15633,0.9608597359917954,1.0
12565,1.0,1.0
17536,0.9948379752739036,1.0
17461,1.0,1.0
11641,0.9988282949664752,1.0
14488,0.9948379752739036,1.0
10214,1.0,1.0
17645,0.9608597359917954,1.0
18868,1.0,1.0
17509,0.9608597359917954,1.0
10170,0.9988282949664752,1.0
18284,0.2003188700402243,0.0
13221,1.0,1.0
11651,1.0,1.0
15925,0.9608597359917954,1.0
17877,1.0,1.0
11184,0.9608597359917954,1.0
11576,0.9608597359917954,1.0
16616,0.9948379752739036,1.0
14142,0.9608597359917954,1.0
13507,1.0,1.0
13732,0.9948379752739036,1.0
14233,0.9608597359917954,1.0
17212,0.9988282949664752,1.0
12422,1.0,1.0
18344,0.9608597359917954,1.0
15924,1.0,1.0
13647,0.9988282949664752,1.0
18025,0.9608597359917954,1.0
17353,0.9988282949664752,1.0
10921,0.9608597359917954,1.0
15912,1.0,1.0
14069,0.9948379752739036,1.0
12873,0.9608597359917954,1.0
18714,0.9988282949664752,1.0
19375,0.0014977822323866113,0.0
10059,1.0,1.0
10152,0.9948379752739036,1.0
13995,0.804309189732796,1.0
12206,1.0,1.0
18446,0.9988282949664752,1.0
13036,1.0,1.0
17706,0.9608597359917954,1.0
17054,0.9988282949664752,1.0
12845,1.0,1.0
18110,0.9608597359917954,1.0
18219,0.9608597359917954,1.0
13539,0.9988282949664752,1.0
11871,0.0014977822323866113,0.0
12352,0.9608597359917954,1.0
14378,1.0,1.0
17306,0.9608597359917954,1.0
10457,0.9608597359917954,1.0
18755,0.9608597359917954,1.0
14326,1.0,1.0
14446,0.9948379752739036,1.0
13777,0.9608597359917954,1.0
14886,0.9608597359917954,1.0
10648,0.9948379752739036,1.0
16210,0.9608597359917954,1.0
19994,1.0,1.0
17960,0.9608597359917954,1.0
10875,1.0,1.0
15615,0.9988282949664752,1.0
17225,0.9988282949664752,1.0
