,y_hat
18301,False
19205,False
13027,False
19810,False
19888,False
15660,False
15331,False
13257,False
10506,False
10777,False
19726,False
19410,False
13177,False
16065,False
13250,False
10828,False
17557,False
14020,False
13951,False
13850,False
12016,False
11359,False
12322,False
16334,False
17126,False
14751,False
18197,False
15653,False
10473,False
17588,False
18214,False
15496,False
19464,False
19401,False
16580,False
18442,False
16105,False
10136,False
18627,False
10547,False
13122,False
13019,False
10239,False
19789,False
14348,False
19511,False
10612,False
17983,False
13265,False
17848,False
13256,False
16667,False
14319,False
10851,False
13391,False
17577,False
16956,False
16557,False
13683,False
13039,False
11636,False
17097,False
10721,False
11785,False
17216,False
15344,False
10561,False
11247,False
10189,False
18318,False
14768,False
19099,False
18062,False
12938,False
13330,False
19088,False
11855,False
10365,False
15809,False
17171,False
12711,False
12804,False
17419,False
14064,False
10711,False
13428,False
16379,False
19185,False
11994,False
16021,False
18249,False
15805,False
16028,False
16400,False
19174,False
18890,False
12603,False
13414,False
16235,False
17817,False
18790,False
13992,False
14552,False
19661,False
15499,False
17498,False
17638,False
15074,False
16318,False
13313,False
12885,False
10195,False
12775,False
19714,False
16068,False
13812,False
16664,False
13680,False
19895,False
11645,False
14519,False
16143,False
14692,False
12311,False
18527,False
12875,False
16096,False
15961,False
13421,False
19115,False
10343,False
18913,False
16106,False
15165,False
11315,False
13564,False
15612,False
15260,False
18451,False
17695,False
15851,False
19541,False
10268,False
16499,False
17859,False
16696,False
14783,False
16205,False
16344,False
16427,False
16979,False
16636,False
11591,False
12180,False
12487,False
18664,False
15824,False
19307,False
16677,False
16002,False
13512,False
19729,False
19921,False
12886,False
18673,False
11881,False
15684,False
10432,False
15142,False
15213,False
14877,False
16223,False
11623,False
15916,False
14164,False
16175,False
15338,False
11063,False
14906,False
16162,False
12634,False
15343,False
19641,False
17941,False
12574,False
13384,False
12076,False
13418,False
16704,False
13893,False
17882,False
14220,False
16341,False
19009,False
12921,False
12081,False
17699,False
18350,False
14911,False
12148,False
