ix,goal_cost,intv_cost
13241,0.9020000100135803,3.0
17400,0.9660000205039978,2.0
15908,0.9700000286102295,1.0
15165,0.92,1.4
13018,0.928,2.0
14748,0.904,0.30000000000000004
12742,0.918,1.5
18259,0.91,2.1
12688,0.912,0.3
13545,0.926,0.9
13779,0.924,1.0
10896,0.904,0.7999999999999999
14562,0.928,1.1
14668,0.9700000286102295,1.0
11616,0.902,1.3
10115,0.916,0.9
16147,0.92,1.7
12311,0.9200000166893005,1.0
18860,0.9700000286102295,2.0
13525,0.9639999866485596,1.0
15067,0.902,0.3
19662,0.9240000247955322,1.0
13712,0.924,0.7
10170,0.9120000004768372,1.0
11958,0.9760000109672546,1.0
17255,0.912,0.1
13940,0.928,2.6
19842,0.9679999947547913,1.0
19337,0.906,2.8000000000000003
15034,0.91,1.2
10568,0.902,1.1
18957,0.91,1.6
11239,0.926,2.2
10108,0.922,2.4
15810,0.9559999704360962,1.0
12012,0.9779999852180481,2.0
12414,0.914,1.4
10713,0.9739999771118164,2.0
13980,0.9559999704360962,1.0
14999,0.906,3.9
16525,0.902,2.0
18479,0.984000027179718,2.0
14039,0.924,2.0
10246,0.9580000042915344,2.0
19397,0.9422780862134664,0.0
19887,0.906,0.3
10216,0.902,2.1
19491,0.9020000100135803,1.0
19936,0.92,0.3
12511,0.9419999718666077,2.0
17390,0.9700000286102295,2.0
14236,0.912,2.5
14222,0.946,1.5
18205,0.9679999947547913,1.0
10560,0.902,1.6
12416,0.9679999947547913,2.0
17612,0.906,2.2
16448,0.9039999842643738,1.0
16656,0.9459999799728394,2.0
12341,0.9020000100135803,1.0
11881,0.9079999923706055,1.0
11649,0.9559999704360962,1.0
14051,0.9259999990463257,2.0
14361,0.92,2.4
14447,0.9620000123977661,1.0
12658,0.9819999933242798,2.0
15840,0.9700000286102295,1.0
16024,0.95,2.1
11745,0.9340000152587891,1.0
11583,0.916,1.0
11762,0.926,1.2
18925,0.9459999799728394,1.0
19471,0.914,1.4
17945,0.966,2.0
17063,0.912,1.0
15755,0.9700000286102295,1.0
14534,0.9559999704360962,1.0
10991,0.9639999866485596,2.0
17340,0.902,1.4
13430,0.956,1.0
17951,0.9120000004768372,1.0
19700,0.972,3.0
13138,0.9539999961853027,1.0
14164,0.904,1.2
18141,0.906,1.2
12616,0.9936244323436059,0.0
14160,0.9419999718666077,1.0
10828,0.9739999771118164,2.0
12419,0.9240000247955322,1.0
18306,0.91,1.1
12752,0.92,2.7
18351,0.922,1.1
16619,0.949999988079071,2.0
10199,0.9200000166893005,1.0
18336,0.9020000100135803,1.5
17099,0.922,1.0
17411,0.904,1.1
12601,0.912,2.4
12314,0.972000002861023,1.0
15836,0.96,3.1
16086,0.904,2.0
13458,0.9319999814033508,1.0
10172,0.9620000123977661,1.0
15002,0.9399999976158142,2.0
17977,0.9440000057220459,1.0
14321,0.924,2.0
14971,0.9179999828338623,1.0
14802,0.93,1.1
16507,0.9679999947547913,1.0
10578,0.9520000219345093,2.0
10785,0.9160000085830688,1.0
15865,0.9800000190734863,2.0
19073,0.9520000219345093,2.0
14980,0.9100000262260437,2.0
14313,0.906000018119812,1.0
12821,0.9079999923706055,2.5
18570,0.92,0.8
12123,0.914,1.1
17527,0.921999990940094,2.0
14408,0.98,0.1
16933,0.9279999732971191,2.0
13420,0.912,1.3
16131,0.9259999990463257,1.0
16664,0.908,0.6000000000000001
11318,0.9660000205039978,2.0
15092,0.914,0.9
13054,0.9639999866485596,1.0
11267,0.9179999828338623,2.0
12015,0.9660000205039978,1.0
17714,0.9100000262260437,1.0
13894,0.912,0.8
16703,0.916,1.3
14663,0.949999988079071,1.0
15267,0.912,0.9
18689,0.902,0.1
13216,0.9639999866485596,2.0
11561,0.948,2.1
16606,0.958,2.1
17530,0.9679999947547913,2.0
13946,0.912,0.7
13096,0.9440000057220459,1.0
15437,0.918,1.1
12961,0.972000002861023,2.0
12113,0.9520000219345093,2.0
10188,0.976,2.0
14947,0.904,1.1
11140,0.918,2.3
10715,0.906,1.7
14688,0.912,3.7
15137,0.9440000057220459,1.0
14034,0.9639999866485596,2.0
17946,0.9520000219345093,1.0
18144,0.9599999785423279,1.0
17875,0.9459999799728394,1.0
15230,0.921999990940094,1.0
19999,0.902,0.5
17395,0.9100000262260437,2.0
15958,0.9599999785423279,2.0
15557,0.912,1.0
10040,0.924,1.4
12960,0.9200000166893005,1.0
18564,0.902,2.0
19693,0.9139999747276306,1.0
17819,0.91,3.3
12287,0.904,1.4
19854,0.952,2.1
17444,0.92,1.6
15179,0.9760000109672546,1.0
12969,0.9340000152587891,2.0
11854,0.9120000004768372,1.0
12964,0.932,2.0
16940,0.918,1.8
16696,0.972000002861023,1.0
11437,0.912,3.2
19913,0.9020000100135803,1.0
13148,0.9700000286102295,2.0
19059,0.984,1.1
12848,0.9779999852180481,2.0
12352,0.916,1.6
11100,0.914,1.4
17504,0.97,0.1
15675,0.93,1.5
16561,0.912,1.7
12365,0.906,1.6
10290,0.9179999828338623,1.0
18569,0.9599999785423279,2.0
19560,0.9599999785423279,1.0
18990,0.9819999933242798,2.0
17759,0.9580000042915344,1.0
17442,0.972000002861023,1.0
18101,0.9459999799728394,1.0
11191,0.9359999895095825,1.0
18704,0.9539999961853027,1.0
14932,0.9620000123977661,1.0
11107,0.908,2.5
17742,0.9620000123977661,1.0
11378,0.921999990940094,1.0
15726,0.921999990940094,2.0
11178,0.949999988079071,2.0
12137,0.9580000042915344,2.0
