,x1,x2,x3
3137,-0.3569459,-1.6986879,-2.0585566
2238,-2.9280784,-2.7627869,-5.9667788
2048,0.5718674,-2.264289,-1.731602
2474,0.50116205,-0.9825058,-0.4219996
2219,-1.1971903,-1.3967495,-2.4911256
2646,-1.0367365,-2.3862214,-3.3237286
2188,-0.2983548,-0.09010886,-0.4817105
2604,0.4434031,-0.5682763,-0.01986561
2295,-0.51453215,0.20661932,-0.5208781
3725,-1.7623217,-2.308368,-3.8119576
3209,-1.1798754,-1.5766617,-2.6697612
2380,-2.8365898,-2.3648286,-5.126113
2484,0.22367814,-1.7133232,-1.5565935
2233,-0.43406418,0.20384207,-0.13872376
2800,-0.29500145,0.018787831,-0.25016102
3655,-0.19685984,-1.7159421,-1.8379734
2516,0.20509379,-0.6184173,-0.49967706
3676,-0.108946964,-0.17352198,-0.092222735
2013,-0.13724726,-0.81763,-1.0183098
3765,0.41729316,-0.55417085,-0.14385906
2260,-0.45255575,0.24712452,-0.16300021
3397,-1.5020834,-0.9134919,-2.532231
2280,-0.72410333,-2.367319,-3.1147487
3828,-0.65407133,-0.7773851,-1.424077
3056,-1.1430072,-1.352805,-2.4544394
2422,0.90445155,-0.9257116,-0.12933475
3386,-0.36701244,-0.15099168,-0.48306507
3993,-0.48822188,0.0440284,-0.35238415
2952,-1.2734747,-1.7781439,-2.8800104
2322,-0.96486115,-1.4922776,-2.5127635
3259,-1.3046464,-1.7733183,-2.9541416
3111,-0.77652264,-2.3146703,-3.0366666
2095,-0.17162037,-0.6932438,-0.86525804
3970,-1.5175844,-0.8732871,-2.409962
2729,-1.1052744,-0.9176365,-2.0744195
2575,-1.7837946,-1.8904088,-3.7994401
2122,-0.8438508,-1.7991693,-2.7446482
3237,-0.12099688,-0.56899333,-0.69893914
3249,-0.2730151,0.25084165,-0.118199036
3420,-0.67438686,0.15165037,-0.49789873
2460,-0.5743893,-1.2338374,-1.7853239
2628,-0.010550025,-1.8530136,-1.8746682
2515,-1.9473481,-2.4988933,-4.543708
2868,-0.547773,-1.1775892,-1.7382613
3580,-0.619548,-1.0988522,-1.7423483
3147,-1.0151204,-0.5525408,-1.4711611
3342,-0.61531883,-1.1551793,-1.9495518
3905,-0.66069686,-1.2313294,-1.9265128
3727,-0.38402554,0.043999463,-0.28019184
2168,-0.67550474,-2.3721437,-2.8243039
2934,-0.12212726,-2.1884537,-2.3331845
3591,-1.5022905,-1.9367037,-3.477604
3881,-0.9964146,-0.7437042,-1.9132099
2394,0.023529911,-1.7505978,-1.8858154
2342,-0.7669507,-2.2516813,-3.1355886
3030,0.44867295,-0.6425199,0.039906338
3640,-0.45210558,-1.8459656,-2.3129027
3522,-0.5727923,-2.7381318,-3.2291443
2096,-1.3880892,-1.2074481,-2.5373592
2984,-1.5220617,-2.4731922,-3.921991
3076,-0.20126258,-0.3969295,-0.71926963
3029,-0.5873897,-1.6083189,-2.071394
2898,-0.5286685,-0.9710263,-1.6500626
2576,-1.0661079,-1.1802084,-2.2910423
3529,-0.7375356,-1.519643,-2.0795796
2773,-1.2200724,-2.1418772,-3.4508061
3070,-0.607902,0.1155566,-0.4880061
2595,-1.0569602,-0.43813086,-1.4760925
2829,0.15670994,-0.807623,-0.6477616
2986,-0.7004364,-1.013794,-1.7804828
3010,-0.9623925,-1.8484092,-2.707673
