,x1,x2,x3
2578,0.5,1.0,1.9
2450,0.5,0.0,-0.0
3619,0.8,0.0,1.1
3384,1.4,-0.0,1.9
2308,0.1,3.3,2.4
3711,2.8,0.9,4.0
3199,0.7,0.0,0.0
2588,2.4,3.1,5.2
3874,0.9,-0.0,0.0
3075,0.1,-0.0,-0.0
3290,0.4,-0.0,0.0
3652,1.8,3.6,4.7
3388,1.0,0.0,2.3
2590,1.0,-0.0,3.0
3194,1.0,0.6,2.7
3762,1.2,1.5,3.1
2113,1.3,-0.0,0.0
2412,1.3,-0.0,2.0
3360,1.3,3.7,6.6
2235,1.6,0.0,-0.0
3776,0.4,0.0,-0.0
3326,2.5,0.1,0.0
2711,1.3,-0.0,-0.0
3752,1.1,0.0,0.5
3747,0.3,1.7,-0.0
2236,0.8,0.9,2.5
3110,0.9,-0.0,0.9
3756,0.1,2.5,2.6
2452,0.9,-0.0,0.0
2968,1.5,2.1,3.7
2671,2.0,2.5,0.0
3930,0.9,0.0,0.0
2740,0.9,0.0,0.0
3371,0.9,-0.0,1.1
2763,0.7,1.4,2.1
3423,0.8,-0.0,3.1
3370,0.5,1.9,-0.0
3265,1.3,0.4,0.0
3216,2.8,3.5,6.6
2227,0.9,0.0,1.9
2866,0.5,-0.0,-0.0
2006,1.4,-0.0,-0.1
3795,1.0,-0.0,-0.0
2199,0.9,0.0,1.3
3008,2.1,-0.0,-0.0
3509,1.7,1.7,4.2
2899,2.1,2.2,-0.0
2004,1.8,0.0,2.6
2830,1.4,-0.0,2.2
3413,1.9,0.0,0.0
2587,0.9,-0.0,1.8
3709,0.9,0.0,0.6
2496,1.6,1.4,3.1
3615,2.9,4.1,6.3
3480,1.7,0.0,1.7
3991,0.2,0.0,-0.0
3844,0.1,0.8,-0.0
2938,1.4,0.3,1.9
3409,-0.0,1.9,2.1
3404,1.5,0.0,2.4
2361,1.0,0.0,1.7
2555,0.9,0.0,0.9
3188,0.1,1.0,1.3
2943,0.4,-0.0,-0.0
2932,1.1,2.7,4.0
3942,1.9,1.5,5.2
2188,0.5,0.4,-0.0
2547,0.4,0.3,-0.0
2700,0.9,0.0,-0.0
3588,0.4,-0.0,1.0
2877,1.3,-0.0,0.6
2893,2.3,4.1,6.7
3918,0.9,1.9,3.4
2195,1.3,0.1,1.4
3902,0.1,0.0,-0.0
2072,0.3,3.8,5.7
3511,3.1,0.0,3.7
2446,-0.0,1.6,-0.0
3865,0.9,-0.0,-0.0
3964,0.7,-0.0,1.6
2536,1.0,2.3,4.2
2992,0.5,0.0,0.8
3223,1.0,0.2,2.3
3112,1.2,1.9,3.0
3585,0.7,2.1,0.0
2394,1.5,-0.0,0.0
3794,0.6,0.6,1.6
2371,1.2,1.8,3.3
3802,0.4,1.8,2.8
3784,1.3,0.6,2.6
2572,1.2,-0.0,-0.0
2368,1.5,0.9,2.6
3846,1.8,0.0,0.5
3830,1.6,2.7,4.3
3669,1.5,0.0,2.0
3785,0.7,0.8,1.8
3814,-0.0,1.3,1.8
2457,0.5,0.0,-0.0
2334,0.8,2.8,4.7
2377,1.1,2.5,4.8
3608,0.9,-0.0,-0.0
3380,1.7,-0.0,2.3
2203,2.4,0.0,3.7
3597,2.9,0.0,3.9
3257,2.2,3.0,5.7
3352,0.3,0.0,-0.0
3222,2.2,0.0,2.2
2106,0.5,-0.0,0.9
2132,1.3,0.0,0.0
3809,0.7,1.7,-0.0
2176,0.9,0.0,2.3
2824,1.7,0.0,3.1
3558,0.3,0.1,0.8
2780,1.8,0.0,1.9
2255,1.6,-0.0,0.0
2212,1.1,1.6,3.0
2013,1.5,0.0,3.4
3421,1.0,0.3,0.0
2540,3.1,0.0,1.3
2577,1.5,0.0,-0.0
2639,1.4,-0.0,-0.0
2542,1.0,0.1,-0.0
3308,1.0,1.4,2.1
3463,0.2,2.5,2.6
2119,0.6,0.1,-0.0
2858,1.3,0.8,2.6
2015,2.0,0.0,0.0
2661,1.0,0.1,-0.0
2383,1.6,2.0,3.6
3258,1.5,1.5,3.5
3425,2.6,1.7,4.5
2792,0.1,2.3,2.0
2318,1.9,1.1,3.1
2549,0.5,1.4,0.0
2839,1.3,-0.0,0.0
3170,1.7,1.9,0.0
3034,1.5,0.0,3.0
3616,0.2,-0.0,-0.0
2663,0.4,-0.0,0.0
2580,0.9,0.5,0.0
3664,2.5,0.5,0.0
3018,0.7,3.0,0.0
3782,2.0,1.9,2.3
3120,0.9,-0.0,-0.0
2935,0.2,2.3,-0.0
2931,0.3,0.5,-0.0
3300,0.5,0.0,-0.0
3074,0.8,2.6,3.6
3714,3.1,1.2,4.7
3951,1.6,1.3,2.8
3700,2.7,0.0,1.3
3516,0.3,0.9,0.0
3044,0.7,-0.0,0.0
3080,1.6,2.7,5.7
3444,0.3,3.4,3.8
2764,1.0,2.0,4.2
2469,0.7,0.0,-0.0
2715,1.6,-0.0,2.1
3389,1.8,3.8,5.9
3774,2.0,-0.0,-0.0
2833,1.2,2.3,3.0
3172,0.7,-0.0,2.8
2680,2.4,3.0,5.2
3746,0.2,1.3,1.3
2743,1.4,0.6,-0.0
3351,0.6,0.0,-0.0
3567,1.2,2.2,4.2
3494,0.5,0.0,0.0
2337,0.8,0.0,-0.0
3917,1.4,0.0,-0.0
3277,1.5,3.0,4.2
2052,0.7,0.0,1.5
2561,2.1,2.7,4.8
3017,2.8,-0.0,0.0
3238,1.9,0.0,-0.0
3547,0.6,2.3,0.0
2032,1.9,3.6,5.7
3086,1.9,4.5,6.4
3984,1.4,2.5,4.5
2904,1.6,-0.0,1.3
3040,0.8,0.0,-0.0
3024,0.1,1.3,-0.0
3431,0.8,0.0,-0.0
3526,2.5,1.6,4.7
2237,0.8,2.0,2.5
3419,0.2,-0.0,0.3
2233,0.5,0.0,0.1
2365,-0.0,2.3,2.5
3325,2.9,1.6,4.8
2999,0.5,-0.0,0.0
2045,1.4,-0.0,0.2
2584,0.2,0.3,1.1
2571,2.3,3.4,5.7
3121,0.6,1.8,-0.0
2056,3.3,2.4,5.9
3759,0.9,-0.0,0.0
3379,2.6,-0.0,2.9
3142,0.6,-0.0,2.3
2359,0.7,3.6,4.4
2226,-0.0,0.9,1.0
