,x1,x2,x3
2973,-0.87522465,-1.7504493,-2.7248983
2644,-0.29695764,-0.5939153,-0.86782724
2791,-1.2124712,-2.4249425,-3.5708516
3443,-1.8543587,-3.7087173,-5.6645184
3733,-0.24895382,-0.49790764,-0.78808683
3973,-0.10019449,-0.20038898,-0.2560479
2670,-0.35127205,-0.7025441,-0.9642254
3172,-0.5560778,-1.1121556,-1.702998
3736,-1.3400409,-2.6800818,-4.2198896
3494,-0.17491034,-0.34982067,-0.53132993
2394,-0.42309168,-0.84618336,-1.5022204
3156,-0.6409884,-1.2819768,-1.8528411
2491,-0.5909872,-1.1819744,-1.6595669
2797,-0.2722919,-0.5445838,-0.7523075
2282,-0.9213094,-1.8426188,-2.8699121
3805,-0.38559717,-0.77119434,-1.1159235
2674,-1.2107031,-2.4214063,-3.4596279
3923,-0.6691749,-1.3383498,-2.207716
2085,-1.2054304,-2.4108608,-3.5979218
2842,-0.4749654,-0.9499308,-1.4638805
3984,-1.055183,-2.110366,-3.2655878
3729,-0.6673011,-1.3346022,-1.9773606
2678,-0.60693634,-1.2138727,-1.939207
2356,-0.5930523,-1.1861047,-1.8251474
3668,-0.12610179,-0.25220358,-0.5460235
2522,-0.4679863,-0.9359726,-1.258987
2316,-0.9703652,-1.9407305,-2.829412
3845,-0.84520346,-1.6904069,-2.6009934
3440,-0.24747586,-0.49495173,-0.69793683
3500,-1.0353179,-2.0706358,-3.0661569
2871,-0.7503625,-1.500725,-2.1711576
2186,-1.2580687,-2.5161374,-3.7663608
2402,-0.1425726,-0.2851452,-0.489055
2011,-0.01646409,-0.03292818,-0.019628624
2484,-0.4529222,-0.9058444,-1.1715381
3665,-0.7178301,-1.4356602,-2.2548487
3324,-2.346756,-4.693512,-6.8730993
3879,-0.46613213,-0.93226427,-1.3755841
2827,-0.69800967,-1.3960193,-2.029958
2898,-0.4582994,-0.9165988,-1.4568903
3040,-0.30163923,-0.60327846,-0.8299762
3439,-1.2011673,-2.4023347,-3.6644256
2814,-0.9278701,-1.8557402,-2.7689505
3282,-1.1249946,-2.2499893,-3.2882657
3815,-0.117233016,-0.23446603,-0.32770127
2622,-0.18016405,-0.3603281,-0.6185195
2595,-1.8584226,-3.7168453,-5.582061
2637,-0.28538907,-0.57077813,-0.884926
3626,-0.67618096,-1.3523619,-1.8919444
3905,-0.22117798,-0.44235596,-0.6674702
2010,-1.0266247,-2.0532494,-3.0584896
2082,-0.104626365,-0.20925273,-0.37004808
3335,-0.89759934,-1.7951987,-2.6511924
2781,-1.7771273,-3.5542545,-5.2632957
3061,-0.4274846,-0.8549692,-1.3382064
3014,-0.3221601,-0.6443202,-0.920355
3754,-0.7023169,-1.4046338,-2.1519227
2868,-1.000656,-2.001312,-3.085704
2425,-0.35322672,-0.70645344,-1.096688
3501,-0.106270894,-0.21254179,-0.24687946
3434,-0.19020066,-0.3804013,-0.694505
3963,-1.0326318,-2.0652635,-3.0905771
2161,-0.27887785,-0.5577557,-0.8591009
2271,-0.80460316,-1.6092063,-2.3796663
2856,-0.12504706,-0.25009412,-0.29358816
3334,-0.56624347,-1.1324869,-1.7577242
2700,-1.4231377,-2.8462753,-4.1589403
2395,-1.2131172,-2.4262345,-3.6714952
3186,-0.7581427,-1.5162854,-2.1790962
2524,-1.2485943,-2.4971886,-3.7459462
2643,-0.1663802,-0.3327604,-0.5209277
3610,-0.39592883,-0.79185766,-1.2146684
3655,-0.11204781,-0.22409561,-0.43725133
3763,-1.2214007,-2.4428015,-3.7196643
3062,-1.2270771,-2.4541543,-3.5301826
3669,-0.63074446,-1.2614889,-1.8996018
3863,-0.30786547,-0.61573094,-0.96144843
2003,-1.9312274,-3.862455,-5.847761
2054,-0.9536203,-1.9072406,-2.8008513
3760,-0.3044546,-0.6089092,-0.95487165
2472,-0.37790474,-0.7558095,-1.149035
2245,-1.7272755,-3.454551,-5.2265153
2776,-1.6072226,-3.214445,-4.716738
3666,-0.95665646,-1.9133129,-2.9541886
2100,-1.1942432,-2.3884864,-3.6602652
2962,-0.58825165,-1.1765033,-1.8573986
3624,-0.18566717,-0.37133434,-0.76056725
2520,-2.2615907,-4.5231814,-6.7987423
2114,-0.98019373,-1.9603875,-2.870884
2121,-1.2293687,-2.4587374,-3.7735891
2118,-0.38169476,-0.7633895,-1.0296844
3892,-1.2228018,-2.4456036,-3.6022115
3281,-1.8216758,-3.6433516,-5.497596
3241,-0.3457887,-0.6915774,-0.9449037
3437,-1.4770427,-2.9540854,-4.504632
3942,-0.079771996,-0.15954399,-0.31229627
2929,-0.5868192,-1.1736383,-1.733926
2350,-0.7949887,-1.5899774,-2.3869674
2906,-0.26699394,-0.5339879,-0.9323052
3294,-0.8158633,-1.6317266,-2.4119072
2142,-0.6129507,-1.2259014,-1.7440479
3021,-0.6845124,-1.3690248,-2.085927
3887,-2.2946968,-4.5893936,-6.959495
3560,-0.11619897,-0.23239794,-0.33597162
3860,-0.50860226,-1.0172045,-1.5539198
3751,-0.9074782,-1.8149564,-2.6756895
3728,-1.070413,-2.140826,-3.095474
3709,-1.1367104,-2.2734208,-3.4508216
2232,-0.49603465,-0.9920693,-1.4556826
3474,-0.37793303,-0.75586605,-1.2154394
2349,-1.0294632,-2.0589263,-3.0605748
2059,-0.20297197,-0.40594393,-0.51009095
3129,-0.04242233,-0.08484466,-0.27791026
3025,-0.28649598,-0.57299197,-0.9512509
3620,-0.43536147,-0.87072295,-1.4226934
2211,-0.82448,-1.64896,-2.4309785
3847,-0.7011714,-1.4023428,-2.1417172
3788,-1.2981957,-2.5963914,-3.8731408
2950,-0.48794383,-0.97588766,-1.2472303
2220,-0.92535824,-1.8507165,-2.497922
3528,-0.28973377,-0.57946754,-0.8022045
3691,-0.39283565,-0.7856713,-0.99836826
2574,-0.71049535,-1.4209907,-2.2315125
2151,-1.4874611,-2.9749222,-4.437623
3775,-1.0815508,-2.1631017,-3.231235
3347,-0.45118436,-0.9023687,-1.4534051
3838,-2.4698944,-4.939789,-7.4323053
2517,-0.8641359,-1.7282718,-2.6968064
3254,-0.13637738,-0.27275476,-0.6159478
2315,-0.12439507,-0.24879014,-0.20356347
3572,-0.8567802,-1.7135603,-2.6388288
3454,-0.23777035,-0.4755407,-0.6361363
2728,-0.9223771,-1.8447542,-2.7008584
3547,-0.9039638,-1.8079276,-2.7492554
2933,-0.17331943,-0.34663886,-0.45244646
2537,-0.76866484,-1.5373297,-2.0552597
2945,-0.64306056,-1.2861211,-1.9031353
2907,-1.4713128,-2.9426255,-4.400766
3521,-0.19523901,-0.39047801,-0.36565924
3179,-0.8807223,-1.7614446,-2.6051967
3836,-0.7486894,-1.4973788,-2.1795995
2133,-1.0056374,-2.0112748,-2.943939
3075,-0.014546074,-0.029092148,-0.011559576
2000,-0.3683642,-0.7367284,-1.0554603
3180,-0.27915898,-0.55831796,-0.76992196
2101,-2.085622,-4.171244,-6.265725
3577,-0.39151615,-0.7830323,-1.0513798
3049,-0.5649282,-1.1298563,-1.922818
3955,-0.89372534,-1.7874507,-2.74475
3462,-0.659096,-1.318192,-2.0562928
2650,-0.41104427,-0.82208854,-1.0806623
2389,-0.18987568,-0.37975135,-0.5321936
3824,-1.4564484,-2.9128969,-4.337908
3527,-0.32504436,-0.6500887,-0.92270136
3874,-1.2222617,-2.4445233,-3.7497962
3941,-0.17541616,-0.3508323,-0.5614654
2336,-1.7631639,-3.5263278,-5.371758
2794,-1.0899986,-2.1799972,-3.2522905
2299,-1.2838056,-2.5676112,-3.9010062
3263,-0.127313,-0.254626,-0.25586522
3818,-0.3925823,-0.7851646,-0.9498854
2107,-0.91228026,-1.8245605,-2.7786925
3322,-0.6326816,-1.2653632,-1.9452249
2369,-2.0727153,-4.1454306,-6.2075324
3830,-0.031165225,-0.06233045,-0.066658005
2718,-0.93172586,-1.8634517,-2.786496
3285,-0.25545603,-0.51091206,-0.91543925
2288,-1.3507353,-2.7014706,-4.2737827
3188,-0.44559705,-0.8911941,-1.2652124
2584,-0.9407377,-1.8814754,-2.64087
2238,-0.98286784,-1.9657357,-3.0382667
3364,-0.19086307,-0.38172615,-0.5627102
2921,-0.30254656,-0.6050931,-1.0138007
3530,-2.130765,-4.26153,-6.481634
2571,-0.07606893,-0.15213786,-0.48957968
3920,-0.46926427,-0.93852854,-1.5800046
2292,-0.9818265,-1.963653,-2.9011376
2429,-0.124451384,-0.24890277,-0.474319
2464,-0.5065927,-1.0131854,-1.6194773
3464,-1.8724098,-3.7448196,-5.716728
3776,-0.75589985,-1.5117997,-2.335245
2278,-1.2032896,-2.4065793,-3.6007025
3276,-1.3296704,-2.6593409,-3.9604566
3449,-0.40436238,-0.80872476,-1.1730026
2152,-1.9631042,-3.9262085,-5.847178
3869,-0.63899964,-1.2779993,-1.9319016
3016,-0.8416401,-1.6832802,-2.545252
2268,-1.2664025,-2.532805,-3.7410707
2982,-0.76941675,-1.5388335,-2.3347974
3403,-1.1629701,-2.3259401,-3.2721114
2075,-0.20306654,-0.4061331,-0.69952226
2745,-0.44575644,-0.8915129,-1.171227
3178,-0.7600257,-1.5200514,-2.5061543
3120,-0.37856084,-0.7571217,-1.1796532
3045,-0.79978466,-1.5995693,-2.3514311
2405,-0.96637857,-1.9327571,-2.7959821
3183,-0.97483677,-1.9496735,-2.893061
3881,-0.95690155,-1.9138031,-2.7477431
3745,-1.9272597,-3.8545194,-5.7826614
2026,-0.51861334,-1.0372267,-1.5548716
