,y_hat
3988,False
3246,False
3571,False
2763,False
2860,False
3630,False
2557,False
2241,False
3369,False
3202,False
2201,False
3972,False
2377,False
2915,False
3735,False
3420,False
3969,False
2395,False
3783,False
2138,False
2153,False
3938,False
2054,False
2232,False
2908,False
3198,False
3993,False
2501,False
2828,False
3738,False
2933,False
3897,False
2826,False
3435,False
3788,False
2193,False
3399,False
2593,False
2704,False
3151,False
3918,False
3412,False
2309,False
3299,False
3721,False
2444,False
2018,False
3337,False
3461,False
3114,False
2838,False
2374,False
2949,False
3454,False
3682,False
3517,False
3381,False
2935,False
3913,False
2922,False
2101,False
2552,False
2866,False
3174,False
2959,False
2508,False
2476,False
2720,False
2795,False
3806,False
3725,False
2581,False
3471,False
2958,False
3944,False
3215,False
3223,False
2879,False
3860,False
3497,False
2127,False
2044,False
3880,False
2456,False
2228,False
2865,False
3284,False
2028,False
3483,False
3892,False
3318,False
2098,False
3327,False
3164,False
3598,False
2145,False
2283,False
2384,False
3684,False
2173,False
2373,False
3506,False
2130,False
3268,False
2924,False
2265,False
3601,False
2244,False
3790,False
3261,False
2943,False
2230,False
3084,False
2222,False
3015,False
2880,False
3290,False
2711,False
3575,False
3652,False
3060,False
2247,False
3719,False
2227,False
2378,False
2121,False
2771,False
3929,False
2402,False
2927,False
3608,False
3427,False
3925,False
2088,False
2726,False
3590,False
2261,False
2946,False
2024,False
2685,False
2941,False
3883,False
3491,False
3078,False
3724,False
2159,False
2782,False
2313,False
3848,False
3701,False
3839,False
2191,False
2934,False
3118,False
3187,False
2419,False
2682,False
3769,False
2635,False
3063,False
2690,False
2596,False
2640,False
3596,False
3711,False
3033,False
2442,False
2223,False
2056,False
3475,False
2761,False
2790,False
3032,False
3840,False
3087,False
2334,False
3524,False
3890,False
2413,False
2618,False
2967,False
3067,False
2974,False
2019,False
2539,False
3243,False
3251,False
2868,False
2929,False
3158,False
3230,False
3604,False
2899,False
3130,False
2363,False
3229,False
3958,False
2937,False
2474,False
3374,False
