,x1,x2,x3
3641,-1.2162007,-2.0229864,-3.3129616
2402,-1.3002062,-2.9072547,-4.1857896
3671,-0.9335266,-1.8655357,-2.8465192
3861,-1.0972655,-2.7497187,-3.7368557
3099,-0.17496009,-1.426376,-1.6013188
2414,-0.7019629,-1.8682258,-2.6283324
3509,-0.165053,-0.058459803,-0.21034372
3527,-1.3617586,-0.44186628,-1.9012896
2869,-0.76492536,0.81451595,0.059504375
2797,0.6180718,-1.6487429,-1.0329041
2216,-0.767296,-3.1390557,-3.7124496
3864,-0.9582699,-0.5579318,-1.3990558
3707,-1.285768,-2.010067,-3.391815
2976,-0.29909152,0.03586617,-0.2631528
3347,-1.0146114,-2.0820675,-3.1450448
2855,-1.3209544,-1.2789761,-2.496125
2637,-2.3522756,-3.2912693,-5.7590837
3185,-0.17388546,-2.8253446,-3.0890248
2453,0.334247,-0.67198014,-0.3647856
3932,-0.3621702,-0.89609146,-1.2316715
3647,-0.14529023,-0.38965112,-0.35955846
2563,-1.3711647,-1.1550313,-2.5965073
2987,0.395865,-1.1915236,-0.6035639
2327,-2.411231,-1.1808825,-3.4867177
3195,-1.0701047,-3.1686907,-4.2813115
2029,-0.5609624,-1.0209575,-1.4664526
2145,-1.3068597,1.238961,-0.124587685
3167,-1.4834164,-1.8274958,-3.2924495
2421,-0.34763962,-0.24025065,-0.44064558
2660,-1.0595253,-2.438651,-3.4374933
3685,-1.7695901,-1.9714745,-3.723968
3580,-0.15384178,-0.1750943,-0.2898271
3626,-0.6277476,-2.0124571,-2.5786614
3539,-1.7979909,-1.4711938,-3.3450224
2630,-0.9242552,-0.51001894,-1.4313853
3009,-0.94328076,0.17668217,-0.8737857
2598,-0.08911,-0.9264618,-1.0139707
3087,-0.07276478,-1.2636439,-1.1676778
2419,-1.0698223,-2.9251456,-4.005724
3282,-0.76461554,-1.1401448,-2.0084379
3604,-0.30534926,-0.5271379,-0.84590083
2702,-0.7774888,-0.38476175,-1.1405066
3723,-0.9652734,-2.8862472,-3.8747969
3832,-1.1831079,-2.782609,-3.9997668
3662,-0.14655052,-0.31847262,-0.42336237
2041,-1.581486,-3.6072402,-5.4023523
3171,-2.0949516,-0.63755965,-2.8211443
3213,-0.36916727,-2.383597,-2.7766364
3244,-0.5512634,-1.7389643,-2.277366
3490,0.24431115,-0.53855675,-0.26389757
2158,-0.38807067,0.08544731,-0.2766185
3721,-0.4599715,-0.5912279,-1.0851414
2737,0.3531957,-1.4144957,-1.2603986
2285,0.34266716,-0.938785,-0.42825255
2222,-1.5142064,-0.24922824,-1.800024
2917,0.23796201,-1.1307138,-1.0280491
3064,-0.770165,-2.6199968,-3.2786555
3189,-0.9301837,-0.8402809,-1.7971963
3749,-0.20723334,-1.040014,-1.3190403
2443,-0.2610217,-0.35976517,-0.49602583
3826,-1.1102512,-2.3373752,-3.3010664
3912,-2.3021226,-2.343466,-4.743342
3940,-0.5430321,-1.2468829,-2.0266619
2628,-0.27069893,-0.6396573,-0.9008676
3026,-1.7506251,-2.014324,-3.8015606
2077,-1.2565157,-0.91181636,-2.1977575
3028,0.041339826,-1.9911973,-1.8519614
2849,-0.5288486,-0.09122202,-0.505537
3836,0.354618,-2.215733,-1.7339373
2804,0.033999033,-1.3682728,-1.224376
2326,-0.5680291,0.3808589,-0.120570466
2848,0.5224876,-2.1064484,-1.609769
2785,-1.2494835,-4.048472,-5.273769
2759,-0.5564043,-2.147055,-2.7724538
2483,-0.2382794,-0.8770251,-0.87173784
2988,-0.09803754,-0.5205933,-0.6834954
2141,-0.7489464,-0.03917575,-0.8897612
2860,-0.73599946,0.46846735,-0.19762655
2076,-1.4709804,-1.6309738,-3.0703428
3125,-0.35335332,-0.8440901,-1.1661214
3063,-0.24458286,-1.460602,-1.5976114
3869,-0.35628736,-1.3356066,-1.6957893
2236,-0.66201955,0.30029285,-0.4331075
3735,-1.7081606,-2.6492758,-4.4844885
2103,-0.9097471,-1.1111131,-1.956858
3496,-1.0990337,-0.39791793,-1.5852697
2152,-0.6992229,0.30679226,-0.26196313
2979,-1.4185493,-2.566361,-4.005232
2383,-0.24920224,-0.23561111,-0.5112258
3382,-1.4234948,-1.1877458,-2.7091832
3019,-1.0102543,-0.84808475,-1.9439824
2295,-0.9772275,-1.4847941,-2.4348557
3304,-0.76657706,-0.33118975,-1.143763
2721,0.5513906,-1.205064,-0.7374802
3811,-0.6606251,-0.271085,-0.829076
3828,0.083270304,-1.0811454,-1.0243661
3939,-2.55167,-2.808959,-5.2772036
3618,-0.6279088,-3.2439365,-3.8327432
2220,-0.13528778,-0.7702195,-0.9105685
2728,-0.65843123,-0.59661573,-1.0070049
2656,0.19920154,-0.9726408,-0.7203648
2982,-0.8886457,-1.0245318,-1.9409934
2950,-0.8233082,-2.0345774,-2.7339218
3228,-0.08974093,-1.2637622,-1.3342754
3217,-1.3560997,-1.2597862,-2.705573
3898,-0.5902031,0.16500998,-0.5673931
2188,-0.23481621,-0.34221798,-0.59863615
