,y
3010,0.0
3477,0.0
3562,0.0
3291,0.0
2375,0.0
3494,0.0
2169,0.0
2011,0.0
2451,0.0
3388,0.0
2462,0.0
2025,0.0
2581,1.0
3154,0.0
2428,0.0
2193,0.0
3805,1.0
3934,0.0
3357,0.0
3800,0.0
2422,0.0
2945,0.0
2217,0.0
3880,0.0
2647,1.0
3792,0.0
3208,0.0
2676,0.0
2601,0.0
2057,0.0
2516,0.0
3502,1.0
2166,0.0
3645,0.0
2962,0.0
2332,0.0
3259,0.0
3225,1.0
3915,0.0
3469,0.0
3155,0.0
3996,0.0
2184,0.0
2599,0.0
2027,0.0
3618,0.0
2704,0.0
3331,0.0
3751,0.0
2849,0.0
2924,0.0
3150,1.0
3811,0.0
3205,0.0
2218,0.0
2431,0.0
2384,0.0
2189,0.0
2661,1.0
3157,0.0
2402,0.0
3945,0.0
2877,0.0
3629,0.0
3765,0.0
2545,0.0
3577,0.0
3475,0.0
3703,0.0
3672,0.0
2316,0.0
3955,0.0
2045,0.0
3910,0.0
2406,0.0
3939,0.0
2591,0.0
2886,0.0
3064,0.0
3505,1.0
2872,0.0
3403,1.0
3481,0.0
2777,0.0
2496,0.0
3727,0.0
2459,0.0
2678,0.0
3058,0.0
3779,0.0
2659,1.0
2173,1.0
3740,0.0
3781,0.0
3188,0.0
3279,0.0
3314,0.0
3744,0.0
2443,0.0
2733,0.0
3741,1.0
2982,0.0
3303,0.0
2286,0.0
3895,0.0
2458,0.0
2791,0.0
3325,0.0
2768,0.0
3326,1.0
2815,0.0
3979,0.0
3677,0.0
2652,1.0
3395,1.0
3202,0.0
3305,1.0
2888,0.0
2835,0.0
3306,0.0
3002,0.0
3470,0.0
2979,1.0
3973,0.0
2957,0.0
2814,0.0
2851,0.0
3734,0.0
2967,0.0
2325,1.0
2357,0.0
3038,0.0
2750,0.0
3554,1.0
3768,0.0
3081,0.0
2745,0.0
2390,0.0
2001,0.0
2890,0.0
3662,0.0
2879,0.0
3059,0.0
3914,0.0
2621,0.0
2878,0.0
2425,0.0
3161,0.0
3839,0.0
2084,1.0
3722,0.0
3538,0.0
3134,0.0
3610,0.0
2088,0.0
2156,0.0
3121,0.0
2438,0.0
3318,0.0
3977,0.0
3908,0.0
3266,0.0
3275,0.0
3210,1.0
2752,0.0
3097,0.0
2521,0.0
3640,0.0
3375,0.0
3484,0.0
3609,1.0
3165,0.0
2758,0.0
2262,1.0
2900,0.0
3460,0.0
2101,0.0
3491,0.0
2099,0.0
2170,1.0
2423,0.0
2467,0.0
2609,0.0
2547,0.0
2201,0.0
3393,0.0
2780,0.0
3465,0.0
3739,0.0
3922,0.0
2689,0.0
2731,0.0
3550,0.0
2042,0.0
2626,0.0
2370,1.0
3509,0.0
3355,0.0
3747,0.0
3128,1.0
