,y_hat
3380,False
3003,False
2739,False
3072,False
3901,False
2352,False
2459,False
2558,False
3456,False
3020,False
2608,False
3548,False
2973,False
2514,False
2557,False
2041,False
3608,False
2912,False
2719,False
2196,False
2392,False
3423,False
2162,False
2794,False
2672,False
3820,False
3211,False
2117,False
2662,False
2059,False
2274,False
2959,False
3420,False
2908,False
2747,False
3175,False
3868,False
2832,False
3113,False
3079,False
3129,False
3156,False
2543,False
2080,False
2482,False
2263,False
3323,False
2121,False
2848,False
2860,False
3539,False
2259,False
2366,False
2384,False
2087,False
2691,False
3428,False
3013,False
3780,False
3367,False
3526,False
2278,False
2607,False
2194,False
3213,False
2098,False
3900,False
2157,False
2460,False
3826,False
3967,False
3950,False
2021,False
3136,False
2967,False
3875,False
3895,False
3123,False
2043,False
2398,False
2084,False
3300,False
2715,False
3553,False
2133,False
2552,False
3347,False
2171,False
3446,False
2350,False
3482,False
3309,False
2336,False
3188,False
3604,False
3105,False
3889,False
3224,False
2334,False
3233,False
3744,False
2888,False
2700,False
3775,False
2096,False
3881,False
2349,False
2221,False
2999,False
3800,False
3665,False
3995,False
2948,False
2524,False
2173,False
2875,False
3635,False
2526,False
3778,False
2283,False
2940,False
3252,False
3063,False
3555,False
3111,False
2464,False
3308,False
3559,False
3295,False
3796,False
3616,False
2923,False
3145,False
2103,False
2540,False
2483,False
2265,False
2711,False
3048,False
2165,False
2834,False
2389,False
3050,False
3501,False
2282,False
3783,False
2380,False
2054,False
2342,False
2509,False
3976,False
2804,False
2013,False
3594,False
2942,False
3371,False
3612,False
3471,False
3827,False
3631,False
3795,False
2502,False
2489,False
2455,False
3659,False
2728,False
3714,False
2093,False
2144,False
2097,False
2012,False
3735,False
3710,False
2785,False
2625,False
2382,False
3018,False
3046,False
2396,False
3617,False
3848,False
2740,False
3372,False
3455,False
3265,False
2871,False
2086,False
2822,False
2914,False
3614,False
3406,False
2772,False
2280,False
3750,False
2541,False
3575,False
2639,False
3066,False
3790,False
2346,False
