,x1,x2,x3
2680,0.14475992,1.2509108,1.3500904
2360,0.4727825,-0.03565103,2.1328073
2356,-0.53796667,1.9435027,1.3858327
3886,1.1881618,0.38503772,1.618733
3840,0.71424216,0.8182817,1.4972336
2914,1.1348033,0.20398057,1.5515836
2821,1.1402885,0.33559352,1.4469571
3955,0.67914915,0.49044913,1.6569746
2300,0.9603003,1.5986996,2.6395235
2594,0.7510911,0.27850276,1.7172302
2913,0.42600167,1.1006702,1.5721755
3504,0.11720765,0.8694804,1.8317772
3888,1.1827253,0.41305876,1.7673254
2867,0.37605888,1.031185,1.4768283
2092,0.30029202,0.85388523,1.7289329
3225,0.5376214,0.9642718,1.5539986
3367,1.1763021,0.8726698,0.810018
3065,1.1184621,-0.0723927,0.98391193
3713,1.1908618,0.6959951,1.8447753
2728,1.1601689,1.2466768,2.3290725
3791,0.42288262,1.0922637,1.6141167
3314,0.32763803,1.1954061,1.4893135
3371,0.84757054,-0.56530774,1.5789995
3158,1.1256291,1.7827942,3.034358
3566,0.8159311,0.92648745,1.5896033
2626,1.1163357,0.21099746,1.5180552
3235,1.1031902,-0.2254163,0.92508346
2393,0.6080291,0.8995186,1.5153166
3424,-0.014086485,0.9048008,1.9049112
2303,0.29312864,1.2255297,1.5287285
3078,0.15847674,0.8482706,1.7749596
3039,1.2389975,-0.5261297,0.8391351
3692,1.013676,1.4907342,0.99948156
3653,0.6716933,0.9728733,1.5396194
3454,0.49419633,1.0568241,1.510457
2520,0.40712714,-0.061143905,2.6407123
2830,1.8623238,0.78375053,0.05410204
3160,1.3130187,1.9037684,3.3337405
2195,0.42765713,1.2664434,1.1681076
2413,0.109271064,1.4785705,1.7155457
2093,0.057254292,1.1293079,1.590213
3455,1.2801117,0.68974525,1.9590994
3613,0.41303548,1.112644,1.675335
2530,0.7077914,0.09486729,1.5160271
3327,0.40688258,1.0790507,1.3915656
2919,0.9157513,0.7401959,1.5342646
3193,0.33948594,1.1398382,1.5559025
2596,1.5920756,2.3635154,0.27104273
3196,0.40984827,1.1931778,1.8199803
2329,-0.4327883,2.0367389,1.3755656
2348,0.48794678,0.96644497,1.4489014
3638,0.86805594,0.35433826,1.6869731
3021,1.1993356,0.7662177,1.9930177
2666,-0.015068149,1.6979873,1.8158507
2157,1.508877,1.8477862,3.2956915
3282,1.2111245,0.38141936,1.6290464
3983,0.07906906,1.2195698,1.5328157
2392,-0.75588816,2.1177862,1.3582261
2550,0.103072844,1.0182195,1.7407534
3511,1.1317092,0.2683416,1.5387186
3019,1.0911266,1.3950686,1.4016523
3335,1.1829281,1.1941551,2.2419937
2791,0.98578995,0.46131718,1.3549767
3703,0.11067264,1.3464805,1.3474891
2753,1.2439979,0.39915013,1.6011214
2597,1.1526955,1.0575871,2.2155871
3717,1.0010263,1.4367862,2.6569834
3954,0.80621415,0.80131996,1.027515
2771,0.16528328,1.3414202,1.3079276
3668,0.18587954,1.220969,1.37279
3053,0.7557115,-0.3344398,1.6088368
2720,-0.28829944,1.7596419,1.404178
2544,1.2794542,1.6492016,2.915755
2350,0.092228256,1.3587536,1.5103389
2494,0.9499766,1.0637977,1.5190208
2604,1.1540447,0.85638285,2.0164258
2091,1.1676611,0.33164528,1.3014686
3448,0.74131674,0.9807357,1.2467315
3253,1.164876,1.0196395,2.468887
3819,0.5944232,0.36068374,1.0488557
2686,1.0952868,0.5028572,1.7435745
2895,1.1403135,1.102229,2.2425168
3380,-0.06264639,1.5986298,1.539284
3112,1.2788147,1.2224422,2.4636323
3209,0.8028955,0.68720907,1.5455959
3647,0.28481826,1.3927174,1.1964906
2861,0.12000477,1.34594,1.5748576
3693,0.8552784,0.5013219,1.3418086
3416,0.9846153,0.49797058,1.3531142
2138,0.6750875,0.81427157,1.39157
2110,1.2604737,0.46745497,1.5382826
3188,1.1010545,1.4996065,1.207738
2267,0.7000737,0.87776256,1.4694922
3849,1.2331189,0.9514897,2.2982464
2346,1.0430568,1.2535443,1.1079369
2194,0.6205481,0.8128779,1.4507066
3082,1.200508,0.34901118,1.418
3738,1.0137023,0.45987794,1.4084549
2302,0.6829189,0.83557844,1.4831502
2149,-0.025581544,1.5413146,1.3848623
2398,1.2038959,1.3942592,2.5185304
3336,1.0789174,1.6667941,2.7359397
3942,1.2346731,1.1130074,2.4443102
2391,-0.20216872,1.6387782,1.545639
2708,0.16321707,-0.13306677,2.7894604
3079,0.30485162,1.3164575,1.6918153
3915,0.95598507,1.7019404,1.5732147
2166,0.4989841,0.8530663,1.5006884
2262,0.48337004,0.9952794,1.484505
3456,0.31135505,1.1305351,1.4122721
2792,0.6745219,-0.29385567,2.6039915
3300,-0.028302649,1.544501,1.3631153
2094,0.29378352,1.1879487,1.531981
3157,1.2505313,0.3093556,1.4421569
3286,1.3234898,2.1478195,0.67880934
2334,0.7352584,0.8658296,1.5947195
3924,1.0887583,-0.32264602,0.6868403
2772,1.3349389,0.3331809,0.80866534
2446,1.6494474,1.5607736,0.511104
3332,1.2015392,2.766787,1.2275575
