,x1,x2,x3
2557,-0.69194293,0.80190384,0.11579454
3663,0.27414384,0.35102537,-0.42003876
3165,-0.17615278,0.27733254,0.11626841
2621,0.8800956,0.10797465,-0.7714592
2759,0.14600816,0.02787168,0.1519604
3931,-0.2621947,0.47150487,0.22361529
3488,-0.046090223,0.10963138,0.11124092
2581,-0.10033144,0.46470422,0.46907443
2705,0.71248037,-0.7472467,0.21021199
2125,-0.76859725,0.9365809,0.03283465
2605,0.34968352,0.048228405,-0.227918
3343,0.6239165,-0.4441762,0.17679885
3970,0.18480547,-0.33277902,0.28730568
3212,0.2994484,-0.12685657,0.05785741
3744,-0.039117098,0.05444026,0.15907201
2509,0.23995593,-0.4974319,0.389036
2398,0.058557123,0.13522558,0.26795837
2526,0.1893582,-0.009828553,0.25492552
3035,-0.037099995,0.18821791,0.052167963
3139,0.70680153,-0.17724615,-0.27402097
2423,0.024173666,0.10566299,0.03541089
3272,0.27853173,-0.1780242,0.1810741
2530,-0.00061171054,0.28887975,0.21896599
3276,-0.004542829,-0.08049338,0.23304746
2330,0.013782,-0.411704,0.6290984
3750,0.4434769,-0.1971043,0.08122641
3825,-0.21626957,0.30883902,0.09402892
3374,0.12915017,0.14725693,0.4352641
3673,-0.40965307,0.5574434,0.2423589
3367,0.43885154,-0.2778852,0.23629323
3720,-0.370727,0.5651558,0.25233534
2008,0.47792995,-0.1195876,0.31715637
3880,0.5329716,-0.44394523,0.08266947
2282,0.43591264,-0.44378313,0.22318925
3982,0.74676955,-0.62586844,0.11767527
2933,0.24324766,-0.03742657,-0.012774277
2872,0.041209497,-0.38063997,0.48874578
3546,0.49600524,-0.44717354,0.12223174
2058,0.0795117,-0.05632169,0.18347093
3550,-0.07837466,-0.15982533,0.44407877
2753,0.1503523,-0.03154689,0.12060685
2188,-0.13810758,0.26353765,0.07321608
2170,0.7807244,-0.08147806,-0.34904066
3463,0.43872842,-0.14829662,0.052187428
2769,0.681085,-0.5315982,0.109034255
3246,0.39702997,-0.2831006,0.04319042
3394,0.09067038,0.1758506,0.18187404
3307,0.10264907,-0.4806579,0.57127726
2439,0.22908126,-0.23074974,0.16396546
3127,0.31014207,-0.17346904,0.24018344
2360,-0.011124325,0.19175813,0.09873574
2684,-0.28560048,0.47634095,0.08136817
2538,0.3031469,-0.22195059,0.11923541
2826,-0.096712194,0.14313242,0.19905093
2869,0.34612304,0.012390303,0.22658189
3364,-0.8014813,0.81141883,0.22194156
2376,0.57707673,-0.6179547,0.3770402
3352,0.057826076,0.16926488,0.11044773
2737,-0.17011318,0.4464763,0.2791893
2089,0.13827123,-0.014854878,0.19957033
2182,-0.2756431,0.42669213,0.19856808
2715,-0.033983637,0.14781822,0.16068143
3229,-0.26939052,-0.14793944,0.5473747
2433,-0.34919232,0.5409545,0.19251308
2379,0.027349805,0.14825901,0.011700153
3125,0.6313328,-0.14846116,0.43757147
3600,-0.15318295,0.027806774,0.26742464
2097,-0.22575948,0.321873,0.09862332
3604,-0.17332752,-0.011926031,0.3264788
2030,-0.52194005,0.73698133,0.32717967
2256,0.099311516,0.012461498,0.25520808
3444,-0.40640196,0.6308223,0.32438222
3464,0.12892821,0.62546253,0.6574615
2548,-0.105151154,0.31622213,0.2380395
3348,0.26369235,-0.49750775,0.4128253
2098,-0.1948786,-0.30548382,0.6319643
2565,-0.38548285,0.27947015,0.26777524
2145,-0.06901355,0.10019998,0.18668894
2298,0.43138644,-0.37280086,0.19620828
3670,0.5858783,-0.336904,-0.07285726
2523,-0.28806254,0.34539333,0.11954195
3134,-0.061106145,-1.1327853,1.4229754
3393,-0.055451225,-1.1435077,1.2819536
3519,0.33319637,-0.1382711,0.15101935
3442,-0.53106564,0.7034345,0.33506924
2050,-0.10386262,0.15324649,0.12990126
2996,-0.15870933,0.30342397,0.05332346
3414,0.26977044,-0.0632582,0.21534672
2997,-0.271925,0.42742398,0.15679213
2660,0.18359503,0.5462581,0.84851885
2099,0.0348184,-0.032432918,0.15073447
2984,0.40784365,-0.614218,0.42599687
2388,-0.13561411,0.30330542,0.15964785
2677,0.15172666,-0.40264124,0.43764883
3323,-0.47463432,0.85874677,0.40921175
2782,-0.31251878,-0.5400753,0.9772307
2960,-1.3403441,1.6396862,0.270034
2404,0.26724792,-0.3172034,0.20132264
3057,-0.42879432,0.57291514,0.13065714
2993,0.37968236,-0.22213525,0.2856419
2574,0.17906538,0.6246847,0.8270001
3103,-0.38630542,-0.7154664,1.2619402
2585,-0.48406672,0.7031027,0.19398005
2920,0.28713968,-0.53087056,0.42023763
3171,0.5502182,0.068594605,-0.41685647
3572,-0.25782812,0.016888047,0.39904436
2019,-0.750378,0.7614087,0.1690206
2220,0.31920516,-0.39365143,0.23587021
2378,-0.47529882,0.70911235,0.19829834
2045,-0.03286331,0.14238247,0.13863853
3627,-0.011201712,0.20907919,-0.020198315
2721,-0.2844814,0.24700668,0.24524519
2047,0.5192211,-0.4165393,0.078560926
3866,0.19682594,-0.2853008,0.2686774
2950,-0.0853727,-0.78298366,0.98994684
2458,0.21327752,0.04850833,0.17916307
2341,-0.764821,0.9297691,0.16257598
3824,-0.17597887,0.32745674,0.1156674
2208,0.5329311,-0.4387629,0.065474
2021,-0.4838472,0.5142228,0.2221742
2635,-0.31241855,-0.70463073,1.1150025
2776,-1.3334637,1.5652344,0.14003503
2829,0.07939205,0.23610198,-0.08898182
3851,0.06224518,-0.08582054,0.1971089
3985,0.51572275,-0.54462636,0.22429009
3375,-0.23331375,0.34361738,0.14577615
2893,0.48122728,-0.6556449,0.32046416
2607,-0.5301235,-0.5057864,1.1616768
2543,0.9292276,-0.46680248,0.44426042
3814,0.096978284,0.25120002,0.3940134
2359,-0.18809088,0.86806005,-0.45341524
3958,-0.7206518,0.9568259,0.32657835
3863,0.115007125,-0.21706471,0.30051252
2959,0.6400261,-0.29723668,0.3458859
3601,0.35049686,-0.3204164,0.19438314
2263,0.609143,-0.73423994,0.35633206
2278,0.56412125,-0.48816514,0.15235996
2028,-0.16591817,-0.025691962,0.3492603
3240,0.35307452,-0.1972353,0.08292182
2641,0.553025,-0.42995572,0.09720956
3522,0.21387625,-0.35891604,0.31305718
2510,0.07227143,0.05728202,0.05903516
3405,-0.36899966,0.5666258,0.26306728
2667,0.03183192,-0.024635267,0.17893715
3812,0.4656391,-0.42456782,0.19941285
3174,-1.0627046,1.150542,0.096431255
2730,0.50944763,-0.44973755,0.13631603
2910,-0.0028641224,0.45904654,0.47898403
3440,-0.09256261,0.30889225,0.21451135
2328,-0.06820409,0.23875116,0.10621412
3131,0.26682323,0.25539374,-0.260089
3335,0.18144274,-0.30146077,0.3136252
2032,0.5031564,-0.47288448,0.19999492
3293,0.35547128,-0.32947817,0.12786922
2271,0.17738755,-0.079665855,0.14803033
2885,0.08725176,0.0660602,0.10923283
3225,0.12789254,0.14587528,0.11074382
3007,0.5531206,0.13934875,-0.4161481
2615,-0.4356073,0.73984814,0.32236874
3925,0.74228275,0.20479017,-0.6960738
2740,0.4898122,-0.30696434,0.2117209
3755,-0.26229128,0.52030325,0.19954914
3465,-0.19160306,-0.19538136,0.5446052
3504,0.4046104,-0.041805863,0.1829017
3544,-0.4078793,0.050073005,0.53325063
3724,-0.03865791,0.29763514,0.25850347
3654,0.21347503,0.27470195,-0.2757567
2867,0.3707255,-0.11769462,-0.07926579
2727,0.6055455,0.33185667,-0.67982656
2899,-0.17683685,0.32194394,0.0955393
3321,-0.47259828,0.01037631,0.6543257
3087,0.12519327,-0.086897835,0.109520964
3070,0.3201963,-0.28770575,0.12135701
3736,0.1610721,0.048137806,0.28958964
3085,0.17410201,0.01880838,0.2424718
2803,0.1589099,-0.0067446977,0.04679647
2858,0.22666685,0.40611815,-0.427324
2411,0.023287881,0.38353267,0.41297743
2374,0.51561165,-0.44508255,0.14453053
2175,-1.1202314,1.3379705,0.11149126
3593,0.023801947,0.0633242,0.13871329
2544,0.32680777,-0.14992109,0.052162338
3356,0.029683435,0.39031467,-0.23894592
3991,0.10464573,0.006373024,0.09131465
3775,0.0077023637,0.09808431,0.14630504
3973,0.03514216,0.85095114,-0.6252633
3430,0.1933941,-0.648512,0.59836775
2396,-0.27509925,-0.009301161,0.44902262
3404,0.016820837,0.6071149,-0.4115026
2693,-0.22744106,0.48851103,-0.025120879
2567,-0.13746329,-0.44840863,0.74088144
3962,0.076822594,-2.1740875,2.1353908
3486,-0.28780517,0.28186008,0.21422082
2261,0.14414528,-0.138338,0.15651974
3928,0.1919897,-0.024699882,0.23068455
2902,-0.82385933,0.9342809,0.16757296
2487,0.6045573,-0.8139531,0.34676594
3788,0.16217479,0.29340088,0.41325945
2958,0.010455275,0.7960145,-0.57680064
2632,0.34447023,-0.16843995,0.27157336
