,y
2311,1.0
2773,1.0
3388,0.0
2759,1.0
3306,0.0
2424,1.0
2019,1.0
3302,0.0
3096,0.0
2271,0.0
3147,0.0
2936,0.0
3531,1.0
2310,1.0
2084,0.0
2529,0.0
3088,0.0
3944,1.0
2287,1.0
2221,1.0
2120,0.0
2065,1.0
3720,1.0
2283,1.0
3374,1.0
2932,1.0
2727,0.0
3711,0.0
3431,0.0
2916,1.0
2053,0.0
3202,1.0
2923,0.0
3416,1.0
3414,1.0
2780,1.0
2659,0.0
2737,0.0
3348,1.0
3529,1.0
3936,1.0
2374,1.0
3968,0.0
3741,0.0
2534,1.0
2563,0.0
3509,0.0
2224,1.0
2930,1.0
2965,0.0
3134,1.0
2802,1.0
3258,1.0
2858,1.0
3921,1.0
2335,0.0
3020,1.0
3763,1.0
2175,1.0
2298,0.0
2351,1.0
3185,0.0
2089,1.0
2303,0.0
2981,0.0
3404,0.0
3546,0.0
2574,1.0
3214,1.0
3744,1.0
2304,0.0
3603,0.0
3697,0.0
3131,0.0
2947,1.0
2079,0.0
2597,1.0
2872,0.0
3829,0.0
2979,1.0
3754,1.0
3352,0.0
3441,0.0
3557,1.0
3429,1.0
2885,0.0
2616,0.0
3219,1.0
2330,1.0
3869,1.0
2868,0.0
2380,0.0
3394,1.0
2766,1.0
3751,0.0
2319,0.0
2476,0.0
2964,1.0
2641,1.0
2730,1.0
3178,0.0
3282,1.0
3868,1.0
3368,1.0
2381,0.0
3482,0.0
2920,1.0
2975,0.0
2906,0.0
3225,0.0
3099,1.0
3806,1.0
3405,0.0
3309,1.0
3630,1.0
3313,1.0
2382,1.0
3704,0.0
2249,0.0
2598,1.0
3408,0.0
3608,1.0
3375,1.0
3611,0.0
3663,1.0
3721,1.0
3998,1.0
2357,0.0
3320,1.0
2132,1.0
3288,0.0
2786,1.0
3519,1.0
2531,0.0
2701,0.0
2255,1.0
2925,1.0
3279,1.0
3580,1.0
2416,1.0
2778,1.0
2834,1.0
3035,0.0
2650,0.0
2220,0.0
3267,0.0
2239,1.0
2919,1.0
3016,0.0
2672,1.0
3406,1.0
2452,0.0
2686,0.0
2629,0.0
3892,1.0
3705,1.0
3523,1.0
3389,1.0
3173,1.0
2549,0.0
3824,0.0
3100,0.0
2803,0.0
3872,0.0
2141,1.0
3463,1.0
3410,1.0
3454,0.0
3300,0.0
2074,1.0
2233,1.0
3556,0.0
3324,1.0
2038,0.0
3146,1.0
2973,0.0
2039,1.0
3450,0.0
2508,1.0
2341,1.0
3090,1.0
3748,0.0
3710,1.0
2004,0.0
2030,1.0
3336,1.0
2031,0.0
2859,1.0
3373,1.0
2342,1.0
2282,0.0
3230,1.0
2576,1.0
3889,1.0
3332,1.0
3412,1.0
2756,1.0
2372,0.0
3189,1.0
3629,1.0
