,x1,x2,x3
3571,-0.44902167,0.041421402,0.35240087
2129,-0.07349913,-0.006812447,0.03912204
2368,-0.6380931,0.25389284,0.4347907
3861,-0.8715608,-1.6026969,2.0645607
2525,0.07897128,-0.8294579,0.58848804
2236,-0.87599534,0.7495808,0.28947297
2362,0.018256791,-0.60563844,0.45080823
2854,-0.26269755,-0.2871966,0.48193178
2190,0.35713112,-1.1629152,0.5591676
2092,-0.7629739,0.7742746,0.19882132
3276,0.43413195,-1.8464986,1.0640736
3387,0.3507584,-1.851257,1.1381458
3804,-0.19294591,-1.4597448,1.2872032
2153,-0.49335164,-1.925056,1.9475473
3759,0.54141766,-0.55920494,-0.054486584
2974,-0.33431005,-1.1170502,1.1459405
2979,0.0904776,-0.33381635,0.38074905
3369,0.1597771,-0.395236,0.18282938
2631,-0.12244139,-0.58586097,0.57668966
2304,-0.38458443,0.29211348,0.09029424
3177,-0.22187254,-0.46263736,0.5540081
2176,0.5164278,-0.64531684,0.06169244
3824,-0.06725677,-0.52884877,0.48707289
3223,-0.49343297,0.18663187,0.24535987
3486,0.37013686,-0.45535904,0.029004186
2575,-0.07855976,-0.07755716,0.47846
2003,0.4825482,-1.1877028,0.5229451
3748,0.13184533,-0.59667414,0.35360664
3074,-0.11304514,-0.39754742,0.36765385
3990,0.090836346,-0.7891781,0.6277946
3198,-0.012341237,-0.7738113,1.3568345
2698,0.26083663,-1.5237811,0.98427093
2010,-0.10345136,-0.67004496,0.6315589
2647,-0.60051584,0.72498274,0.24062508
3546,0.27054104,-0.4259384,0.1285126
3890,-0.33092684,-0.49081957,0.6380598
2411,0.44818884,-0.4200009,-0.07443018
2887,0.25278574,-0.71580595,0.4060976
3505,-1.7847034,-1.2188643,2.4630632
3308,0.0007538438,-0.81809676,0.6050343
2410,-0.2176322,0.23379104,0.027142044
2722,0.25130254,-0.99392515,0.57744133
2284,-0.30101702,0.21992746,0.38381952
3234,-0.42396232,-1.4544669,1.4793576
2608,-0.24217582,-0.6386281,0.6856283
2680,-0.20930566,-0.14968883,0.26498514
3346,-0.119942054,-0.12666258,0.16774733
2165,-1.1673387,-0.15986416,1.13802
3521,0.33930603,-0.28907335,0.06632517
2517,0.2636105,-0.61503446,0.21757635
3799,0.30037904,-0.42379135,0.093902685
3953,0.5791647,-0.8669048,0.17528448
3625,-0.5426018,-0.59862196,0.9036994
3692,-0.36411366,0.109152675,0.26314235
3591,-0.9203256,0.5825452,0.2974546
3464,-0.08280202,-0.5717473,0.48307654
2137,-0.476633,-0.15388247,0.48905447
2666,-0.111906484,-0.16003394,0.19123578
3732,-0.050865628,0.086666234,0.01838978
3769,-0.08906869,-0.50486845,0.44308478
3153,-0.109038904,-0.6468414,0.57890904
2662,0.33337736,-1.7781801,1.0652578
2595,0.59096223,-0.094751716,-0.07277422
3834,-0.037644956,-0.09658407,0.14343879
3429,-0.13112812,0.22541606,-0.084595785
3244,-0.53990275,0.52782875,0.5647055
3621,-0.5308435,0.26085526,0.24197736
3168,-0.42986804,0.2809736,0.6804915
3694,0.30775467,-0.5413156,0.13334522
3329,0.3240875,-0.3699124,-0.01141305
2268,-0.0978607,-0.5038034,0.434839
2925,-0.21252002,-0.40686995,0.5092933
3654,-0.25363654,-0.1720238,0.37652877
2317,-0.11981877,-0.40009993,0.38331264
2334,-0.489198,0.52568805,0.10821279
2292,-0.62389743,-0.22011204,0.71005845
2886,-0.09237722,0.37455666,0.51970756
3517,-0.19417948,0.36730355,0.15321015
2757,0.085390374,-0.8429314,0.5731993
3636,0.5298071,-0.5146333,-0.062131763
2076,-0.15907764,-0.6078619,0.60279477
2072,-0.89860237,-0.8627001,1.4124361
2235,0.6627386,-0.9573972,0.14547281
2743,0.41290075,-0.47088927,-0.015936757
2645,0.07123785,-0.14657693,0.029687738
3592,-0.10146311,0.22320527,0.04045148
2082,-0.26230493,-0.3997802,0.51373553
2622,0.17796901,-0.72287726,0.37961346
2840,0.25963518,-0.45718473,0.116240695
2279,0.122021765,-0.61384505,0.40157515
2173,-0.69149655,-0.15438476,0.6873398
2015,-0.7794113,0.17393851,0.518371
2348,0.18983045,0.49816483,0.1410579
