,x1,x2,x3
3714,0.3651874,-0.45488614,0.17546682
3528,0.42355558,-0.2982466,0.080028355
3318,0.4845415,-1.7920911,1.3226761
2039,-0.16060606,0.34306332,0.2110416
2095,0.5847589,-0.37676772,0.29462853
2542,0.16147456,0.02455982,0.13070747
3273,-0.27359527,-0.23059699,0.63367355
2496,-0.11848919,0.071485326,0.16140303
3198,-0.5898977,0.5929976,0.1623621
2743,0.081445865,0.048905183,-0.07164201
3824,-0.25810474,0.0697016,0.2924362
3283,0.34053028,0.46451235,0.6399717
2026,-0.37632126,0.2933484,0.20131624
2977,0.89281833,0.8705406,-0.31962958
2869,-0.019314598,0.044522546,0.12935786
2958,-0.032703113,0.17308196,-0.024561215
2041,-0.31007224,0.18812712,0.2534107
2125,-0.95149004,0.91914433,0.15880731
2168,-0.17038919,-0.019861406,0.3551169
3477,-0.64778084,0.7121616,0.059873722
3795,-0.2538703,0.25838,0.10380153
2218,0.113421336,0.0040866407,0.12568972
3073,0.49435887,-0.3613728,0.095795125
2852,-0.26956746,0.56279254,-0.1514915
2887,-0.20033053,0.36736476,0.1721084
3705,0.29311985,-0.17851071,0.0580651
2236,0.3576087,-0.547127,0.26792228
3607,0.14625165,0.12734726,0.18303299
3432,0.41566294,-0.22425812,0.22107458
2276,0.8593602,1.3321474,-0.27387494
2700,0.062257864,-0.38352627,0.4037134
2790,0.19156662,-0.19237533,0.13458888
3402,0.20286202,-0.051087953,0.20819715
2726,0.51385546,0.38766423,-0.7330661
2945,-0.17061463,0.37120402,0.24663801
3120,-0.20749032,0.025873328,0.26929292
2361,-0.24647073,0.027287459,0.35500863
2315,-0.79167646,0.938011,0.2874416
2636,0.35105994,-0.25151125,0.046080746
2250,-0.9075036,0.9166459,0.11422853
3525,0.09922061,0.057406615,-0.038551617
2507,0.23804693,-0.03039391,0.18437865
3456,-0.8319032,0.9765124,0.087295875
2798,0.09770672,-0.17908946,0.21504125
2097,0.4250979,-0.2764043,-0.03803296
2906,-0.0451728,-0.15971312,0.37300426
2571,-0.16888514,0.23682776,0.045379624
2394,0.127032,0.06674204,-0.06079974
3912,-0.12562609,-0.15616593,0.38024038
2760,0.66905606,-1.0392746,0.49950808
3770,-0.44415706,0.5033311,0.08520054
3497,0.07038064,-0.12955256,0.16174929
2832,0.28628534,-0.16616598,0.068798654
3691,-0.2521867,0.3064482,0.08596551
3491,-0.662838,0.7012828,0.114087395
3538,0.37842354,0.004523563,-0.248812
2023,-0.8547579,-2.0444584,3.2810342
3908,0.09617849,0.048359204,-0.033082295
2518,0.13190709,-0.012898421,0.03686317
2042,0.43061763,-0.81582737,0.4549231
2191,0.05995107,-0.21504977,0.26749042
3151,0.571399,-0.5815415,0.13149476
3399,0.26279598,-0.12112808,-0.03108325
2060,0.105304696,-0.11662841,0.11409445
3734,-0.8691519,0.7924031,0.21354108
2285,-0.28834733,0.4614124,-0.15024409
3945,0.25891575,-0.06521581,0.35975447
3398,-0.024504852,0.13039605,0.04040561
3408,-0.23404086,-0.39132518,0.69768786
3101,-0.47233176,0.28447768,0.33885178
2141,0.14842334,-0.48436165,0.40839848
3956,0.44509754,-0.26778296,0.06678983
3168,-0.0010135003,-0.053914607,0.16871925
2406,0.44148192,-0.44684294,0.114368275
3201,0.3240538,-0.12809561,0.09340113
3406,0.14772728,0.009428835,0.19225295
2203,-0.119281635,0.30533385,0.11159196
3882,0.7234675,0.45678198,1.079861
3438,-0.88603127,0.17452024,0.8107277
2268,-0.47841275,0.61995083,0.15680388
2162,0.15731208,0.044603515,0.30539125
3659,0.3049712,-0.4391431,0.2191399
3893,-0.13583127,0.18361387,0.066171266
3175,0.3126286,-0.19218615,0.2017963
3849,0.76079524,1.1568848,1.9584658
2259,0.11434393,0.029772973,0.11443487
2181,0.009684468,-0.30775097,0.3814934
3389,0.59355605,-0.5151859,0.07053413
3509,0.48174223,-0.50248027,0.16469058
2563,0.14688544,0.05917125,-0.081379846
3486,0.40165883,-0.19187438,0.06308372
2055,0.07749228,-0.0005154371,0.07147932
3292,0.70949763,0.94237316,1.5602102
3832,0.8635719,0.78819996,-0.27818322
2842,0.71200716,-0.37758887,0.25190723
3184,0.035243582,-0.15051861,0.20667501
3249,-0.29438838,0.4133173,0.21334866
2912,0.023594527,-1.2562579,1.3845563
2388,-0.0804345,-0.17036769,0.41782394
3569,-0.7155384,0.8153103,0.034248542
3119,0.23607662,-0.73442596,0.56772435
2759,0.08080554,0.061281763,-0.00091820955
2841,0.27568826,-0.023205757,0.78561765
2008,0.28814012,-0.17143857,0.16629875
2466,0.113772646,0.058320425,0.15767229
2701,-0.7487152,0.39458618,0.46293625
2248,0.2834119,-0.06489017,0.05556844
3508,-0.35117415,0.4841071,0.2251603
2333,-0.16382423,-0.08733193,0.3618234
3173,0.040150452,0.09327183,-0.03208866
3310,0.059252243,0.10170031,0.1515561
3446,-0.00012335778,-0.032508038,0.17887673
3833,-0.51339287,0.011277288,0.63416195
2296,-0.28605556,0.41831762,0.0008710176
3914,-0.090217754,0.30143008,0.13208789
2479,0.13017046,-0.16906041,0.2175614
3496,-0.34903824,0.47432056,0.24536835
3171,-0.8566921,-0.65243375,1.6408237
2177,-0.14658563,-0.18020473,0.41293114
2615,0.1812792,0.0027049154,0.039840087
2090,0.6247041,-0.28823948,0.42699826
3105,-0.99090946,0.8777479,0.25633535
2939,0.33299118,-0.26604456,0.047384597
2671,-0.3793655,0.53910196,0.2752643
2030,1.1213839,-0.8278464,0.20623107
3765,0.14156194,0.03539729,0.37848806
2776,-0.91735727,0.9190216,0.17293525
3779,-0.2598199,0.26087734,0.09920309
3913,0.20154494,-0.5030068,0.448718
2422,-0.044583835,-0.0019802093,0.15593347
3903,-0.17128465,-0.09848251,0.40139169
3145,0.607499,0.56537694,0.3511746
2151,-0.44126764,0.35273314,0.24035887
2244,-0.05904584,-0.29122058,0.43453074
3193,-0.07519381,0.029247845,0.1816359
2372,-0.18033376,-0.09278841,0.38733277
3185,0.2933591,-1.1376562,0.89187807
2782,0.5982487,-0.48513764,0.05262104
2938,0.52402014,-0.59681463,0.15617895
2148,0.060240507,-0.30236086,0.34524348
2093,0.08105465,0.058461856,0.14672199
2327,0.0022442043,-0.17243281,0.26764745
2583,-0.12668231,0.036827393,0.18928714
2603,0.2556631,-0.13066426,0.17921482
3492,0.14647414,-0.22200474,0.16595855
2699,0.115357734,0.07763378,0.19531552
3799,0.3031472,-0.11748664,0.1513269
2199,-0.036318216,0.17594908,0.21289632
3019,0.31267396,-0.14387234,0.08090659
3165,0.150886,-1.0395391,0.93440807
2662,-0.029892396,-0.7498319,0.840162
3264,-0.3848698,0.5779801,0.16701643
2573,0.8064309,-0.30651516,0.6695781
2690,0.038357258,0.12660465,0.17293891
2595,0.42029673,-0.50164145,0.19416079
3214,0.69278187,-0.0008909106,0.69901454
3583,0.30843964,-0.14177704,0.14514658
2629,-0.039078712,-0.25260878,0.46022436
3245,-0.056572355,0.18513195,0.09161314
3409,-0.47394753,0.60190016,0.003995967
3222,0.28351825,-0.23744228,0.05583768
3140,0.5203079,-0.8989676,0.30737418
3178,0.03796172,-0.4815181,0.52698344
2265,0.18872076,-0.11568327,0.08336572
2974,-0.20643136,0.015263975,0.32496566
2201,0.4796537,-0.7275262,0.32666463
3619,0.5886338,-0.5985384,0.13938001
2637,-0.8819546,0.8650063,0.14624052
3391,-0.49046433,0.6391006,0.002062589
3552,0.7170473,-0.0096485615,0.65335774
2237,0.59522235,-1.267397,0.09908829
3000,-0.7302954,0.63449925,0.21949181
2689,0.7047998,0.22426572,0.807558
3001,-0.2867064,0.42460826,0.20543405
2299,0.22365265,-0.01814108,0.2849959
2475,-1.2020334,1.3925853,0.06944386
3575,0.7359971,-0.9497061,-0.16704527
3498,-0.40521702,0.49074504,0.110583365
2771,-0.039780356,-0.5376377,0.6416367
3020,-0.6137748,0.74811363,0.100934744
3197,0.6164153,0.2489275,0.201013
3724,0.09526237,0.0024176077,0.013447148
3086,0.04100008,0.16294344,0.24658859
2160,0.08138637,-1.1130726,1.0907352
3880,-0.06356924,-0.05147195,0.25929806
2879,-0.44166693,0.6217143,0.22956678
2527,0.26607016,-0.07220476,0.14916185
3541,0.64859974,-0.031722724,0.86845756
3875,0.8423236,-0.19529456,-0.11602597
2245,0.28376153,-1.5520093,0.7269648
3831,0.94751924,2.1561663,3.230085
3148,-0.2381704,-0.08786388,0.4109176
2154,-0.88493824,0.39448977,0.5882661
2338,-0.12986763,0.2680301,0.20107105
3888,0.149332,-0.56701,1.0091639
3192,0.11729185,-0.11237688,0.12876444
2066,0.71798694,0.052586734,0.7356441
2184,-0.3454144,0.0012375594,0.46201944
3295,-0.3212858,0.10873733,0.3405506
3434,0.087090425,-0.24435316,0.28817344
