,y
2757,0.0
2641,0.0
3747,0.0
3488,0.0
2234,0.0
3573,0.0
2931,0.0
3331,0.0
2895,0.0
2636,1.0
3110,0.0
3299,0.0
3845,0.0
3861,0.0
2789,0.0
2727,1.0
2181,0.0
3731,0.0
3942,0.0
3876,0.0
3391,0.0
3800,0.0
2665,0.0
3588,0.0
3224,0.0
2048,0.0
3019,0.0
3871,0.0
3579,0.0
3107,0.0
3506,0.0
2523,0.0
2808,0.0
3657,0.0
2364,0.0
2247,0.0
2150,0.0
3608,0.0
3799,0.0
2136,0.0
2360,0.0
3407,0.0
2973,0.0
3652,1.0
2446,0.0
2814,0.0
2945,1.0
2191,0.0
2153,0.0
3767,0.0
2943,0.0
3062,0.0
2481,0.0
3622,0.0
3653,0.0
2875,0.0
3328,0.0
3393,0.0
3324,0.0
3039,0.0
2105,0.0
3643,0.0
3240,0.0
3758,0.0
3680,0.0
3830,0.0
2792,0.0
3581,0.0
2102,0.0
2260,0.0
2883,0.0
3926,0.0
2544,0.0
3094,0.0
2283,0.0
2070,0.0
2560,0.0
2522,0.0
2953,0.0
2625,0.0
3440,0.0
3990,0.0
3087,0.0
2571,0.0
3422,0.0
2171,0.0
2936,0.0
2779,0.0
2505,0.0
2129,0.0
3716,0.0
3948,0.0
2373,0.0
3906,0.0
2852,1.0
3401,0.0
3528,0.0
2168,0.0
2413,0.0
2687,0.0
2797,0.0
2550,0.0
2845,0.0
2659,0.0
3499,0.0
3587,0.0
3589,0.0
2819,0.0
2871,0.0
2282,0.0
3084,0.0
2576,1.0
3859,0.0
2537,0.0
2375,0.0
2404,0.0
3312,0.0
3787,0.0
3950,0.0
3390,0.0
3454,0.0
2915,0.0
2811,0.0
3413,0.0
2786,0.0
2559,0.0
2685,1.0
3556,0.0
2245,0.0
3079,0.0
2835,0.0
3223,0.0
2892,0.0
2897,0.0
2985,0.0
2615,0.0
2850,0.0
3733,0.0
3264,0.0
2783,0.0
2524,0.0
2138,0.0
3339,0.0
2580,0.0
2359,0.0
3559,0.0
3042,0.0
2664,0.0
3832,0.0
2192,0.0
2627,1.0
2384,0.0
3244,0.0
3266,1.0
2358,0.0
2114,0.0
3743,0.0
3580,1.0
2110,0.0
3971,0.0
2082,0.0
3569,0.0
3131,0.0
3478,0.0
3937,0.0
2305,0.0
3056,0.0
3140,1.0
2304,0.0
3450,0.0
2624,0.0
3200,1.0
2390,0.0
2562,0.0
3518,0.0
2859,0.0
2335,0.0
3451,1.0
3206,0.0
3867,0.0
2131,0.0
2135,0.0
2252,1.0
3257,0.0
2773,0.0
3740,0.0
3189,0.0
3547,0.0
3682,0.0
3783,0.0
3003,0.0
3300,0.0
3571,0.0
3306,0.0
2018,0.0
3389,0.0
2986,0.0
2248,0.0
2193,0.0
3117,0.0
