,x1,x2,x3
2253,-0.5742639,-0.80337155,-1.6173742
3389,0.13563412,-1.4125497,-1.3134179
2153,-0.58456486,-2.3670602,-3.046755
3167,-2.1072547,-1.948502,-4.0452046
2125,-0.1902688,-0.43030545,-0.6496138
2383,-0.8195247,-1.7247374,-2.4617217
2872,-1.5612369,-1.1127816,-2.5955434
3785,-1.136341,-0.370888,-1.4765363
2006,-1.683166,-1.6790997,-3.347901
3015,-1.756143,-0.6054454,-2.467475
3416,0.80128574,-1.1835599,-0.42916107
2703,-1.3537562,-2.4549942,-3.7727065
2951,-1.3268129,-2.1559625,-3.4942708
2425,-0.24989185,-1.8582679,-2.18111
3908,-0.6646468,0.3397954,-0.35697323
3158,-0.69489795,-0.2607403,-1.0699884
2430,0.14395906,-0.6945873,-0.8342923
3690,-0.18449262,-0.87332964,-1.071544
3253,-0.32323098,-0.8126068,-1.0570554
2294,-0.86454225,-0.504841,-1.4440324
2702,-0.4942059,-0.62018,-1.1102536
3518,-1.5146525,-0.3112806,-1.6988368
3259,-2.6236992,-0.832899,-3.272539
3157,-0.26522467,-1.2187809,-1.6328723
2555,-0.6946732,0.38675082,-0.26874128
2023,-1.5665221,-1.869735,-3.554799
2300,0.036413148,-1.0129967,-0.99296683
3507,0.023485677,-1.1834638,-0.99931216
2988,-0.7884193,-3.3685822,-4.0021844
3366,-0.85379237,-0.13772625,-0.93275666
3234,-0.20005184,-0.11922687,-0.31758472
3266,0.23163962,-0.6428096,-0.5899147
2342,0.17401305,-0.9616084,-0.89068294
3217,0.8829999,-0.9876554,-0.237119
3889,0.15597127,-0.97606325,-0.94221616
2361,-0.10409728,-0.2901256,-0.39505067
3674,-0.36104915,0.29466417,-0.0663766
3741,0.74296,-1.0913126,-0.29829884
3330,-0.97312695,-1.4172986,-2.596959
3921,-1.7343539,-1.4844666,-3.1500041
2759,-0.54890686,-1.93906,-2.4172053
2165,-0.9000954,-1.1135547,-1.8109908
2243,-1.0732157,-3.6274514,-4.7231803
2664,0.1635415,-1.0637748,-1.0678202
2682,-0.3202575,-0.084379435,-0.3741601
3255,-1.0182171,-1.160374,-2.1606402
3732,0.40586147,-0.5308484,-0.074410096
3381,0.334532,-1.3367722,-1.084059
2678,-1.444481,-1.1158413,-2.7599792
2624,-1.0409467,-0.11234915,-1.2483522
2823,-1.6477954,-2.7644634,-4.6171517
3901,-1.5206395,-3.0830107,-4.6692123
2018,0.2769462,-1.255194,-1.016587
2858,-0.4088066,-2.0003176,-2.406313
2332,-0.21092367,0.16172063,-0.07692068
3208,-2.1174862,-1.4195203,-3.4358854
2789,-0.5320463,0.067822516,-0.5359172
2103,-0.8655435,7.545948e-05,-0.74649936
2693,-0.9545445,0.30912334,-0.5265407
3150,-0.9607969,-3.3040113,-4.144122
2595,-0.2975629,0.40352345,-0.015172854
2275,0.57704127,-0.7725098,-0.37235326
2887,-0.8507414,-1.2206237,-2.0147645
3347,-1.7834709,-0.7535845,-2.4113286
2094,-0.030664176,-1.6913145,-1.6762094
3675,-0.42436686,-1.1603652,-1.5728582
2434,-0.549475,-0.9199772,-1.3555127
2166,0.10579806,-0.32292017,-0.1090517
3324,-1.8707997,-1.8036485,-3.6982374
2217,-0.44557527,0.09495303,-0.438227
2631,-1.4425,-2.0200646,-3.4588892
3254,-0.6880648,-1.8932377,-2.6220903
3101,-0.62233156,-1.4197564,-1.9876728
3668,0.4963998,-1.6957921,-1.1891912
3575,-1.2704318,-0.119294286,-1.5299977
2160,-1.1799431,-0.6055779,-1.7970442
3228,-1.0480809,-1.3670875,-2.3592637
3859,-0.25978398,-0.6775334,-0.84551907
3743,-0.6562716,-0.98675394,-1.6817778
3988,-0.75638425,-0.34978682,-1.2034227
3379,-0.73557913,-1.6057472,-2.3235168
2170,0.03800932,-1.5475416,-1.5051789
2518,0.1664561,-0.4469331,-0.30621612
3797,-0.21824388,-0.6059863,-0.87638104
2986,-1.1040672,-1.4004081,-2.5662737
