ix,goal_cost,intv_cost
2181,0.91,2.1
3776,0.9179999828338623,1.5
2841,0.904,3.4
2915,0.902,5.800000000000001
2418,0.914,1.4000000000000001
2303,0.922,9.2
3492,0.902,2.7
3841,0.906,1.7
2383,0.91,7.199999999999999
3113,0.906,5.5
2007,0.934,1.6
2801,0.91,2.0
2572,0.902,11.0
2873,0.912,1.7
2208,0.918,4.0
2454,0.921999990940094,1.0
2039,0.936,1.1
3598,0.926,1.5
2844,0.902,3.2
2589,0.91,1.5
2976,0.916,1.6
3241,0.902,9.0
3361,0.914,2.9
2798,0.9440000057220459,1.0
3253,0.938,1.4
2333,0.91,6.8
2277,0.906,11.0
2984,0.91,3.1
3740,0.956,1.6
3107,0.924,7.5
3420,0.902,2.2
3548,0.902,2.8
3861,0.902,1.6
3314,0.902,3.1
2824,0.902,1.1
3860,0.9100000262260437,2.0
2537,0.918,1.6
3995,0.91,2.8
3438,0.934,2.5
3712,0.904,6.699999999999999
3373,0.91,9.899999999999999
2221,0.912,2.8
3155,0.938,1.3
3381,0.912,2.7
2832,0.938,0.7
2575,0.91,3.8
3234,0.914,1.1
3873,0.902,0.9
3305,0.928,2.3
2025,0.91,5.300000000000001
3338,0.916,1.5
3903,0.908,2.2
3525,0.908,1.2
2213,0.904,1.2
2581,0.912,1.3
2711,0.904,2.1
3680,0.912,9.1
3240,0.908,3.0
2196,0.918,2.3
3551,0.912,1.2000000000000002
3778,0.912,1.8
3421,0.91,10.0
2747,0.96,3.6
2682,0.96,1.5
2859,0.912,3.2
2706,0.904,3.5
3863,0.916,1.2
3957,0.926,9.3
3067,0.95,0.9
2147,0.904,2.2
3196,0.922,4.300000000000001
3195,0.916,5.699999999999999
2659,0.91,10.6
3933,0.92,3.2
3523,0.912,8.399999999999999
2363,0.906,12.600000000000001
3104,0.912,7.5
3703,0.916,9.0
3991,0.912,0.8
2904,0.916,4.3
3569,0.912,1.5
3604,0.902,3.6
2693,0.904,1.8
2764,0.914,3.9000000000000004
2120,0.912,3.8
3493,0.934,0.3
3587,0.912,4.0
3519,0.918,1.2
2534,0.914,6.5
2823,0.9120000004768372,2.5
2917,0.91,1.7
2875,0.936,1.6
2797,0.91,1.4
3038,0.9039999842643738,1.5
3528,0.922,13.3
2062,0.91,9.7
3163,0.9319999814033508,2.0
3959,0.902,0.8
3605,0.93,1.2
3416,0.9279999732971191,1.5
2013,0.908,1.2
3330,0.94,1.9
3200,0.906,1.1
2482,0.912,1.0
2839,0.904,13.100000000000001
3246,0.906000018119812,1.5
3618,0.922,0.9
3667,0.91,6.1
2091,0.912,1.9
2660,0.902,4.1
3786,0.908,9.9
2757,0.9139999747276306,1.5
3094,0.904,3.8
3080,0.916,6.6
2361,0.904,0.9
3035,0.926,1.4000000000000001
3117,0.924,4.1
3741,0.918,2.8
2896,0.906,2.2
2808,0.98,1.8
3054,1.0,0.9
2171,0.9120000004768372,2.0
3224,0.902,4.300000000000001
3114,0.902,8.0
2594,0.914,2.0
3671,0.942,4.5
2703,0.916,7.199999999999999
2219,0.918,2.4000000000000004
2058,0.902,8.7
2304,0.91,9.0
3334,0.91,4.800000000000001
2909,0.936,2.6
2595,0.908,2.1
2746,0.904,1.7
2412,0.93,2.6
2064,0.948,1.2
2580,0.916,3.9000000000000004
3832,0.908,11.1
3674,0.914,1.2000000000000002
2790,0.908,5.4
3727,0.91,4.8
3309,0.924,3.4000000000000004
2422,0.934,0.7
2142,0.918,1.9000000000000001
2464,0.908,4.9
3533,0.906,5.6
3944,0.932,4.5
2198,0.914,8.3
3732,0.92,1.3
3845,0.902,12.0
3562,0.92,0.9
3271,0.904,4.6
2411,0.9160000085830688,1.0
3077,0.934,2.3
2636,0.902,2.3000000000000003
2804,0.912,0.9
3229,0.902,1.4
3512,0.94,1.0
2900,0.906,2.5
3772,0.91,2.3
2123,0.924,6.6
2197,0.914,2.9000000000000004
3698,0.938,1.9
3704,0.928,2.3
3681,0.902,2.4
3797,0.902,1.8
3465,0.92,4.2
2359,0.906,7.8999999999999995
2761,0.91,6.7
2469,0.924,3.4
3260,0.91,3.4000000000000004
2112,0.936,1.7
3868,0.936,1.9
2344,0.912,13.4
3564,0.912,9.7
3142,0.922,7.3
2631,0.914,2.4
2556,0.908,1.7
3265,0.928,1.6
3650,0.914,10.5
2003,0.912,1.9
3539,0.914,1.7000000000000002
3062,0.906,9.8
2988,0.908,10.3
3867,0.91,10.0
2627,0.93,2.0
3601,0.908,12.9
3842,0.924,3.5
3865,0.914,3.4000000000000004
2057,0.92,3.6
2086,0.902,3.0
3849,0.916,3.4
3223,0.91,6.699999999999999
3655,0.902,6.1
3819,0.918,2.2
2063,0.934,1.7
2781,0.906,13.0
3518,0.922,4.8
2669,0.904,5.2
2302,0.908,5.4
