,x1,x2,x3
3340,-1.6146706,0.4113847,0.5912186
3502,-1.9014094,-2.5727973,0.3937537
3498,-1.7955917,-2.4493878,0.4615887
3417,-2.0718358,-3.9902892,0.43496704
3006,-1.6998869,-3.3281045,0.49702835
2001,-0.9841658,-3.2532182,0.3616968
3165,-1.3949698,-1.7382745,0.6132916
3923,-0.58198905,1.5626748,0.7334046
2268,-0.0661142,0.18181445,0.6795922
2855,-1.0437667,-1.7451192,0.5719652
2273,-1.6004618,-2.0078616,0.4866766
2681,-0.3638946,-1.3306488,0.5971432
3411,0.021223392,0.22789484,0.6433228
3981,-1.3012574,-1.1533322,0.57080704
2142,-0.6680472,0.347162,0.6717506
3058,1.1092584,-0.3656414,0.21490288
2409,-0.7109531,-0.43308058,0.57788724
3425,0.05090578,-1.2335296,0.60990834
2958,-0.19211605,-1.5719165,0.5790611
2080,-0.80464935,-2.1061406,0.43863016
3037,0.071122885,-1.878165,0.48652583
3868,-0.67838985,-0.5897441,0.6362728
2617,-0.35623863,0.61179304,0.6599333
2923,-0.71509546,1.1738337,0.69428337
3203,-0.27017856,-1.5045606,0.5139616
3779,-1.8035688,0.17984045,0.6734942
2486,-0.44303274,-0.7964897,0.5851432
2926,-1.062263,-1.2216,0.56521034
3808,-1.3472607,-1.9768561,0.4576086
2262,-1.871025,-1.0174927,0.58126366
2766,-0.2223151,-1.2107524,0.5284813
2548,-3.3604074,-1.4752237,0.48666555
2099,-1.2674953,-0.7877152,0.61339104
2744,-2.2042143,-1.8032931,0.49382696
2426,-2.894463,-3.953669,0.39130563
2667,-0.7615742,-0.6148565,0.60406077
2775,-0.9343298,-1.4692286,0.5079678
3085,-0.5934022,-1.9764718,0.5180197
2752,-1.3450513,-2.9616697,0.43386298
2287,-2.1769974,-2.1194513,0.46859998
3890,-0.18268383,-2.027946,0.4629237
2476,-0.31863552,-1.8159125,0.5508208
3406,0.6734804,0.51073754,1.4946287
2062,-1.2486439,-2.4305978,0.48142976
2443,-1.4837712,-2.3938677,0.5964955
3980,-1.6475041,-1.2104486,0.6083327
3604,-1.0521767,-0.89728516,0.5260541
3979,-0.73005444,-0.11241412,0.6236352
3215,-0.28587648,-0.574569,0.5701709
2342,-1.169566,-0.9127806,0.68815136
2479,-0.5435264,-0.5390017,0.6315672
3955,-0.9199998,-1.8572744,0.5127039
2708,-1.7547034,-1.6342216,0.54667693
2969,0.5495935,-0.008562446,0.10785258
3031,-1.5274854,0.71784306,0.71677876
2652,-2.581391,-3.1350102,0.4108778
2638,-0.37167123,-1.5392376,0.5864112
2730,1.2455299,-0.2761794,-0.29583633
3775,0.84762824,-1.1968583,0.58094007
3705,0.18674575,-1.0832233,0.6583945
3662,1.0076089,-0.30620337,-1.3279638
3514,0.7113634,1.4030976,0.6112019
2961,-1.0868955,-3.1864035,0.464492
3871,0.00553831,0.40576145,0.6562616
3032,0.4979542,-0.29406726,0.6932708
2590,-0.38439876,-0.08198187,0.6421566
3633,0.43048444,0.24726062,0.40425256
3885,0.46893188,-0.07950714,0.6824831
2687,-0.9232327,-1.5320926,0.5863853
2714,-0.2515301,-0.6093166,0.6587024
3128,-1.1235554,-1.5745972,0.56287897
2261,-0.34086862,-0.86103314,0.5442156
3110,0.47833943,1.7383863,2.2781656
2143,-0.57435304,-1.5785866,0.55556893
2642,-0.18455097,-2.0386393,0.49221596
2306,-0.52920675,0.43685895,0.6683019
3782,-0.852331,-0.76521266,0.62574637
3784,-0.23707695,-0.8081557,0.6378188
2328,-0.06482984,0.17648163,0.6568539
2125,-1.3226473,-1.3608694,0.6267558
3472,-3.433637,-4.123373,0.25158995
2864,-1.1254514,-2.6832926,0.5135236
2316,-0.64053494,-0.26103133,0.65945274
3678,-1.8272347,-2.5661933,0.55184335
3679,0.12798496,-0.05602713,0.66455865
3144,0.40351507,-1.3979621,0.59016305
3693,-0.9023828,-0.80407697,0.5927089
2281,-1.2751929,-0.76719975,0.5675541
2077,-0.75387156,-0.55824137,0.5850238
3114,-1.1121204,-0.4681856,0.6352049
3351,0.64254075,0.08741242,0.521723
3024,-0.20429295,0.039661095,0.68213487
2309,-0.50789183,1.6434042,0.6193073
2361,-0.076786086,-0.41006172,0.61818904
2563,-0.633536,-1.5360463,0.5683989
2684,0.9592736,-1.1890895,0.6289425
3619,-2.1427,-1.7882235,0.5046037
3361,-0.38427654,-0.30318207,0.67348117
2040,-0.065160125,0.9869616,0.53073835
2927,-0.18689337,-1.3369554,0.5743314
2482,-2.0753624,-2.218446,0.51589584
3049,0.393558,0.9701023,0.706514
2978,0.573349,0.41577005,1.9560118
3832,-0.96921605,-0.15137517,0.59274083
3587,-0.50166,-0.5808544,0.5615552
2298,1.0704237,-0.2906197,0.8205639
2886,-0.49069092,-1.3169188,0.5189036
3250,-1.2106988,-3.330773,0.3497241
2521,-0.7119518,0.1649766,0.66570276
2777,-0.0436148,0.19395652,0.6735048
2668,-1.0387409,-0.46895015,0.57366014
2022,0.7489408,-1.4340717,0.6086361
3143,0.011256313,0.07979085,0.7164824
3364,-0.39684644,0.098219395,0.6642041
3978,-0.59103626,0.69616157,0.6983845
2393,-0.75280595,-3.3099852,0.4356715
2271,-0.6686152,-0.79185855,0.70314425
3042,-1.2368766,-2.2338352,0.4729619
3391,-0.14850166,-1.4270313,0.55414915
2000,0.7344546,-0.29572755,0.61523414
3516,-0.82132447,-1.6090407,0.4889834
2992,0.66981775,0.76412034,2.9002328
3254,-0.92459375,-1.5617132,0.58360773
3656,-0.67337316,-0.47936797,0.64102036
3819,-0.9238788,-1.2779192,0.5315001
2828,-1.5023617,-0.9230014,0.5199481
3062,-1.2469977,-0.2788605,0.5933669
3986,-0.46026647,-1.2254436,0.60888207
2725,-0.5189607,-1.9024866,0.47888812
3192,-1.639882,-1.9950743,0.44778743
2388,-1.2416836,-2.225501,0.57107455
3487,-1.161774,-0.6338806,0.5591879
3419,-0.2637597,-1.3399646,0.54150236
3983,-0.9770523,-2.154079,0.44587812
2909,-1.3180926,-2.6039228,0.48054782
2294,-1.7761091,-2.190659,0.4081932
3773,-1.5944805,-2.0922198,0.45965815
2483,-0.35078263,1.1348069,1.3062931
3592,-0.65485716,-2.8962393,0.6314391
3988,-1.8442186,-1.4343563,0.67415476
3886,0.36494476,0.4136979,0.5998491
3888,-1.3876039,-1.775171,0.49677286
2340,0.7041523,0.61024755,0.28291082
3880,0.09699436,-1.2144073,0.5854292
2236,0.03886725,-0.6794226,0.62812585
3305,0.33743438,-0.45035926,0.5947968
2731,-0.2806674,-1.2600884,0.61099285
3276,-0.9228806,-1.0188856,0.5829286
2146,0.95122564,-0.20241094,0.3380524
3382,-0.68538857,-3.0408363,0.43791133
3332,-1.2456107,-1.107661,0.50535715
2041,-0.5533364,-1.0511689,0.5526081
3013,-0.25332704,-0.84879255,0.62091964
2089,-3.02301,-1.4383948,0.37597317
3852,-0.14715734,0.55704165,0.676541
2453,-0.18699196,0.99076957,1.3602419
2292,0.29293394,0.040230453,0.65781325
3241,-0.87033343,-0.3307891,0.63052547
3550,-1.7483652,-1.8102338,0.45292097
3199,-1.548946,-0.81678575,0.52794206
2043,-2.9611745,-4.089046,0.32423726
2991,-0.30968255,0.54197764,0.7098924
2020,-0.75870806,0.2147375,0.6480123
3494,-0.2889975,-0.2670778,0.5931529
3734,-0.9002934,-0.36376637,0.6040169
2265,-0.65478647,-1.5048538,0.5257286
2582,0.077875376,0.76923966,0.42962447
2401,0.0472448,-0.37977067,0.67151517
3995,-1.0447283,-1.4194922,0.5225741
3588,-0.47153026,-0.38322496,0.65158755
3205,-1.1752704,2.2109096,1.2424265
3025,0.3577277,-0.37883598,0.68379986
3478,-0.3110434,-0.5948465,0.6260478
2918,-0.623241,-0.43241554,0.62394536
3580,-0.23948126,-0.33698407,0.60033697
3284,-2.2792206,-3.7714548,0.4094843
2263,-0.2832201,-0.17174196,0.6851069
2693,-0.07081079,0.81236553,1.1978915
3083,0.11141502,-0.042522006,0.70643985
3939,-0.7464624,-0.51067036,0.5782816
3123,-1.0240043,-2.249144,0.46093583
2108,-0.9217233,-0.48182198,0.655635
2589,-2.5726585,-4.036418,0.25293693
3617,-1.266887,-1.7457732,0.46023303
3649,-1.9984518,-1.4369258,0.48768157
3616,0.54514694,-0.18414944,0.64002556
3632,-0.6386842,-0.9622017,0.55284786
3674,0.21209754,-0.5357869,0.6070093
2071,-0.2428843,0.93133783,0.7759243
3800,-0.59067875,-1.5885838,0.5666503
3856,-2.122507,1.1043894,0.7103627
3248,-0.5568564,-0.6634248,0.5737211
2496,-0.073507816,1.4204602,0.7822744
3268,-1.1709553,-2.331587,0.4099165
3749,-0.6731398,-0.4436918,0.64065623
3504,0.6077756,-0.33929133,0.6408792
2223,-1.2690281,0.3957429,0.5856133
2925,-0.2608795,-0.6895158,0.71786666
2030,-2.2227232,-1.348273,0.47047195
2679,-0.52912974,-2.2115226,0.4895431
