,x1,x2,x3
2901,-0.6540824,-1.7687742,-1.4214057
3139,-1.0180435,-1.0670891,-0.15748334
3622,-0.7503447,-1.1924913,0.12646198
3407,-1.0609522,-0.5377651,-1.6356117
3146,-0.8017697,-1.278366,-1.0705898
2335,0.07383007,-2.1846678,-3.742766
2738,-0.32071614,-0.54487336,-0.24379209
2394,-0.22588572,-0.61680734,-0.33872974
2677,-0.88931644,1.5193764,-0.060893655
2217,-1.1742402,-2.906159,-4.2905197
2225,-0.27729413,-0.8224925,-0.30677694
2398,-1.0696471,-1.1660358,-1.8419425
2790,-0.52011555,0.47000408,-1.5632713
3301,-0.8923625,-2.5603504,-4.331919
3420,0.55539936,0.6796284,0.6577862
3632,-0.9305413,-2.3217473,-2.7364023
3187,-0.75498354,-0.6017642,-1.1531042
2974,-1.2240832,-0.30736548,-0.22327971
3503,-0.9616857,1.0398717,0.23398018
3972,-1.2076604,-2.7030177,-3.5796604
2988,-1.3883663,-0.47063065,-2.182752
3615,-0.695124,-1.3091605,-2.2421093
2125,-0.70574504,-0.6357452,-0.2561407
2063,0.097076036,-1.0654112,-0.77975404
2466,-0.43044946,-2.7859406,-3.006103
3164,0.41159397,-0.89728135,-0.7566954
3135,0.746311,-0.0121385455,0.06945002
2410,-0.5304817,-1.9872236,-2.060757
2098,-0.4438105,-0.05979696,0.19917384
2196,-0.9398273,0.23727965,-1.1882722
2981,0.84380585,-0.098427415,-0.042625427
3477,-1.1125636,-0.3059203,-1.0083303
3288,-0.18768251,-0.23014462,-1.2979462
2292,-2.171989,-2.2629972,-3.793408
3168,0.9232821,-0.9493452,0.43550473
3381,0.32919425,-0.2192229,-1.205232
3921,-0.65052557,-1.1756865,-3.0368261
2561,-0.5133267,-0.28325647,-0.6651392
2665,-0.30719033,0.70271075,-0.52616334
2920,-1.3133267,-1.2191676,-4.279516
3268,-1.3052604,-1.2646646,-1.0927619
2177,-2.138426,-2.6814017,-6.329668
3002,-1.3525895,-2.0356874,-3.10542
3907,0.055133957,-0.26421875,-1.107796
3721,-1.4807172,0.01832974,-1.7344496
3760,-0.11625103,0.047167815,-0.069277525
3718,-1.5731088,-1.3277436,-2.458416
2900,-0.6477921,-1.5325975,-1.905643
3664,-0.9858345,-1.9855992,-4.5421247
2777,-0.5777867,-1.0643826,-1.9105129
2804,-0.06420851,1.1017935,0.6365021
2816,0.552297,-0.54725564,-0.28675044
2674,0.12334313,0.5081848,0.06552225
2228,-0.6881886,-0.88631725,-2.3648167
2695,0.52755666,-1.078904,-0.40767217
2962,1.0000389,0.6013282,0.347767
2913,-0.7408284,-1.7219027,-2.9541395
2302,-0.4241226,0.91154516,-1.0357498
2559,0.18203138,-1.5301454,-1.8516109
3624,-0.48045754,-1.8756346,-2.8075032
3331,-0.7597768,-1.9271352,-2.2753103
3701,0.21315414,0.95222557,0.1952573
3426,-0.5488867,-2.200298,-0.99526715
2035,-0.6621974,-1.2762208,-1.7738936
3599,-2.0671556,-2.5009627,-3.363679
2648,-0.12701598,-1.2866092,-1.5122365
2310,-0.9063575,0.41067147,-1.4529032
3419,-0.4541721,-0.9602078,-0.9085048
3790,-0.7608843,-0.70432097,-0.54312783
2045,-0.14451055,-2.152426,-3.1420367
3278,-2.0131133,-1.8785334,-4.7043595
3929,-0.3280975,-0.62417245,-2.141541
2154,0.17411073,-0.46584696,-0.64955294
2263,0.44340807,-0.2758149,-0.050548494
3773,-1.5640776,0.7395549,-0.54201746
2397,0.6402553,-0.9299601,-1.2284536
2341,-0.004159718,-0.51689196,-2.1566496
2182,0.15394776,-1.112814,-1.2493498
3672,-0.6477309,-0.95319474,-2.034561
3401,-0.81148875,-0.7516155,-3.1642137
2213,-0.23974544,0.4320253,-1.802798
3387,-0.9986246,-0.5312398,-0.4489063
2837,-0.9813645,0.54832315,0.06277615
3020,-0.4947749,-0.82997614,-0.50175333
3246,0.61648685,-1.5542741,-1.8303117
2718,-1.4511322,-1.3521234,-1.3972148
3987,-0.67685944,-0.094751,0.2015177
3694,-0.59933925,-0.07764268,-0.52329934
3982,0.19184592,-0.25834483,-2.5421512
2959,0.014872265,-0.20340037,-0.26771468
2833,-0.58254373,-1.1162367,-0.8369109
2236,-0.61642814,-0.49235782,-1.4989091
3085,0.5939491,-0.5709382,-0.047605753
2822,-1.8373942,-1.9897864,-5.6083164
3638,1.0003793,-0.27787304,-0.7456975
3410,-0.7999035,-1.2744813,-0.9220896
2607,-0.4973324,-1.9611542,-1.5914029
3238,-0.17116949,-1.4252324,-0.12856114
3097,-1.7677926,-2.8113108,-6.0356994
2171,-0.40391853,-2.2103393,-1.7800587
2150,-0.791905,-0.7137251,-2.0472176
3666,-1.6060514,-2.1703362,-6.15851
3134,-1.6694957,-2.8647907,-6.1503553
3369,-1.5935436,0.09433043,-0.5017076
2963,-2.6063142,-3.7520165,-4.6074185
2003,-1.3646545,-0.36141503,-1.8180686
3715,0.06521537,0.46893206,-0.077545404
2145,-0.10889106,-1.0191042,-1.6520623
2737,-0.42184532,0.45934808,-1.168212
2894,-0.42619142,0.25351605,-1.0466413
2809,1.0934575,-0.5520705,0.20347738
3903,-1.2918923,-0.04455793,-2.0785809
2249,0.43444392,-1.4192497,-0.22491741
3846,0.48498246,-0.28065297,0.19202262
2687,-1.3061806,-1.2190572,-2.2300894
2823,-1.0117128,-1.5438789,-2.088777
2416,0.107478246,-0.14984386,0.26269
3300,-1.5998168,-3.67935,-5.005351
3034,-0.72992617,-0.5394777,-0.590786
3414,-0.14447129,0.0014732182,0.42708263
2896,-0.18994445,-0.0070848316,-0.20675813
2056,-0.18114147,0.800737,-1.2345061
3303,-0.69887537,-3.6129844,-3.1198864
3336,-0.39661857,-1.1386333,-0.9651333
