,x1,x2,x3
2901,-0.0,0.0,2.0
3139,-0.0,-0.0,0.8
3622,0.0,0.1,0.5
3407,0.0,0.0,2.2
3146,0.0,-0.0,1.7
2335,-0.0,-0.0,4.4
2738,-0.0,0.0,0.9
2394,0.0,-0.0,1.0
2677,0.1,0.1,-0.0
2217,0.0,-0.0,4.9
2225,-0.1,0.0,1.0
2398,-0.0,0.0,2.4
2790,-0.0,-0.0,2.2
3301,0.0,0.0,4.9
3420,0.0,0.0,0.1
3632,-0.0,0.0,3.3
3187,0.0,-0.0,1.8
2974,0.0,0.0,0.9
3503,-0.0,0.0,0.4
3972,0.0,-0.0,4.2
2988,-0.4,0.0,2.7
3615,0.0,-0.1,2.9
2125,-0.0,0.0,0.9
2063,0.0,0.0,1.5
2466,-0.0,-0.0,3.6
3164,0.2,0.0,0.0
3135,-0.0,-0.0,0.7
2410,-0.0,-0.0,2.7
2098,-0.0,-0.0,0.5
2196,0.0,0.0,1.8
2981,0.1,-0.0,-0.0
3477,0.1,-0.0,1.6
3288,0.8,0.0,-0.0
2292,1.3,3.9,-0.0
3168,-0.0,0.0,0.3
3381,0.0,0.0,1.9
3921,-0.0,-0.0,3.7
2561,0.0,-0.0,1.3
2665,-0.0,-0.0,1.2
2920,0.0,-0.0,4.9
3268,0.0,-0.0,1.7
2177,0.0,-0.0,6.8
3002,0.0,0.0,3.7
3907,-0.0,0.0,1.8
3721,-0.1,-0.0,2.3
3760,-0.0,0.0,0.8
3718,-0.0,-0.0,3.0
2900,-0.0,-0.0,2.6
3664,-0.0,-0.0,5.1
2777,0.0,0.0,2.5
2804,-0.0,0.1,-0.0
2816,0.0,-0.0,1.0
2674,-0.0,-0.0,0.6
2228,-0.0,0.0,3.0
2695,-0.0,0.1,1.1
2962,0.0,-0.1,0.0
2913,-0.0,0.0,3.6
2302,0.1,0.1,0.0
2559,0.0,0.0,2.5
3624,-0.0,-0.0,3.5
3331,0.0,-0.1,2.9
3701,-0.0,-0.0,0.5
3426,0.0,0.0,1.6
2035,-0.0,-0.0,2.4
3599,0.0,-0.0,3.9
2648,0.0,-0.1,2.2
2310,-0.0,0.0,2.1
3419,-0.0,-0.0,1.6
3790,-0.0,0.0,1.2
2045,0.0,-0.0,3.8
3278,0.0,-0.0,5.2
3929,0.0,1.8,0.0
2154,0.0,-0.0,1.3
2263,0.0,-0.0,0.8
3773,0.0,-0.0,1.2
2397,-0.0,1.1,-0.0
2341,0.0,0.0,2.8
2182,-0.0,-0.0,1.9
3672,0.0,0.0,2.7
3401,0.0,0.0,3.8
2213,0.1,0.4,0.0
3387,-0.0,-0.0,1.1
2837,-0.1,0.0,0.6
3020,0.0,0.0,1.1
3246,-0.0,-0.0,2.5
2718,0.0,0.0,2.1
3987,-0.0,0.0,0.4
3694,-0.0,-0.0,1.2
3982,0.0,0.0,3.2
2959,0.6,0.0,0.0
2833,0.0,0.0,1.5
2236,-0.0,0.0,2.1
3085,0.0,-0.0,0.8
2822,0.0,-0.0,6.1
3638,0.0,0.1,0.0
3410,0.0,0.0,1.5
2607,0.0,-0.0,2.2
3238,-0.0,0.1,0.8
3097,0.0,-0.0,6.6
2171,0.0,0.0,2.4
2150,0.0,0.0,2.8
3666,0.1,-0.0,6.7
3134,-0.0,0.0,6.7
3369,-0.0,-0.0,1.1
2963,-0.0,-0.1,5.2
2003,0.7,1.8,-0.0
3715,-0.0,0.2,0.0
2145,-0.0,1.8,0.0
2737,0.0,0.0,1.8
2894,0.4,0.5,0.0
2809,0.0,0.0,0.6
3903,-0.0,0.0,2.7
2249,0.0,0.0,0.9
3846,-0.0,-0.0,0.5
2687,0.0,0.0,2.9
2823,-0.1,-0.0,2.7
2416,0.0,0.0,0.4
3300,-0.0,0.1,5.5
3034,-0.0,0.0,1.2
3414,0.0,0.0,0.3
2896,0.0,-0.0,0.9
2056,0.0,-0.0,1.9
3303,-0.0,-0.0,3.8
3336,-0.0,0.0,1.6
2685,0.0,0.0,2.6
3087,-0.0,0.0,3.3
2030,-0.0,0.0,0.7
3118,0.0,0.0,1.0
2882,0.0,-0.0,2.2
2305,0.0,0.0,2.8
3304,0.1,0.0,2.5
3063,0.0,-0.0,3.8
2060,-0.0,-0.0,0.8
3191,0.0,-0.0,0.5
3206,-0.0,-0.0,1.9
3643,-0.0,-0.1,1.6
2032,1.5,0.0,0.0
3145,0.0,0.2,0.0
2412,-0.0,-0.0,2.2
3626,0.0,0.0,0.1
2075,0.5,0.0,-0.0
3644,0.0,-0.0,1.8
2276,0.0,0.0,2.0
3332,0.0,0.0,4.2
3019,-0.0,0.0,0.7
3506,-0.0,0.0,5.5
2950,0.0,-0.0,0.5
2775,-0.0,0.0,1.9
2104,0.0,0.0,1.1
3155,0.0,0.0,4.3
2604,-0.0,-0.0,1.1
3443,-0.0,-0.0,1.9
2571,0.0,-0.1,0.3
3814,0.0,-0.0,3.2
3033,-0.0,-0.0,4.4
3116,-0.0,0.0,1.6
2430,-0.0,-0.1,2.2
3743,-0.0,-0.0,1.8
2132,0.0,-0.1,0.0
2165,-0.0,0.0,0.8
2161,0.0,-0.0,2.3
3860,0.0,0.0,0.1
3376,0.4,0.0,0.0
3646,0.0,-0.0,2.6
3603,0.0,-0.0,0.1
3108,-0.0,0.0,1.5
3043,-0.0,-0.0,2.1
3076,0.0,-0.0,3.7
3213,-0.0,0.0,0.2
3572,-0.1,-0.1,1.1
2916,-0.0,0.1,5.6
2579,-0.0,0.0,0.3
2334,-0.0,0.0,1.0
3725,-0.0,-0.0,1.2
3800,-0.0,-0.1,2.9
2586,-0.0,-0.0,4.8
2321,-0.0,0.0,3.1
3641,0.0,-0.0,1.9
3734,-0.0,0.0,2.0
3639,0.0,0.0,1.4
2776,1.4,0.0,0.0
2919,-0.0,0.0,2.1
2937,0.0,2.5,0.0
2797,0.0,-0.0,2.4
2798,0.0,-0.1,1.0
2922,-0.0,-0.0,3.9
3757,1.4,2.3,-0.0
2402,0.0,0.0,1.8
3740,0.0,-0.0,2.0
2506,-0.0,-0.0,1.9
2406,-0.0,-0.0,2.5
2189,-0.1,0.1,0.9
2520,-0.0,0.0,0.4
2176,0.0,0.0,3.4
2252,0.0,-0.1,4.9
3914,0.0,0.0,2.7
2856,0.0,-0.0,2.2
3723,-0.0,-0.0,1.5
2680,1.5,0.0,0.0
3302,0.0,-0.1,3.8
