,x1,x2,x3
2408,0.18522257,-0.70176214,-1.8281878
3304,-1.1340524,0.18190539,-1.8469276
3391,-2.130077,-1.5568097,-4.6914644
2090,0.41727066,-0.7922189,0.59848166
2106,-0.05489559,-0.7555279,-0.7963605
2277,-1.4241731,-1.7775624,-3.890931
3012,-0.8931245,-0.8360512,-0.19987488
3835,0.2969578,-0.10059419,0.12654543
2934,-0.93937343,-2.1891694,-0.60263264
2798,-0.08234845,-0.43236023,-0.36856306
3426,-0.5488867,-2.200298,-0.99526715
2927,-0.75649637,1.2454996,-0.77819777
3922,-0.5000326,-1.0547493,-2.2515478
3797,-0.19193767,0.63923913,0.107631564
2455,0.09803589,0.1902446,-0.32497096
3675,-1.2329066,0.65546453,-0.3175148
3103,-0.9615738,-1.6826553,-3.5011616
2720,-1.831543,-2.3404999,-3.0814457
2887,-0.96766585,-1.168237,-1.9066534
2843,-0.98351514,-2.6063738,-3.8033814
2769,0.5744057,0.7882529,0.52123827
3215,-1.1271645,-0.2791463,-1.1148367
2754,-1.041144,-0.7977493,-2.1836302
2207,-1.2611994,-1.3110162,-2.9383836
2299,-0.3005602,1.3747762,0.58266646
3159,-1.0849464,-1.1605394,-2.1531785
3688,0.05202632,-0.1452494,-0.7208237
2995,-0.3456374,-0.95117235,-1.6103827
3641,-0.47339183,-0.4567211,-1.2402495
2577,-0.33438048,-1.4029714,-0.5367032
3714,-2.376061,-2.5625918,-4.66783
3961,-0.5126413,-0.17909539,-2.4386256
2522,-0.058092024,0.030301455,0.09869808
3343,0.28871384,-0.8033731,-1.2128973
2974,-1.2240832,-0.30736548,-0.22327971
2824,-0.015231928,0.19691695,0.0022981167
2944,-0.19707708,-1.5832822,-2.297837
2139,-0.77778643,-2.1912608,-2.31983
3378,-1.705647,-2.7251477,-4.2094636
2183,-0.5980517,-2.3809247,-1.4495063
3579,0.024822658,-0.8127468,-1.5470929
3868,-0.08932092,-0.6575709,-1.0102327
3320,-0.4220589,-1.4470078,-2.3310192
2685,-0.15608425,-0.88147837,-1.9219191
3931,-1.8748662,-2.2592893,-3.5127368
2506,-0.0122491885,-0.6119257,-1.2375607
2125,-0.70574504,-0.6357452,-0.2561407
2075,0.08367392,-0.7441584,-0.9228507
3198,-1.6609874,-1.5132581,-4.818839
3869,-1.142272,-2.0566602,-4.3847027
2060,-0.2912302,-0.507234,-0.14859736
2401,-0.4779907,0.20272905,-2.2260602
2763,-0.16643412,-2.8911376,-2.8072894
3821,-0.8262506,-0.32335418,-2.2764068
3582,-1.3506831,-2.8428206,-6.0746303
3883,-1.3235142,-1.3370702,-0.2671684
3146,-0.8017697,-1.278366,-1.0705898
2188,-0.21651186,0.52442485,-0.14332199
3263,0.6319253,-1.7108893,-1.0609815
3782,-0.98948634,-1.2201008,-2.3741982
2354,-0.35766476,-1.1198673,-0.84753865
3991,-1.4105788,-1.2231921,-3.3448591
3498,-0.6799132,-0.31294218,-0.2500974
3166,-1.7633139,-0.53415287,-2.5945172
3454,0.10730784,-1.1862004,-0.3783938
3896,-0.23387024,-0.06347376,-0.5925982
2141,-0.18415159,-0.6425183,-0.021254107
2624,-0.7254672,-0.078715086,-0.08957228
3179,-0.4371526,0.00546965,-0.2054387
3976,-0.73829293,-0.692382,-1.0338861
2955,-0.27901456,-2.3301778,-2.8023143
2213,-0.23974544,0.4320253,-1.802798
3041,-0.5822386,-1.1454284,-0.1715945
3873,0.5507523,-0.45887995,-0.5183634
3972,-1.2076604,-2.7030177,-3.5796604
3672,-0.6477309,-0.95319474,-2.034561
3911,-0.040084813,-2.458777,-5.057277
3281,0.12122009,-1.8992236,-0.12254721
3831,-0.5449765,-0.69375306,-1.6096743
3600,-0.5633933,-2.8484118,-4.305743
3156,0.33325878,-0.5853572,-0.6889088
2181,0.4590989,-0.12750873,-0.58891654
2030,-0.9549867,-0.3997808,-0.069710374
3739,-1.5704553,-1.8655151,-4.5496845
3852,-0.47486567,-0.0852789,-0.43562764
2228,-0.6881886,-0.88631725,-2.3648167
3658,-2.1770618,-3.141222,-6.608672
3525,-0.98938453,-2.0938697,-3.1829011
3496,-1.6629146,-0.61578715,-3.3691044
3057,-0.33749783,-0.356377,-0.19576895
2435,-0.071021184,-0.7089273,-1.2336336
3206,-0.5129668,-1.5324645,-1.3049688
3369,-1.5935436,0.09433043,-0.5017076
3638,1.0003793,-0.27787304,-0.7456975
2105,-0.9744582,-2.4344509,-2.1132517
2803,0.11837055,1.4063718,0.20613933
3366,-0.8773904,-2.2611737,-5.141953
2510,-1.3591231,-1.4798323,-1.0875853
2313,-1.0989664,-0.89555556,-2.5344245
2677,-0.88931644,1.5193764,-0.060893655
2817,-0.47348472,-0.5501671,-0.8798745
2472,-0.4520566,-2.4197626,-3.277843
2103,0.44649735,-0.40900078,0.5148396
2918,-0.10290552,0.6217457,0.27831662
3235,-0.4076621,-1.2585196,-1.5859294
2447,-1.9176861,-2.1658816,-3.9873712
3087,-0.8986249,-1.6934967,-2.7319279
3295,-2.4642289,-2.6067145,-4.2117553
2145,-0.10889106,-1.0191042,-1.6520623
3423,-0.9801411,0.25154442,-0.5580144
2544,-0.41903478,-1.1889236,-1.2466567
3576,-0.48793265,0.12796131,-0.4263637
3790,-0.7608843,-0.70432097,-0.54312783
2431,-0.874475,-2.5225284,-3.4326012
3840,-0.30403525,-0.7886297,-1.2142825
2864,-0.37879163,-0.36592162,0.07597649
3420,0.55539936,0.6796284,0.6577862
2385,-0.21027905,0.61609495,-0.4787473
2898,-0.70000154,-0.82605696,0.1546961
3073,0.19348395,0.552402,-0.40220702
2724,-1.1471983,-1.7008548,-2.7202141
2493,-0.07077973,0.48613513,0.33134818
2911,-1.7898556,-2.0388036,-4.0826435
3047,-0.5210004,-1.209295,-1.9780585
2812,0.29877263,-1.501617,-2.2987049
3251,0.18925035,-1.5523326,-1.527432
2014,0.38670674,-0.65018594,-1.704116
2786,-0.060925897,-1.8528581,-0.89399725
2397,0.6402553,-0.9299601,-1.2284536
2801,-0.6572915,-0.56395346,-2.2180307
2150,-0.791905,-0.7137251,-2.0472176
2162,-0.6918977,-1.276799,-1.8301991
2503,-0.99209565,-1.6619147,-4.091596
2523,-1.3120261,-0.43866807,-0.73439646
2611,-0.8769953,-1.8343575,-2.2425888
3443,-0.77826,-0.06174326,-1.288911
3116,0.06272595,0.6653662,-0.9102474
3170,0.99545366,-0.8575558,-0.85447353
3038,-0.80174416,-1.0102534,-0.55079794
3336,-0.39661857,-1.1386333,-0.9651333
3929,-0.3280975,-0.62417245,-2.141541
3185,-0.9331331,-1.2291939,-3.6527534
3697,0.51004887,0.06968978,0.59386915
2042,-0.807167,-0.41519415,0.48742348
2249,0.43444392,-1.4192497,-0.22491741
2604,-0.34394145,-0.5673354,-0.48117107
2200,-0.8237985,-0.17380577,-3.215373
