,y_hat
2127,False
3613,False
2058,False
2350,False
3118,False
3328,False
3299,False
3086,False
2187,False
3385,False
3538,False
3038,False
3724,False
3182,False
2566,False
3444,False
2468,False
2684,False
3702,False
2241,False
3739,False
3344,False
2909,False
3714,False
2786,False
3422,False
3768,False
2638,False
2259,False
3789,False
3288,False
3855,False
2933,False
2555,False
3008,False
3830,False
2756,False
3708,False
3218,False
2747,False
2300,False
3521,False
2946,False
2111,False
3682,False
3542,False
3388,False
2972,False
3765,False
3605,False
2668,False
3467,False
2979,False
3558,False
3530,False
2575,False
3679,False
2900,False
2200,False
2081,False
2176,False
3473,False
2819,False
3243,False
3037,False
2588,False
2291,False
2359,False
3622,False
2023,False
3457,False
2953,False
3130,False
2157,False
2125,False
3918,False
2330,False
3126,False
3173,False
3158,False
3911,False
2732,False
3842,False
2970,False
3251,False
3145,False
2102,False
2832,False
3151,False
3535,False
3241,False
2211,False
3097,False
3981,False
3670,False
2980,False
3607,False
2546,False
3732,False
2610,False
3152,False
3105,False
2418,False
2383,False
2693,False
3093,False
3164,False
2725,False
3116,False
2302,False
2579,False
2208,False
3582,False
3785,False
3943,False
3642,False
2876,False
3757,False
3762,False
3077,False
2705,False
2753,False
3753,False
2939,False
2817,False
2182,False
2976,False
3210,False
2290,False
3139,False
2428,False
2374,False
3189,False
2095,False
2850,False
2708,False
2156,False
3567,False
3296,False
2001,False
2959,False
2472,False
2881,False
3673,False
2174,False
2181,False
2215,False
3303,False
3504,False
2565,False
3685,False
3555,False
3356,False
3347,False
2682,False
3681,False
2067,False
2061,False
2197,False
3499,False
3511,False
3920,False
2656,False
2624,False
2446,False
3361,False
2173,False
2749,False
3703,False
3437,False
2512,False
2012,False
2085,False
2895,False
3419,False
3949,False
2666,False
2628,False
2439,False
3159,False
3866,False
3761,False
3063,False
2935,False
2954,False
3711,False
2292,False
3717,False
2475,False
2845,False
2342,False
2082,False
2455,False
2320,False
2430,False
3163,False
2423,False
3052,False
3820,False
2162,False
