,y
2127,0.0
3613,1.0
2058,0.0
2350,0.0
3118,1.0
3328,0.0
3299,1.0
3086,1.0
2187,0.0
3385,0.0
3538,1.0
3038,0.0
3724,0.0
3182,0.0
2566,0.0
3444,0.0
2468,0.0
2684,0.0
3702,0.0
2241,0.0
3739,0.0
3344,0.0
2909,0.0
3714,0.0
2786,1.0
3422,0.0
3768,0.0
2638,0.0
2259,0.0
3789,0.0
3288,0.0
3855,1.0
2933,1.0
2555,0.0
3008,0.0
3830,1.0
2756,0.0
3708,0.0
3218,0.0
2747,0.0
2300,0.0
3521,0.0
2946,0.0
2111,0.0
3682,1.0
3542,1.0
3388,0.0
2972,0.0
3765,0.0
3605,0.0
2668,0.0
3467,0.0
2979,0.0
3558,1.0
3530,1.0
2575,1.0
3679,1.0
2900,0.0
2200,0.0
2081,0.0
2176,1.0
3473,0.0
2819,0.0
3243,0.0
3037,0.0
2588,0.0
2291,0.0
2359,1.0
3622,0.0
2023,0.0
3457,0.0
2953,0.0
3130,0.0
2157,0.0
2125,0.0
3918,0.0
2330,0.0
3126,0.0
3173,0.0
3158,0.0
3911,0.0
2732,0.0
3842,0.0
2970,0.0
3251,0.0
3145,0.0
2102,0.0
2832,0.0
3151,1.0
3535,0.0
3241,1.0
2211,0.0
3097,1.0
3981,0.0
3670,0.0
2980,0.0
3607,0.0
2546,0.0
3732,0.0
2610,0.0
3152,1.0
3105,1.0
2418,1.0
2383,1.0
2693,0.0
3093,0.0
3164,0.0
2725,0.0
3116,0.0
2302,0.0
2579,0.0
2208,0.0
3582,1.0
3785,0.0
3943,0.0
3642,0.0
2876,0.0
3757,1.0
3762,0.0
3077,1.0
2705,0.0
2753,0.0
3753,0.0
2939,0.0
2817,0.0
2182,0.0
2976,0.0
3210,0.0
2290,0.0
3139,0.0
2428,0.0
2374,0.0
3189,0.0
2095,1.0
2850,0.0
2708,0.0
2156,0.0
3567,0.0
3296,0.0
2001,0.0
2959,1.0
2472,0.0
2881,0.0
3673,0.0
2174,0.0
2181,0.0
2215,0.0
3303,0.0
3504,0.0
2565,1.0
3685,0.0
3555,0.0
3356,1.0
3347,0.0
2682,0.0
3681,1.0
2067,0.0
2061,0.0
2197,0.0
3499,0.0
3511,0.0
3920,0.0
2656,0.0
2624,0.0
2446,0.0
3361,0.0
2173,1.0
2749,1.0
3703,1.0
3437,0.0
2512,0.0
2012,0.0
2085,0.0
2895,1.0
3419,0.0
3949,0.0
2666,0.0
2628,0.0
2439,0.0
3159,0.0
3866,0.0
3761,0.0
3063,0.0
2935,0.0
2954,0.0
3711,0.0
2292,0.0
3717,0.0
2475,0.0
2845,1.0
2342,0.0
2082,1.0
2455,0.0
2320,0.0
2430,0.0
3163,0.0
2423,0.0
3052,0.0
3820,0.0
2162,0.0
