,x1,x2,x3
2160,0.31765774,0.32177573,0.5418661
3560,-2.7828631,-3.7238245,0.71627635
3104,-0.6474689,-2.4282532,0.8517308
2049,-0.916631,0.85959136,0.55090356
3237,-0.7538886,-0.13843709,0.55767524
2604,-0.29822472,0.8771843,0.832556
3201,0.106640376,-0.08882003,0.51757145
3402,-0.5680431,0.015397906,0.5589763
3169,-0.056854386,-0.8822914,0.5440532
3294,0.16140203,0.23193419,0.4599367
3604,-0.3334047,-0.2060382,0.5550544
2885,-0.48587483,-2.107946,0.60749567
2993,-1.7068192,-2.487385,0.6496692
2287,-1.2629069,-0.8921293,0.6054892
3957,-0.19414665,-2.1254184,0.63095975
3409,-0.5985767,-0.5196097,0.55327225
2738,-0.57142353,-0.99891174,0.5500752
3376,-0.9269623,-0.75329113,0.6099055
2037,-0.7447003,-0.924595,0.59307647
3794,-0.35429525,-0.20916323,1.583961
2995,0.0048109884,0.6644895,0.45809636
2718,-0.9259178,-0.63020575,0.5819454
2541,-0.1270452,-0.032413922,0.5185003
3718,-0.6203563,-0.020432044,0.5081189
2009,0.49531746,0.577306,0.5355753
3240,-1.9164636,-2.1516273,0.6344577
2948,0.10493088,-0.19821164,0.4854567
3801,0.08797291,0.29973152,0.48642683
2451,-0.8012456,0.064644575,0.55160594
2084,-0.49481878,0.7254168,0.4668108
3327,-0.65785086,-0.6997806,0.5308226
2038,-0.17704833,-0.82712096,0.51942295
2622,0.33086252,-1.035155,0.5497576
3822,-1.1951046,-1.9316359,0.6505977
3693,-1.1760325,-2.290925,0.65217894
2583,-0.7098273,-2.2840028,0.57623434
3959,-1.522153,-1.9997736,0.60958993
2838,-1.0337573,-2.5407467,0.6455831
2711,-1.9838291,-0.9671565,0.5536953
2823,-0.06747923,-0.8854347,0.5397563
3618,-0.8683542,-1.6578712,0.608678
2544,-0.76208156,-0.52000296,0.5179813
2228,0.11973501,0.40614274,0.458924
2789,1.0271175,-0.53721404,0.5250643
2951,0.25056207,0.2803071,0.574683
3713,-1.8964288,-2.7014809,0.6170799
3472,0.35821024,-1.3754114,0.61195016
2930,-1.2390428,-0.39525235,0.56289583
3355,-0.015289545,0.7194171,1.5325832
2525,0.07290146,-0.59054416,0.5647942
2317,-1.2500571,-1.811563,0.591866
3123,-0.0040419847,-0.6579893,0.59665096
3678,0.13027887,-0.57017124,0.5114096
3878,0.025840377,0.36355883,0.50750315
3577,0.30368552,-1.0309072,0.5379274
3420,-0.41300738,0.17458618,0.53627455
3754,-1.0919693,0.06207023,0.48987332
2560,0.349808,-1.0968926,0.51040566
3823,-1.0986857,-1.4071641,0.6606798
2621,-0.26340505,0.12745643,0.5038105
3181,-0.7170203,-0.3757192,0.52709734
2637,-1.9912577,-1.8409063,0.6375669
3328,-0.8279283,0.16261584,0.79395825
3437,0.3477231,0.7538188,1.632566
3971,-1.8981875,-2.5878487,0.6682484
3631,-0.25432196,-1.0932581,0.58127725
2409,0.087141424,1.5399475,0.48607427
2792,-1.0468625,0.9778544,0.49320942
3211,-0.74923253,0.12390888,0.52191097
2744,-1.5052767,-1.9767051,0.6460775
3367,-1.7665591,-2.405531,0.64686334
2162,-1.3476614,-0.06741881,0.5857331
2118,-2.9418006,-2.9660015,0.6461712
