,y_hat
3628,False
3229,False
2585,False
2432,False
2460,False
2673,False
3117,False
3155,False
2148,False
2157,False
2430,False
3871,False
3265,False
3654,False
2321,False
3523,False
3535,False
3395,False
2588,False
2333,False
2107,False
2961,False
2893,False
2128,False
3025,False
3325,False
2480,False
3672,False
3422,False
2518,False
2857,False
2117,False
2919,False
3066,False
2571,False
2207,False
3109,False
3810,False
3915,False
2263,False
3933,False
3869,False
3590,False
2253,False
2061,False
3583,False
3648,False
2197,False
3763,False
2908,False
2781,False
2696,False
3543,False
3234,False
2433,False
3281,False
3287,False
2254,False
3936,False
3192,False
2599,False
3557,False
3510,False
2852,False
2079,False
3676,False
3787,False
3969,False
2003,False
2180,False
2720,False
3401,False
3532,False
2559,False
3406,False
2941,False
3127,False
2960,False
3064,False
3340,False
2638,False
2243,False
2447,False
3364,False
2389,False
2774,False
2613,False
3377,False
3629,False
2800,False
3807,False
3918,False
3540,False
2306,False
3998,False
3041,False
3849,False
3993,False
2515,False
2355,False
2186,False
3728,False
2122,False
3745,False
3957,False
3490,False
2126,False
3776,False
3311,False
3235,False
3874,False
3137,False
2795,False
2293,False
2561,False
2317,False
3529,False
2257,False
2553,False
3893,False
2419,False
3875,False
3574,False
2488,False
3056,False
3373,False
3825,False
3282,False
2041,False
2082,False
2085,False
3486,False
3711,False
2543,False
3129,False
2929,False
2755,False
3651,False
2384,False
3296,False
2828,False
3570,False
2410,False
3047,False
3270,False
3300,False
2102,False
2160,False
3848,False
3289,False
2461,False
3494,False
3172,False
2740,False
2140,False
3468,False
3995,False
2932,False
3241,False
3194,False
3026,False
3786,False
2505,False
3533,False
2905,False
2565,False
3314,False
2434,False
2269,False
3260,False
2330,False
2343,False
3824,False
2267,False
2897,False
3292,False
2822,False
2021,False
2437,False
2630,False
3956,False
2473,False
3107,False
3707,False
3775,False
2528,False
3931,False
2271,False
3844,False
2621,False
2609,False
2227,False
3562,False
3610,False
2921,False
2590,False
3652,False
3306,False
3972,False
3658,False
