,y
3494,1.0
2696,1.0
2865,1.0
2760,1.0
2808,1.0
2835,1.0
3033,1.0
2386,0.0
2096,0.0
3785,1.0
3345,1.0
2652,1.0
3482,1.0
2303,1.0
2965,1.0
2216,1.0
3675,1.0
3068,1.0
3043,1.0
3234,1.0
3035,1.0
3298,1.0
2092,1.0
2575,1.0
2699,1.0
2890,1.0
2014,1.0
3400,1.0
3972,1.0
2524,1.0
2582,1.0
2686,1.0
3847,1.0
3440,1.0
3809,1.0
3433,1.0
2494,1.0
2540,0.0
3478,1.0
3550,1.0
3770,1.0
2586,1.0
3725,1.0
2478,1.0
3044,1.0
2750,1.0
2786,1.0
3049,1.0
3653,1.0
2861,1.0
3147,0.0
3217,0.0
3299,1.0
3566,1.0
3882,0.0
3616,1.0
2366,0.0
3117,1.0
2549,1.0
2653,1.0
3451,1.0
2685,1.0
3111,1.0
2148,0.0
2809,0.0
3327,1.0
2194,1.0
2963,1.0
3368,1.0
2294,1.0
2579,1.0
2118,1.0
2028,1.0
2966,1.0
2354,1.0
2103,1.0
3466,1.0
2465,1.0
3684,1.0
2257,1.0
2048,0.0
2055,0.0
2329,1.0
2222,0.0
2658,1.0
3373,1.0
3214,1.0
3599,0.0
2907,1.0
2340,1.0
2798,1.0
3983,0.0
2384,1.0
2290,1.0
2944,1.0
3814,1.0
2588,1.0
3193,1.0
3654,1.0
2342,0.0
2448,1.0
2331,1.0
3692,1.0
3549,1.0
2866,1.0
3471,1.0
2244,1.0
3739,1.0
3322,1.0
2287,1.0
3735,1.0
3817,0.0
2133,1.0
2645,0.0
3179,1.0
3938,0.0
3501,1.0
2265,1.0
2618,1.0
2485,1.0
2452,1.0
3530,1.0
3508,1.0
2643,1.0
3644,1.0
2236,1.0
2421,1.0
3660,1.0
3315,1.0
3042,1.0
2759,1.0
3008,1.0
2238,1.0
2416,1.0
2802,1.0
3577,1.0
2371,1.0
2673,1.0
3484,1.0
2627,1.0
3381,1.0
3956,1.0
3134,1.0
2336,1.0
3118,1.0
2441,1.0
2225,1.0
3314,1.0
3426,1.0
3793,1.0
3579,1.0
3873,1.0
3540,1.0
3431,1.0
3986,0.0
2112,1.0
3244,1.0
3313,0.0
3132,1.0
2704,1.0
2596,1.0
2630,1.0
2891,1.0
2610,1.0
2012,1.0
3124,1.0
3519,1.0
3548,1.0
2875,1.0
3130,1.0
3952,1.0
3237,1.0
2119,1.0
2762,1.0
2069,1.0
2347,1.0
2887,1.0
3594,1.0
3988,0.0
2666,0.0
2878,1.0
2001,1.0
2631,1.0
2316,1.0
2277,1.0
2838,1.0
3872,1.0
2519,1.0
2660,1.0
2749,1.0
2707,0.0
3539,1.0
2518,1.0
2936,1.0
3829,1.0
3242,1.0
3763,1.0
3608,1.0
3094,1.0
2310,1.0
