,y
3701,0.0
3408,0.0
3869,0.0
3683,1.0
2247,0.0
3746,0.0
2861,0.0
3578,0.0
2267,0.0
2530,1.0
3531,0.0
2887,0.0
3412,0.0
2164,0.0
2519,1.0
2848,1.0
2470,0.0
3061,0.0
2433,0.0
3825,0.0
3790,0.0
3139,0.0
3614,1.0
3312,0.0
3347,0.0
3427,0.0
2003,0.0
2245,0.0
2764,0.0
3086,0.0
2543,0.0
2804,0.0
2143,1.0
2063,0.0
3385,1.0
2487,0.0
2035,0.0
3832,0.0
2620,0.0
2636,0.0
3256,0.0
2287,0.0
2366,0.0
2083,0.0
2024,0.0
3045,0.0
3250,1.0
2816,0.0
3774,0.0
3364,0.0
2568,0.0
2825,0.0
3465,0.0
2770,0.0
2790,0.0
2050,0.0
2650,0.0
3942,0.0
2677,1.0
2886,0.0
2674,0.0
3536,0.0
3804,0.0
2588,0.0
2824,0.0
3393,0.0
3129,0.0
2845,0.0
2776,0.0
3689,1.0
2507,1.0
3016,0.0
3307,0.0
2656,0.0
2147,0.0
3050,0.0
2513,0.0
3395,0.0
3386,0.0
3805,1.0
3813,0.0
2238,0.0
2717,0.0
3589,0.0
2346,0.0
2871,0.0
2978,0.0
3700,1.0
3178,0.0
3245,0.0
3725,0.0
3808,0.0
2423,0.0
3705,0.0
2667,0.0
3643,0.0
2860,0.0
3124,0.0
3463,1.0
3639,0.0
3626,0.0
2923,1.0
2547,1.0
2256,0.0
2802,0.0
3558,0.0
3763,0.0
2141,0.0
2544,0.0
2889,0.0
3059,0.0
3148,0.0
3609,0.0
2556,0.0
2418,0.0
2130,0.0
3750,0.0
3286,0.0
2975,0.0
2571,1.0
3664,0.0
3984,0.0
3343,0.0
3462,1.0
3214,0.0
2991,0.0
2722,1.0
2359,0.0
3786,0.0
3495,0.0
3999,0.0
3569,1.0
3837,0.0
3146,0.0
3491,1.0
3703,0.0
3742,0.0
2686,0.0
2525,1.0
3504,0.0
2852,0.0
2469,0.0
3913,0.0
2466,0.0
2702,0.0
3880,0.0
2557,0.0
3860,0.0
3828,0.0
2780,0.0
2757,0.0
2098,0.0
3909,0.0
3299,0.0
3137,0.0
2148,0.0
3640,1.0
2885,0.0
2689,0.0
3611,0.0
2624,0.0
3955,0.0
2573,0.0
3126,0.0
2953,0.0
2788,0.0
3488,0.0
2741,0.0
2710,0.0
2693,0.0
2541,1.0
2086,0.0
2334,0.0
2902,0.0
2803,0.0
3189,0.0
2012,0.0
2153,0.0
3223,0.0
3518,0.0
2356,0.0
3753,0.0
3899,0.0
2895,0.0
2863,0.0
3306,0.0
3486,1.0
3580,0.0
2559,1.0
2411,0.0
2933,0.0
3538,0.0
3091,0.0
3237,1.0
2263,1.0
2227,0.0
3241,0.0
2538,0.0
2742,0.0
2061,1.0
