,years_experience,degree,nr_commits,nr_languages,nr_stars
2848,3.0,1.0,34.0,3.0,1.0
3607,1.0,1.0,12.0,9.0,3.0
2554,2.0,0.0,25.0,2.0,1.0
2232,0.0,0.0,3.0,0.0,5.0
2948,1.0,1.0,16.0,10.0,4.0
2962,2.0,0.0,25.0,2.0,1.0
3912,3.0,0.0,31.0,4.0,1.0
2403,1.0,1.0,15.0,4.0,5.0
2440,0.0,0.0,2.0,2.0,7.0
2105,0.0,0.0,2.0,4.0,11.0
3716,3.0,0.0,33.0,2.0,5.0
3218,3.0,0.0,35.0,0.0,3.0
2453,2.0,1.0,26.0,3.0,2.0
2500,0.0,0.0,6.0,1.0,8.0
2570,1.0,0.0,12.0,3.0,2.0
2574,0.0,2.0,4.0,15.0,0.0
3698,2.0,0.0,22.0,2.0,8.0
3210,3.0,0.0,35.0,2.0,4.0
3339,3.0,0.0,32.0,10.0,5.0
3124,2.0,0.0,23.0,4.0,10.0
3556,2.0,0.0,27.0,5.0,0.0
2176,2.0,0.0,22.0,5.0,1.0
2909,1.0,0.0,13.0,6.0,2.0
3229,3.0,0.0,31.0,3.0,1.0
2782,0.0,1.0,2.0,4.0,3.0
2780,2.0,1.0,26.0,1.0,2.0
3866,1.0,1.0,12.0,9.0,3.0
3378,3.0,0.0,38.0,3.0,3.0
3551,2.0,0.0,23.0,6.0,2.0
2198,2.0,0.0,24.0,1.0,6.0
2017,2.0,0.0,24.0,3.0,1.0
3402,1.0,1.0,10.0,5.0,2.0
3718,2.0,0.0,22.0,7.0,1.0
2623,2.0,1.0,21.0,9.0,2.0
2661,0.0,1.0,1.0,5.0,10.0
3041,1.0,0.0,15.0,5.0,3.0
3016,1.0,0.0,15.0,4.0,1.0
2669,1.0,1.0,15.0,1.0,5.0
2644,3.0,0.0,37.0,3.0,0.0
2899,2.0,1.0,29.0,0.0,4.0
2260,2.0,0.0,26.0,6.0,4.0
3599,0.0,1.0,4.0,11.0,1.0
3322,3.0,0.0,37.0,1.0,3.0
2699,2.0,0.0,25.0,8.0,2.0
3999,0.0,1.0,4.0,2.0,4.0
3692,0.0,3.0,1.0,1.0,10.0
2138,0.0,0.0,3.0,1.0,6.0
3770,2.0,0.0,22.0,15.0,8.0
2650,0.0,1.0,5.0,6.0,5.0
2742,4.0,0.0,44.0,1.0,3.0
3013,2.0,0.0,23.0,3.0,4.0
2128,1.0,0.0,14.0,10.0,4.0
2636,1.0,0.0,10.0,6.0,5.0
2271,1.0,0.0,14.0,3.0,2.0
2325,1.0,1.0,11.0,2.0,1.0
2159,2.0,0.0,24.0,4.0,4.0
2513,1.0,2.0,16.0,5.0,2.0
2766,0.0,0.0,2.0,4.0,3.0
3566,1.0,2.0,12.0,3.0,4.0
3280,2.0,1.0,23.0,1.0,4.0
3445,2.0,0.0,25.0,4.0,3.0
2069,2.0,0.0,25.0,5.0,0.0
2472,1.0,1.0,12.0,16.0,5.0
2239,0.0,0.0,5.0,6.0,3.0
3270,0.0,0.0,2.0,2.0,2.0
2982,1.0,0.0,19.0,1.0,1.0
2649,3.0,0.0,31.0,4.0,2.0
3109,4.0,0.0,45.0,1.0,3.0
2387,1.0,0.0,13.0,12.0,4.0
2763,0.0,0.0,2.0,2.0,1.0
3922,1.0,0.0,14.0,5.0,4.0
3126,1.0,0.0,12.0,10.0,1.0
3024,3.0,0.0,33.0,6.0,5.0
3975,2.0,1.0,24.0,2.0,6.0
2980,2.0,0.0,20.0,9.0,4.0
2151,0.0,0.0,8.0,4.0,0.0
3569,0.0,2.0,4.0,10.0,2.0
3749,3.0,0.0,35.0,5.0,3.0
2919,2.0,0.0,24.0,2.0,4.0
3589,1.0,0.0,17.0,7.0,5.0
2137,2.0,0.0,25.0,6.0,2.0
2083,2.0,0.0,31.0,10.0,3.0
3907,3.0,0.0,34.0,1.0,9.0
3675,3.0,0.0,31.0,3.0,2.0
2756,2.0,0.0,24.0,2.0,4.0
