ix,goal_cost,intv_cost
3893,1.0,0.08270000000000001
2694,1.0,0.0843
2339,1.0,0.1822
2554,1.0,0.0826
2877,1.0,0.0826
2198,1.0,0.0834
2661,1.0,0.08460000000000001
3349,1.0,0.0826
2931,1.0,0.0826
3768,1.0,0.08370000000000001
2069,1.0,0.0821
3450,1.0,0.0844
2652,1.0,0.082
2525,1.0,0.1821
2508,1.0,0.084
3105,1.0,0.08370000000000001
2465,1.0,0.08420000000000001
3971,1.0,0.0826
3365,1.0,0.08270000000000001
3693,1.0,0.0829
3118,1.0,0.0829
2054,1.0,0.08310000000000001
3745,1.0,0.0828
2721,1.0,0.082
2617,1.0,0.08360000000000001
2817,1.0,0.082
3917,1.0,0.0829
2232,1.0,0.084
2677,1.0,0.08460000000000001
2632,1.0,0.08360000000000001
3134,1.0,0.0821
3892,1.0,0.0834
3877,1.0,0.08220000000000001
2823,1.0,0.0835
2206,1.0,0.083
2616,1.0,0.0835
3625,1.0,0.0839
2454,1.0,0.0821
3881,1.0,0.0835
2609,1.0,0.081
2100,1.0,0.08370000000000001
3703,1.0,0.0834
3596,1.0,0.0835
2418,1.0,0.0843
2680,1.0,0.08270000000000001
3308,1.0,0.0826
2047,1.0,0.083
3689,1.0,0.08360000000000001
2448,1.0,0.0828
3388,1.0,0.083
3812,1.0,0.0849
2306,1.0,0.08360000000000001
2967,1.0,0.0823
2151,1.0,0.0844
2893,1.0,0.08310000000000001
3054,1.0,0.0844
2113,1.0,0.0844
2211,1.0,0.08170000000000001
2284,1.0,0.0821
2919,1.0,0.0824
3792,1.0,0.08420000000000001
2713,1.0,0.0825
2162,1.0,0.08170000000000001
3872,1.0,0.0839
2758,1.0,0.0844
2855,1.0,0.0826
2319,1.0,0.0823
3690,1.0,0.0847
3170,1.0,0.08370000000000001
3613,1.0,0.084
3030,1.0,0.082
3336,1.0,0.0824
2077,1.0,0.0818
3845,1.0,0.08310000000000001
3467,1.0,0.0847
2513,1.0,0.0834
3142,1.0,0.08310000000000001
2604,1.0,0.0823
3213,1.0,0.1839
2573,1.0,0.083
2832,1.0,0.18130000000000002
3229,1.0,0.0815
2111,1.0,0.08370000000000001
3266,1.0,0.0839
2622,1.0,0.08370000000000001
2885,1.0,0.0828
2136,1.0,0.08320000000000001
2756,1.0,0.184
2491,1.0,0.08270000000000001
3217,1.0,0.1821
2244,1.0,0.08270000000000001
2895,1.0,0.08310000000000001
2800,1.0,0.1825
2712,1.0,0.0824
3874,1.0,0.1827
3901,1.0,0.0838
2393,1.0,0.0838
3981,1.0,0.18130000000000002
3494,1.0,0.1832
2346,1.0,0.1819
3739,1.0,0.0816
2658,1.0,0.0824
3699,1.0,0.08310000000000001
3599,1.0,0.08410000000000001
3960,1.0,0.0823
2993,1.0,0.08320000000000001
3520,1.0,0.18280000000000002
3177,1.0,0.0839
2473,1.0,0.08220000000000001
2531,1.0,0.0835
2760,1.0,0.0829
3012,1.0,0.0847
3929,1.0,0.18280000000000002
3806,1.0,0.08370000000000001
3940,1.0,0.08420000000000001
2320,1.0,0.0845
3821,1.0,0.08360000000000001
2361,1.0,0.18330000000000002
3301,1.0,0.08310000000000001
2365,1.0,0.0818
3126,1.0,0.08370000000000001
2650,1.0,0.0845
2250,1.0,0.08360000000000001
2183,1.0,0.08370000000000001
2770,1.0,0.08410000000000001
2996,1.0,0.08220000000000001
2323,1.0,0.0829
2596,1.0,0.08360000000000001
3104,1.0,0.08310000000000001
2537,1.0,0.0834
3416,1.0,0.08220000000000001
2370,1.0,0.0828
3436,1.0,0.0828
2440,1.0,0.08510000000000001
3043,1.0,0.0826
2497,1.0,0.1829
2107,1.0,0.0821
3598,1.0,0.0847
2649,1.0,0.1831
3413,1.0,0.0819
3390,1.0,0.0838
2179,1.0,0.28650000000000003
2757,1.0,0.0824
2156,1.0,0.0845
2209,1.0,0.08320000000000001
2161,1.0,0.0823
2457,1.0,0.08270000000000001
3750,1.0,0.085
3735,1.0,0.0828
3458,1.0,0.0828
3552,1.0,0.0821
2246,1.0,0.0823
3607,1.0,0.0838
3013,1.0,0.08270000000000001
3759,1.0,0.0849
3357,1.0,0.0834
3692,1.0,0.0002
3663,1.0,0.0824
2815,1.0,0.2842
3283,1.0,0.0844
3844,1.0,0.08410000000000001
2090,1.0,0.0824
2636,1.0,0.0835
2496,1.0,0.0847
3448,1.0,0.08410000000000001
3083,1.0,0.08460000000000001
3337,1.0,0.0847
2716,1.0,0.0843
2751,1.0,0.08420000000000001
2644,1.0,0.0815
3011,1.0,0.0819
2672,1.0,0.08270000000000001
2434,1.0,0.1819
2221,1.0,0.0835
3063,1.0,0.083
3433,1.0,0.0833
2502,1.0,0.0829
2239,1.0,0.0844
2274,1.0,0.18280000000000002
2402,1.0,0.0845
3631,1.0,0.0844
2602,1.0,0.08270000000000001
3008,1.0,0.082
2962,1.0,0.1836
3370,1.0,0.08420000000000001
2600,1.0,0.0847
2114,1.0,0.0821
3675,1.0,0.18280000000000002
3218,1.0,0.0818
2719,1.0,0.082
3930,1.0,0.08320000000000001
2813,1.0,0.0848
2740,1.0,0.18180000000000002
3657,1.0,0.0847
3588,1.0,0.08410000000000001
3497,1.0,0.0814
2555,1.0,0.1816
2196,1.0,0.0847
2601,1.0,0.08510000000000001
2385,1.0,0.081
