,years_experience,degree,nr_commits,nr_languages,nr_stars
2087,0.0,0.0,854.0,2.0,3.0
3745,2.0,0.0,847.0,13.0,6.0
3337,0.0,1.0,845.0,3.0,7.0
3463,2.0,0.0,850.0,7.0,3.0
2300,1.0,0.0,847.0,3.0,1.0
2445,3.0,0.0,1856.0,8.0,5.0
2140,3.0,0.0,854.0,1.0,3.0
2915,3.0,1.0,1855.0,4.0,7.0
3599,0.0,1.0,854.0,11.0,1.0
3018,4.0,0.0,1862.0,8.0,5.0
3690,0.0,1.0,848.0,5.0,6.0
2895,2.0,0.0,848.0,6.0,13.0
3075,3.0,0.0,850.0,4.0,5.0
3317,2.0,1.0,845.0,7.0,2.0
2352,0.0,2.0,846.0,7.0,4.0
3340,3.0,1.0,1861.0,10.0,0.0
2931,3.0,0.0,1857.0,8.0,4.0
2497,3.0,0.0,1853.0,2.0,5.0
3778,1.0,0.0,845.0,8.0,2.0
3209,1.0,1.0,845.0,5.0,0.0
2149,1.0,0.0,846.0,7.0,5.0
3996,1.0,0.0,850.0,1.0,3.0
3056,3.0,0.0,1858.0,3.0,3.0
2909,1.0,0.0,845.0,6.0,2.0
2196,0.0,2.0,850.0,0.0,1.0
2723,1.0,0.0,849.0,0.0,4.0
2193,1.0,0.0,850.0,1.0,5.0
2538,0.0,2.0,856.0,21.0,6.0
2241,2.0,0.0,850.0,0.0,3.0
3127,4.0,0.0,2864.0,2.0,8.0
3533,0.0,1.0,845.0,7.0,1.0
3054,0.0,0.0,848.0,3.0,8.0
2132,0.0,2.0,850.0,2.0,4.0
2626,1.0,2.0,844.0,13.0,2.0
3846,0.0,0.0,851.0,2.0,3.0
2348,3.0,0.0,1851.0,3.0,2.0
2528,1.0,1.0,846.0,4.0,14.0
3217,3.0,0.0,850.0,7.0,6.0
2996,2.0,1.0,1855.0,2.0,3.0
3084,3.0,0.0,1855.0,3.0,4.0
2386,1.0,0.0,849.0,1.0,3.0
2923,1.0,0.0,851.0,2.0,5.0
3768,1.0,0.0,852.0,10.0,1.0
3981,3.0,0.0,848.0,1.0,1.0
2622,1.0,0.0,845.0,1.0,2.0
2209,2.0,0.0,1862.0,0.0,1.0
3922,1.0,0.0,849.0,5.0,4.0
2153,2.0,0.0,850.0,4.0,4.0
3698,2.0,0.0,851.0,2.0,8.0
2253,0.0,0.0,852.0,3.0,6.0
2385,4.0,0.0,1863.0,0.0,3.0
3861,1.0,0.0,850.0,9.0,4.0
3504,2.0,0.0,845.0,3.0,3.0
2740,4.0,0.0,1862.0,2.0,8.0
3551,2.0,0.0,852.0,6.0,2.0
3014,2.0,0.0,845.0,3.0,3.0
2525,3.0,0.0,1854.0,2.0,1.0
3871,3.0,0.0,1859.0,1.0,3.0
3020,2.0,1.0,1856.0,3.0,2.0
2918,1.0,0.0,844.0,7.0,6.0
2226,2.0,0.0,852.0,0.0,4.0
3349,2.0,0.0,849.0,0.0,7.0
2867,2.0,0.0,850.0,4.0,4.0
3462,1.0,1.0,841.0,1.0,1.0
2885,1.0,2.0,848.0,3.0,1.0
3917,2.0,0.0,1860.0,0.0,6.0
2786,1.0,0.0,847.0,11.0,4.0
2393,1.0,0.0,848.0,3.0,5.0
3475,2.0,0.0,1859.0,2.0,0.0
3125,3.0,0.0,844.0,2.0,2.0
2760,2.0,0.0,855.0,2.0,4.0
2677,0.0,1.0,850.0,5.0,6.0
3004,2.0,1.0,850.0,13.0,8.0
2137,2.0,0.0,849.0,6.0,2.0
