,y_hat
2400,False
3274,False
2109,False
3932,False
3704,False
2761,False
3578,False
2170,False
3543,False
2618,False
2817,False
3629,False
3613,False
2068,False
2512,False
2337,False
2208,False
2489,False
2707,False
3735,False
2465,False
3980,False
2677,False
2555,False
3252,False
2350,False
2474,False
3842,False
3686,False
3489,False
2722,False
3469,False
2389,False
2459,False
3517,False
3086,False
2828,False
2402,False
2876,False
3127,False
3386,False
2624,False
3106,False
2833,False
2638,False
2616,False
2881,False
2668,False
3440,False
3749,False
2801,False
3325,False
3630,False
2144,False
3379,False
2998,False
2779,False
2870,False
3458,False
2533,False
2121,False
2001,False
2675,False
2192,False
3412,False
2165,False
3601,False
2656,False
2470,False
2367,False
3879,False
3363,False
3575,False
3344,False
3633,False
3772,False
3248,False
3505,False
2175,False
2560,False
2101,False
3400,False
2936,False
2298,False
3828,False
3946,False
2546,False
3680,False
2966,False
2514,False
3196,False
2741,False
3245,False
2576,False
2680,False
3606,False
2306,False
2267,False
2758,False
2095,False
3418,False
2691,False
3277,False
3376,False
2486,False
3288,False
2934,False
2372,False
3342,False
3763,False
2620,False
3068,False
2794,False
3059,False
2785,False
3413,False
3211,False
3810,False
2132,False
3724,False
3788,False
2814,False
3303,False
2380,False
3147,False
3119,False
3219,False
3070,False
3773,False
3437,False
2091,False
3370,False
3594,False
3500,False
2027,False
3775,False
3377,False
2075,False
3714,False
3112,False
2440,False
2845,False
3870,False
2243,False
3648,False
2194,False
2334,False
3581,False
3777,False
3743,False
2275,False
3926,False
2565,False
3191,False
3193,False
3131,False
3492,False
2361,False
2354,False
2094,False
3537,False
2118,False
3756,False
3228,False
2771,False
3850,False
2885,False
3858,False
3422,False
3650,False
2939,False
3834,False
3067,False
3989,False
3762,False
3214,False
3023,False
2447,False
3845,False
2450,False
2188,False
3108,False
2392,False
2581,False
3807,False
3679,False
2717,False
2422,False
3526,False
3146,False
3339,False
3450,False
3039,False
2775,False
2167,False
2614,False
3576,False
3018,False
3030,False
3206,False
