,years_experience,degree,nr_commits,nr_languages,nr_stars
3673,0.0,0.0,1.0,2.0,4.0
3689,3.0,1.0,34.0,6.0,1.0
2829,0.0,1.0,3.0,2.0,3.0
3193,0.0,2.0,5.0,2.0,1.0
2042,1.0,0.0,14.0,1.0,1.0
3234,1.0,0.0,16.0,2.0,1.0
3502,1.0,0.0,13.0,7.0,4.0
3802,0.0,2.0,3.0,1.0,5.0
2122,1.0,0.0,16.0,1.0,7.0
2234,2.0,0.0,22.0,15.0,9.0
3108,2.0,0.0,24.0,4.0,4.0
2680,2.0,0.0,26.0,4.0,5.0
2664,1.0,0.0,13.0,4.0,2.0
2981,1.0,0.0,15.0,3.0,2.0
2696,2.0,0.0,23.0,5.0,13.0
2658,2.0,0.0,24.0,1.0,2.0
3901,1.0,1.0,18.0,9.0,3.0
3698,2.0,0.0,23.0,8.0,2.0
3264,2.0,0.0,24.0,3.0,4.0
2711,1.0,0.0,14.0,0.0,3.0
3323,1.0,0.0,15.0,3.0,11.0
2499,2.0,0.0,22.0,1.0,4.0
2768,2.0,1.0,24.0,0.0,5.0
3161,3.0,0.0,34.0,1.0,6.0
3353,1.0,0.0,13.0,0.0,2.0
3724,1.0,0.0,16.0,6.0,0.0
3192,1.0,1.0,12.0,3.0,2.0
3496,1.0,2.0,18.0,7.0,9.0
3975,0.0,0.0,5.0,10.0,1.0
3677,3.0,0.0,37.0,7.0,2.0
2509,1.0,2.0,12.0,3.0,3.0
2840,1.0,0.0,15.0,1.0,6.0
3348,1.0,0.0,14.0,2.0,2.0
3017,3.0,0.0,34.0,1.0,0.0
3024,3.0,0.0,32.0,3.0,3.0
3666,2.0,0.0,23.0,0.0,1.0
2817,2.0,0.0,22.0,0.0,3.0
3628,0.0,1.0,7.0,10.0,0.0
3181,4.0,0.0,46.0,0.0,2.0
3220,2.0,0.0,25.0,1.0,8.0
2374,3.0,0.0,32.0,1.0,4.0
3961,2.0,1.0,24.0,2.0,7.0
3697,2.0,1.0,20.0,5.0,1.0
2428,2.0,0.0,22.0,3.0,4.0
3588,1.0,0.0,12.0,6.0,2.0
3154,1.0,1.0,14.0,6.0,3.0
2133,1.0,0.0,11.0,3.0,2.0
2642,3.0,0.0,34.0,4.0,5.0
2166,2.0,0.0,24.0,7.0,4.0
3135,3.0,0.0,37.0,8.0,6.0
3737,3.0,0.0,33.0,6.0,5.0
2387,2.0,0.0,24.0,6.0,6.0
3621,0.0,2.0,3.0,2.0,2.0
3805,3.0,0.0,32.0,0.0,2.0
3204,3.0,0.0,36.0,6.0,2.0
3292,2.0,0.0,27.0,2.0,3.0
2912,2.0,0.0,26.0,9.0,4.0
3545,0.0,0.0,1.0,2.0,3.0
2718,0.0,2.0,5.0,10.0,8.0
3789,1.0,0.0,15.0,3.0,6.0
2172,0.0,2.0,10.0,6.0,5.0
2463,3.0,0.0,34.0,8.0,2.0
2585,0.0,2.0,5.0,6.0,2.0
3771,1.0,1.0,17.0,1.0,4.0
3360,0.0,1.0,1.0,3.0,5.0
2669,1.0,1.0,14.0,6.0,3.0
3864,1.0,0.0,19.0,7.0,5.0
3836,1.0,1.0,12.0,1.0,2.0
3714,1.0,0.0,15.0,0.0,6.0
3332,3.0,0.0,33.0,4.0,0.0
3567,4.0,0.0,42.0,8.0,2.0
2112,1.0,1.0,15.0,0.0,7.0
3436,0.0,1.0,5.0,3.0,2.0
3068,1.0,0.0,15.0,2.0,5.0
3339,0.0,2.0,1.0,4.0,4.0
3922,0.0,1.0,0.0,3.0,1.0
3167,1.0,1.0,14.0,3.0,3.0
3953,3.0,0.0,33.0,1.0,1.0
2019,1.0,0.0,15.0,3.0,3.0
3163,3.0,0.0,32.0,3.0,0.0
3822,2.0,0.0,23.0,4.0,3.0
3553,0.0,0.0,5.0,6.0,5.0
3589,2.0,0.0,22.0,1.0,2.0
2245,1.0,1.0,16.0,0.0,5.0
2479,1.0,0.0,17.0,4.0,0.0
3987,3.0,0.0,35.0,4.0,0.0
2890,2.0,0.0,26.0,3.0,0.0
3585,1.0,0.0,13.0,1.0,2.0
2784,2.0,0.0,22.0,4.0,2.0
2468,4.0,0.0,43.0,1.0,1.0
3402,1.0,0.0,12.0,2.0,2.0
3812,2.0,0.0,23.0,0.0,0.0
2918,2.0,0.0,22.0,0.0,1.0
3094,3.0,0.0,32.0,3.0,3.0
2332,4.0,0.0,43.0,0.0,1.0
2624,0.0,2.0,3.0,6.0,5.0
3704,3.0,0.0,34.0,8.0,7.0
3755,3.0,0.0,31.0,5.0,1.0
2896,0.0,1.0,1.0,6.0,7.0
3364,3.0,0.0,33.0,10.0,1.0
3015,0.0,0.0,6.0,3.0,5.0
3706,2.0,1.0,26.0,0.0,5.0
3863,2.0,0.0,27.0,9.0,4.0
2383,0.0,1.0,5.0,6.0,3.0
2393,2.0,0.0,25.0,3.0,5.0
2616,0.0,0.0,3.0,3.0,3.0
3363,1.0,0.0,17.0,2.0,5.0
3702,1.0,1.0,15.0,3.0,5.0
3754,2.0,0.0,21.0,7.0,7.0
2476,1.0,1.0,16.0,7.0,7.0
3289,1.0,1.0,12.0,8.0,5.0
2188,0.0,1.0,5.0,2.0,6.0
3487,2.0,0.0,26.0,3.0,5.0
3123,3.0,0.0,33.0,3.0,3.0
3304,1.0,0.0,11.0,4.0,2.0
