,years_experience,degree,nr_commits,nr_languages,nr_stars
3809,3.0,1.0,3032.0,6.0,15.0
3741,1.0,3.0,1013.0,1.0,17.0
3498,1.0,3.0,1012.0,8.0,11.0
2501,1.0,3.0,1011.0,3.0,14.0
2139,1.0,3.0,1012.0,2.0,14.0
2163,1.0,3.0,1014.0,5.0,10.0
3789,1.0,3.0,1015.0,4.0,16.0
3516,1.0,3.0,1014.0,1.0,17.0
2838,2.0,2.0,2027.0,2.0,13.0
3901,1.0,3.0,1018.0,10.0,13.0
2585,1.0,3.0,1015.0,7.0,12.0
3454,1.0,3.0,1016.0,3.0,15.0
3528,2.0,2.0,2021.0,2.0,17.0
3651,2.0,2.0,2024.0,1.0,14.0
2399,3.0,1.0,3037.0,9.0,15.0
3229,2.0,2.0,2028.0,6.0,13.0
3303,2.0,2.0,2023.0,4.0,13.0
2923,4.0,1.0,4045.0,2.0,15.0
2609,2.0,2.0,2022.0,8.0,25.0
2890,3.0,1.0,3036.0,4.0,10.0
3172,3.0,1.0,3031.0,1.0,12.0
3233,1.0,3.0,1012.0,3.0,19.0
2943,1.0,3.0,1011.0,2.0,14.0
2031,3.0,2.0,3039.0,3.0,13.0
3359,1.0,3.0,1015.0,3.0,13.0
2793,1.0,3.0,1015.0,6.0,15.0
3658,1.0,3.0,1012.0,4.0,21.0
2107,5.0,0.0,5054.0,8.0,13.0
2884,1.0,3.0,1014.0,5.0,16.0
2976,2.0,2.0,2025.0,1.0,17.0
2717,5.0,0.0,5054.0,3.0,15.0
2854,1.0,3.0,1010.0,2.0,17.0
2616,2.0,2.0,2023.0,4.0,13.0
2784,2.0,2.0,2022.0,5.0,12.0
3801,1.0,3.0,1011.0,1.0,14.0
3869,1.0,3.0,1016.0,7.0,15.0
3332,5.0,0.0,5053.0,5.0,10.0
3649,1.0,3.0,1017.0,1.0,11.0
3380,2.0,2.0,2024.0,1.0,17.0
2514,2.0,2.0,2026.0,2.0,13.0
3103,1.0,3.0,1012.0,1.0,12.0
2592,3.0,1.0,3032.0,6.0,13.0
3347,3.0,1.0,3037.0,4.0,17.0
3785,1.0,3.0,1013.0,10.0,15.0
3090,4.0,1.0,4045.0,5.0,18.0
2541,1.0,3.0,1015.0,10.0,16.0
2044,3.0,1.0,3034.0,1.0,18.0
3126,1.0,3.0,1016.0,3.0,13.0
3200,3.0,1.0,3033.0,4.0,13.0
3581,2.0,2.0,2025.0,5.0,15.0
3391,1.0,3.0,1017.0,4.0,11.0
2374,3.0,2.0,3032.0,2.0,14.0
2795,4.0,1.0,4043.0,8.0,15.0
3580,1.0,3.0,1014.0,8.0,12.0
3771,3.0,1.0,3037.0,2.0,14.0
2268,3.0,1.0,3030.0,1.0,11.0
2048,3.0,1.0,32.0,3.0,0.0
3089,3.0,1.0,3036.0,11.0,15.0
2122,1.0,3.0,1016.0,2.0,17.0
3677,4.0,1.0,4047.0,8.0,12.0
3895,2.0,2.0,2024.0,3.0,20.0
2542,3.0,1.0,3032.0,13.0,14.0
2214,2.0,2.0,2023.0,4.0,14.0
3669,2.0,2.0,2026.0,1.0,13.0
3782,2.0,2.0,2023.0,2.0,13.0
3981,1.0,3.0,1014.0,5.0,17.0
2394,1.0,3.0,1014.0,4.0,17.0
3020,1.0,3.0,1012.0,3.0,17.0
2990,1.0,3.0,1012.0,6.0,17.0
2499,2.0,2.0,2022.0,2.0,14.0
2893,2.0,2.0,2024.0,7.0,11.0
3219,1.0,3.0,1014.0,4.0,13.0
2740,1.0,3.0,1013.0,5.0,16.0
3216,3.0,2.0,3033.0,4.0,15.0
2061,2.0,2.0,2021.0,3.0,23.0
2439,2.0,2.0,2023.0,2.0,18.0
2428,2.0,2.0,2022.0,4.0,14.0
2745,1.0,3.0,1013.0,1.0,15.0
2483,2.0,2.0,2024.0,5.0,17.0
3492,1.0,3.0,1019.0,6.0,16.0
3724,1.0,3.0,1016.0,7.0,10.0
3525,2.0,2.0,2026.0,6.0,14.0
3773,3.0,1.0,3036.0,4.0,17.0
2547,2.0,2.0,2023.0,4.0,13.0
2931,3.0,1.0,3032.0,3.0,14.0
2939,1.0,3.0,14.0,3.0,4.0
2994,3.0,2.0,3032.0,8.0,13.0
3596,4.0,1.0,4043.0,2.0,13.0
3123,5.0,0.0,5053.0,4.0,13.0
2027,3.0,2.0,3035.0,10.0,15.0
2468,4.0,1.0,4043.0,2.0,11.0
3470,3.0,1.0,3035.0,1.0,13.0
3684,2.0,2.0,2021.0,2.0,13.0
3594,2.0,2.0,2025.0,3.0,12.0
3402,3.0,1.0,3032.0,3.0,12.0
2260,1.0,3.0,1012.0,4.0,11.0
2642,3.0,2.0,3034.0,5.0,15.0
2587,2.0,2.0,2023.0,11.0,14.0
2390,3.0,1.0,3033.0,6.0,13.0
3930,1.0,3.0,1011.0,2.0,14.0
2183,2.0,2.0,2024.0,6.0,12.0
3016,2.0,2.0,2022.0,3.0,15.0
3872,1.0,3.0,1014.0,1.0,13.0
3154,3.0,1.0,3034.0,7.0,13.0
3711,3.0,1.0,3035.0,5.0,13.0
2040,3.0,1.0,3032.0,2.0,12.0
2938,2.0,2.0,2023.0,7.0,13.0
2919,1.0,3.0,1013.0,4.0,12.0
3224,1.0,3.0,1013.0,3.0,17.0
3495,3.0,1.0,3036.0,5.0,13.0
2174,2.0,2.0,2023.0,3.0,10.0
2722,1.0,3.0,1014.0,2.0,12.0
2545,4.0,1.0,4044.0,4.0,12.0
3179,2.0,2.0,2025.0,1.0,10.0
2731,2.0,2.0,2023.0,4.0,12.0
3896,3.0,1.0,3033.0,2.0,10.0
3461,2.0,2.0,2027.0,6.0,13.0
3820,5.0,0.0,5053.0,8.0,13.0
