,h_post,h_post_individualized
2954,0.62,
3766,0.62,
2076,0.62,
3222,0.66,
3855,0.62,
3525,0.62,
3302,0.62,
3036,0.62,
2450,0.62,
2463,0.62,
2859,0.62,
2844,0.62,
2525,0.62,
2173,0.62,
3960,0.54,
3524,0.72,
3269,0.62,
2330,0.62,
3085,0.62,
3202,0.5,
3384,0.62,
3747,0.62,
3032,0.72,
2006,0.54,
3261,0.62,
3206,0.72,
2577,0.62,
2245,0.62,
2052,0.72,
2014,0.62,
3806,0.62,
3056,0.62,
2020,0.72,
2230,0.62,
3239,0.66,
3691,0.66,
2880,0.72,
2007,0.62,
3742,0.62,
3164,0.62,
2897,0.54,
3304,0.62,
2400,0.54,
2321,0.62,
2726,0.62,
2390,0.62,
3424,0.54,
3494,0.62,
2343,0.62,
2902,0.54,
3432,0.62,
2753,0.62,
3864,0.62,
2120,0.62,
3761,0.62,
2101,0.54,
3100,0.66,
2603,0.62,
3818,0.62,
3178,0.62,
2446,0.62,
2519,0.62,
3454,0.62,
3598,0.62,
3387,0.7,
2163,0.62,
2809,0.62,
2332,0.62,
2568,0.7,
2440,0.82,
3898,0.88,
3257,0.62,
2606,0.62,
2977,0.62,
2148,0.72,
3402,0.54,
3171,0.62,
3873,0.62,
3144,0.62,
2799,0.66,
2031,0.62,
3943,0.62,
2739,0.62,
2289,0.8,
2818,0.62,
2309,0.62,
3870,0.62,
2865,0.62,
3912,0.62,
3838,0.72,
3829,0.66,
3043,0.54,
2911,0.62,
3775,0.62,
2916,0.84,
3478,0.72,
2204,0.72,
3734,0.62,
2564,0.62,
3214,0.62,
3796,0.72,
2192,0.66,
2368,0.54,
3538,0.62,
3583,0.7,
3166,0.62,
2364,0.5,
2396,0.62,
2991,0.84,
3890,0.82,
2909,0.62,
3885,0.62,
2111,0.62,
2609,0.66,
3110,0.62,
3966,0.62,
2578,0.72,
2383,0.96,
3235,0.54,
2522,0.66,
3416,0.86,
2236,0.62,
2246,0.72,
3695,0.66,
2250,0.62,
2521,0.62,
3646,0.62,
2629,0.66,
2948,0.72,
3694,0.62,
2561,0.62,
2142,0.66,
2801,0.62,
2241,0.62,
3564,0.54,
3590,0.66,
3150,0.62,
3872,0.72,
3398,0.54,
2039,0.72,
3553,0.62,
2721,0.62,
2490,0.54,
3819,0.62,
2349,0.7,
2376,0.62,
2476,0.62,
3851,0.72,
2738,0.54,
2734,0.72,
2488,0.62,
3630,0.72,
3023,0.62,
3335,0.62,
3615,0.54,
2910,0.66,
2375,0.62,
2466,0.66,
2777,0.62,
2147,0.72,
3365,0.62,
3992,0.62,
2619,0.7,
2366,0.62,
2384,0.66,
2303,0.62,
3071,0.72,
3172,0.66,
3033,0.62,
2959,0.62,
2406,0.54,
2848,0.5,
2708,0.78,
3264,0.62,
3924,0.62,
3137,0.62,
3014,0.72,
3699,0.66,
2665,0.62,
2573,0.62,
3926,0.62,
2545,0.54,
2159,0.54,
2266,0.72,
3001,0.62,
2023,0.62,
3545,0.62,
2617,0.62,
3697,0.62,
3419,0.54,
2557,0.62,
2853,0.72,
2457,0.66,
2591,0.62,
2178,0.84,
3187,0.62,
2588,0.72,
2890,0.62,
2162,0.62,
2723,0.62,
