,years_experience,degree
3843,0.0,1.0
2142,0.0,1.0
3710,0.0,1.0
2014,1.0,1.0
3859,2.0,1.0
2439,0.0,1.0
3510,0.0,1.0
2001,2.0,1.0
3192,3.0,1.0
2768,0.0,3.0
2249,2.0,1.0
2521,1.0,0.0
3136,0.0,3.0
2852,0.0,1.0
2006,1.0,1.0
2516,0.0,2.0
2572,1.0,3.0
3062,0.0,1.0
2242,1.0,1.0
2490,0.0,1.0
3364,2.0,1.0
3469,3.0,0.0
2539,0.0,3.0
3626,0.0,1.0
3998,0.0,3.0
3748,0.0,1.0
3424,0.0,3.0
3911,3.0,1.0
3068,1.0,1.0
2565,2.0,1.0
3497,2.0,0.0
3158,1.0,1.0
3957,2.0,0.0
2192,2.0,0.0
2960,0.0,1.0
3984,2.0,0.0
3758,1.0,2.0
2824,0.0,2.0
3559,1.0,0.0
2270,0.0,1.0
2830,1.0,3.0
2786,0.0,3.0
3184,0.0,1.0
2734,0.0,2.0
2397,3.0,1.0
3896,0.0,1.0
3076,0.0,2.0
2659,0.0,2.0
3083,1.0,1.0
3485,1.0,0.0
3863,0.0,1.0
2292,1.0,2.0
2239,0.0,1.0
2354,0.0,2.0
3428,0.0,1.0
3492,1.0,1.0
2004,0.0,2.0
3917,0.0,1.0
3028,1.0,1.0
2208,0.0,1.0
3713,1.0,1.0
2330,0.0,2.0
2196,2.0,1.0
3644,1.0,1.0
2492,0.0,2.0
2361,0.0,1.0
3531,2.0,0.0
2226,0.0,1.0
2749,1.0,1.0
3046,0.0,1.0
3204,0.0,2.0
2966,1.0,1.0
2430,0.0,1.0
2755,0.0,2.0
2125,1.0,2.0
2533,0.0,1.0
3238,0.0,1.0
3562,1.0,1.0
3680,1.0,0.0
2383,0.0,3.0
3946,1.0,0.0
2202,0.0,2.0
2656,0.0,2.0
2501,1.0,3.0
2763,0.0,3.0
3900,0.0,2.0
3811,4.0,0.0
3638,1.0,0.0
2300,0.0,1.0
2327,1.0,1.0
3871,0.0,1.0
2714,3.0,0.0
2720,0.0,1.0
2183,1.0,1.0
2247,3.0,0.0
3640,2.0,0.0
2509,0.0,3.0
2274,0.0,2.0
2627,2.0,1.0
3207,1.0,1.0
2611,0.0,2.0
2132,3.0,1.0
2927,0.0,3.0
3392,0.0,2.0
3476,2.0,1.0
2525,0.0,1.0
2978,0.0,1.0
3040,1.0,1.0
3837,0.0,3.0
3705,1.0,1.0
2951,3.0,1.0
3975,0.0,3.0
3358,1.0,1.0
2945,1.0,1.0
2280,1.0,1.0
3674,0.0,3.0
2105,0.0,2.0
2913,2.0,0.0
3907,0.0,1.0
2017,0.0,2.0
2112,2.0,0.0
3460,0.0,3.0
3612,0.0,1.0
2107,0.0,1.0
2464,0.0,1.0
2535,2.0,1.0
2434,2.0,0.0
3375,2.0,0.0
3652,0.0,2.0
3484,1.0,1.0
2745,0.0,1.0
2697,0.0,2.0
2835,0.0,1.0
2438,0.0,1.0
3146,1.0,1.0
2218,1.0,2.0
3706,0.0,1.0
2640,1.0,1.0
2340,1.0,1.0
2880,0.0,2.0
2692,0.0,3.0
2607,0.0,1.0
2073,1.0,1.0
3830,1.0,1.0
3211,1.0,1.0
3563,2.0,1.0
2827,1.0,2.0
2030,0.0,3.0
2695,0.0,2.0
2173,1.0,1.0
2956,0.0,1.0
2566,0.0,1.0
2084,2.0,1.0
3127,0.0,1.0
2943,1.0,0.0
2357,0.0,3.0
2321,2.0,1.0
2575,0.0,1.0
3255,0.0,3.0
3842,3.0,1.0
3787,3.0,1.0
3838,0.0,2.0
3799,1.0,1.0
2150,0.0,1.0
3731,1.0,1.0
3636,0.0,1.0
3038,2.0,0.0
3260,0.0,2.0
3147,1.0,1.0
3659,0.0,3.0
2127,1.0,1.0
3942,0.0,1.0
2355,1.0,0.0
3107,3.0,0.0
2556,1.0,1.0
3334,0.0,1.0
2311,0.0,1.0
2846,0.0,1.0
2376,1.0,1.0
2934,0.0,1.0
2309,1.0,3.0
3604,1.0,1.0
3351,1.0,2.0
3414,0.0,3.0
2952,0.0,1.0
3614,0.0,1.0
3813,1.0,0.0
2808,1.0,1.0
2199,0.0,1.0
3161,0.0,3.0
2265,1.0,2.0
2460,0.0,1.0
3618,2.0,0.0
3368,0.0,1.0
3512,0.0,1.0
3550,2.0,1.0
3764,0.0,2.0
2419,1.0,1.0
2641,1.0,2.0
2174,0.0,1.0
