,years_experience,degree,nr_commits,nr_languages,nr_stars
3186,3.0,0.0,36.0,3.0,5.0
3433,1.0,0.0,14.0,1.0,7.0
3306,3.0,0.0,37.0,1.0,8.0
2806,1.0,0.0,12.0,0.0,4.0
3631,3.0,0.0,33.0,7.0,1.0
3498,2.0,0.0,23.0,0.0,1.0
3020,0.0,1.0,5.0,3.0,1.0
3520,2.0,1.0,26.0,1.0,3.0
3530,1.0,0.0,13.0,3.0,4.0
3768,3.0,0.0,38.0,1.0,4.0
3883,1.0,0.0,13.0,11.0,7.0
3352,0.0,2.0,7.0,2.0,2.0
3379,2.0,0.0,21.0,1.0,3.0
3972,3.0,0.0,37.0,3.0,11.0
3840,3.0,0.0,31.0,1.0,1.0
2051,1.0,2.0,14.0,4.0,4.0
2881,1.0,0.0,14.0,9.0,5.0
3008,1.0,0.0,11.0,17.0,1.0
3460,1.0,2.0,13.0,1.0,6.0
2030,1.0,1.0,13.0,7.0,7.0
3252,2.0,0.0,23.0,1.0,1.0
3033,1.0,1.0,13.0,5.0,6.0
2891,2.0,2.0,26.0,3.0,6.0
3821,2.0,0.0,23.0,1.0,5.0
3956,2.0,0.0,27.0,1.0,0.0
2980,1.0,1.0,15.0,2.0,2.0
3023,0.0,1.0,1.0,9.0,2.0
2128,2.0,0.0,22.0,3.0,3.0
2851,0.0,2.0,3.0,4.0,4.0
2857,1.0,0.0,12.0,4.0,6.0
2254,3.0,0.0,34.0,1.0,3.0
2674,3.0,0.0,33.0,2.0,1.0
3093,0.0,0.0,0.0,1.0,3.0
2566,2.0,0.0,24.0,1.0,2.0
2481,1.0,1.0,13.0,2.0,0.0
2145,3.0,0.0,36.0,1.0,3.0
3677,3.0,0.0,32.0,5.0,3.0
2501,2.0,0.0,27.0,2.0,7.0
2076,0.0,2.0,3.0,5.0,10.0
3659,1.0,2.0,13.0,2.0,5.0
2369,2.0,0.0,26.0,7.0,2.0
3936,0.0,2.0,0.0,4.0,8.0
2309,1.0,1.0,21.0,0.0,6.0
3769,2.0,1.0,23.0,3.0,7.0
2892,3.0,0.0,33.0,1.0,2.0
3604,1.0,1.0,16.0,0.0,5.0
3292,1.0,0.0,12.0,3.0,2.0
3917,1.0,0.0,12.0,5.0,5.0
2209,2.0,0.0,22.0,3.0,2.0
2811,3.0,0.0,35.0,3.0,6.0
2567,0.0,1.0,2.0,2.0,4.0
3928,2.0,0.0,23.0,3.0,2.0
3685,1.0,0.0,12.0,4.0,5.0
2494,1.0,2.0,14.0,6.0,3.0
3692,3.0,0.0,35.0,7.0,4.0
2007,2.0,0.0,24.0,2.0,4.0
2635,3.0,0.0,32.0,2.0,2.0
2298,0.0,0.0,9.0,9.0,5.0
2487,0.0,2.0,2.0,2.0,3.0
2632,3.0,0.0,32.0,9.0,7.0
3617,3.0,0.0,36.0,1.0,7.0
3157,4.0,0.0,42.0,11.0,1.0
3416,2.0,0.0,25.0,1.0,12.0
2362,1.0,1.0,18.0,6.0,0.0
3108,2.0,0.0,25.0,5.0,1.0
3848,3.0,0.0,31.0,5.0,5.0
3872,2.0,1.0,22.0,6.0,9.0
3728,0.0,2.0,6.0,1.0,3.0
2546,1.0,0.0,13.0,3.0,3.0
2288,3.0,0.0,34.0,7.0,5.0
3106,3.0,0.0,34.0,1.0,10.0
3179,0.0,1.0,4.0,7.0,4.0
3641,4.0,0.0,43.0,4.0,2.0
3384,0.0,0.0,5.0,8.0,6.0
2143,2.0,0.0,27.0,4.0,4.0
2396,0.0,1.0,5.0,5.0,4.0
3204,3.0,0.0,34.0,5.0,1.0
3670,2.0,0.0,22.0,0.0,2.0
2858,0.0,0.0,2.0,1.0,2.0
2040,3.0,0.0,34.0,4.0,9.0
2884,1.0,1.0,13.0,7.0,2.0
2551,3.0,0.0,34.0,4.0,3.0
2414,2.0,0.0,24.0,0.0,3.0
3098,2.0,0.0,25.0,7.0,3.0
2407,2.0,0.0,21.0,6.0,6.0
2103,2.0,0.0,22.0,1.0,1.0
3607,2.0,0.0,22.0,0.0,7.0
2460,2.0,0.0,25.0,4.0,0.0
3895,2.0,0.0,24.0,1.0,2.0
3017,1.0,0.0,13.0,4.0,4.0
2920,3.0,0.0,34.0,3.0,5.0
3988,1.0,0.0,13.0,4.0,3.0
2723,3.0,0.0,33.0,2.0,2.0
2919,2.0,0.0,28.0,0.0,6.0
3079,3.0,0.0,31.0,2.0,7.0
2899,0.0,0.0,6.0,8.0,5.0
2888,1.0,1.0,12.0,1.0,3.0
2009,3.0,0.0,32.0,3.0,0.0
2717,0.0,0.0,2.0,0.0,6.0
2623,1.0,0.0,13.0,4.0,1.0
2442,2.0,0.0,28.0,2.0,3.0
2438,0.0,2.0,3.0,4.0,5.0
3107,2.0,0.0,27.0,3.0,5.0
3903,1.0,1.0,14.0,15.0,3.0
2778,3.0,0.0,33.0,6.0,3.0
2485,1.0,0.0,12.0,6.0,6.0
3843,2.0,0.0,23.0,9.0,8.0
2825,3.0,0.0,33.0,0.0,5.0
3032,1.0,0.0,18.0,10.0,1.0
3438,3.0,0.0,35.0,2.0,8.0
2211,2.0,0.0,24.0,1.0,3.0
2729,1.0,0.0,13.0,6.0,5.0
3732,3.0,0.0,33.0,4.0,0.0
2883,0.0,2.0,3.0,7.0,2.0
3479,1.0,0.0,19.0,7.0,4.0
2587,2.0,0.0,23.0,5.0,2.0
3971,3.0,0.0,32.0,8.0,3.0
2550,1.0,0.0,13.0,10.0,1.0
3257,0.0,0.0,1.0,7.0,4.0
2849,0.0,1.0,8.0,9.0,7.0
3457,0.0,1.0,2.0,1.0,1.0
3467,1.0,1.0,13.0,6.0,3.0
3260,2.0,0.0,21.0,3.0,2.0
3314,1.0,0.0,15.0,3.0,2.0
2837,0.0,2.0,3.0,9.0,3.0
3528,1.0,1.0,10.0,5.0,5.0
3244,3.0,0.0,34.0,2.0,1.0
2843,2.0,0.0,23.0,7.0,1.0
2978,2.0,0.0,22.0,0.0,1.0
2490,2.0,0.0,26.0,4.0,5.0
2737,2.0,1.0,24.0,2.0,9.0
2166,0.0,0.0,3.0,3.0,6.0
3421,2.0,1.0,25.0,3.0,7.0
2230,3.0,0.0,35.0,4.0,2.0
3330,0.0,0.0,4.0,0.0,4.0
3716,2.0,0.0,27.0,3.0,4.0
3368,3.0,0.0,31.0,8.0,1.0
3932,2.0,0.0,22.0,3.0,1.0
3154,3.0,0.0,38.0,4.0,1.0
2589,2.0,0.0,23.0,2.0,3.0
3254,1.0,0.0,13.0,7.0,3.0
3503,1.0,2.0,13.0,2.0,5.0
2161,0.0,2.0,4.0,2.0,6.0
3669,2.0,0.0,23.0,5.0,1.0
2307,0.0,0.0,7.0,5.0,2.0
3676,0.0,0.0,5.0,4.0,4.0
2489,4.0,0.0,46.0,7.0,5.0
2378,0.0,0.0,4.0,1.0,2.0
2037,1.0,2.0,11.0,5.0,2.0
3559,1.0,1.0,11.0,0.0,2.0
2712,3.0,0.0,33.0,1.0,1.0
2055,0.0,2.0,7.0,1.0,14.0
3594,1.0,0.0,14.0,6.0,5.0
2873,1.0,0.0,12.0,4.0,13.0
2176,1.0,0.0,13.0,5.0,5.0
2802,4.0,0.0,45.0,0.0,4.0
3535,3.0,0.0,32.0,7.0,4.0
3458,1.0,0.0,21.0,5.0,6.0
3112,2.0,1.0,25.0,1.0,5.0
2405,0.0,0.0,5.0,2.0,7.0
3755,2.0,1.0,23.0,10.0,5.0
2499,1.0,1.0,15.0,5.0,1.0
2068,2.0,0.0,25.0,8.0,1.0
3375,2.0,1.0,25.0,4.0,3.0
2916,1.0,1.0,12.0,2.0,6.0
2848,1.0,2.0,13.0,2.0,1.0
3097,2.0,0.0,21.0,2.0,4.0
3930,1.0,0.0,12.0,1.0,5.0
3985,2.0,0.0,25.0,6.0,2.0
2236,2.0,0.0,22.0,4.0,5.0
3007,0.0,1.0,4.0,2.0,2.0
2191,3.0,0.0,35.0,4.0,6.0
2537,2.0,0.0,24.0,2.0,2.0
2878,2.0,1.0,24.0,5.0,5.0
3396,1.0,0.0,15.0,0.0,7.0
2808,0.0,2.0,8.0,6.0,2.0
2643,1.0,0.0,18.0,1.0,11.0
3137,2.0,0.0,23.0,2.0,4.0
2523,2.0,0.0,23.0,1.0,2.0
2541,0.0,3.0,5.0,11.0,3.0
2323,2.0,0.0,28.0,4.0,3.0
3225,2.0,0.0,23.0,9.0,4.0
2893,0.0,0.0,4.0,1.0,10.0
2860,2.0,1.0,25.0,2.0,3.0
3064,1.0,1.0,14.0,0.0,4.0
3114,2.0,0.0,22.0,5.0,1.0
3453,2.0,0.0,26.0,2.0,1.0
3633,4.0,0.0,43.0,7.0,2.0
2043,2.0,0.0,23.0,11.0,10.0
2665,1.0,1.0,15.0,9.0,10.0
2152,1.0,1.0,10.0,4.0,8.0
2493,3.0,0.0,34.0,6.0,2.0
3718,1.0,1.0,11.0,2.0,5.0
2584,1.0,1.0,16.0,5.0,1.0
2577,2.0,0.0,25.0,1.0,2.0
3810,1.0,0.0,16.0,2.0,1.0
3507,2.0,1.0,26.0,1.0,0.0
3364,0.0,0.0,4.0,5.0,11.0
3425,1.0,0.0,12.0,20.0,4.0
3239,2.0,0.0,22.0,3.0,9.0
