,senior-level_skill
3758,0.0
3996,0.0
3812,0.0
2612,0.0
2103,0.0
2832,0.0
2950,0.0
3408,0.0
2631,0.0
3063,0.0
2323,0.0
2256,0.0
3462,0.0
2307,0.0
2439,0.0
2589,0.0
2000,0.0
2173,0.0
3437,0.0
3175,0.0
2328,0.0
3985,0.0
2376,0.0
2493,0.0
2632,0.0
2448,0.0
2061,0.0
3755,0.0
3685,0.0
3767,0.0
2569,0.0
3280,0.0
2134,0.0
3357,0.0
2801,0.0
2473,0.0
2849,0.0
3659,0.0
2701,0.0
3306,0.0
3679,0.0
3940,0.0
2875,0.0
3914,0.0
2947,0.0
2858,0.0
3479,0.0
2236,0.0
3535,0.0
2206,0.0
2978,0.0
2145,0.0
2298,0.0
3573,0.0
3623,0.0
3870,0.0
2923,0.0
3988,0.0
3416,0.0
3487,0.0
3450,0.0
3999,0.0
2777,0.0
2398,0.0
3835,0.0
3839,0.0
3347,0.0
2055,1.0
3064,0.0
2674,0.0
3776,0.0
2153,0.0
3122,0.0
2504,0.0
2804,0.0
3822,0.0
3454,0.0
2288,0.0
3817,0.0
3580,0.0
2738,0.0
3318,0.0
3009,0.0
2396,0.0
2888,0.0
3886,0.0
3207,0.0
3237,0.0
2393,0.0
2883,0.0
2787,0.0
3013,0.0
2635,0.0
2920,0.0
3108,0.0
2848,0.0
3257,0.0
3090,0.0
2903,0.0
2915,0.0
2072,0.0
2683,0.0
3272,0.0
3150,0.0
3445,0.0
2892,0.0
2198,0.0
3630,0.0
2457,0.0
3931,0.0
3633,0.0
3442,0.0
3574,0.0
3188,0.0
2868,0.0
3199,0.0
3739,0.0
2530,0.0
3559,0.0
2607,0.0
3936,0.0
3292,0.0
2287,0.0
2142,0.0
2445,0.0
3195,0.0
2679,0.0
2862,0.0
3072,0.0
3339,0.0
3683,0.0
2748,0.0
2147,0.0
2343,0.0
2371,0.0
2244,0.0
2879,0.0
2126,0.0
2429,0.0
2117,0.0
2578,0.0
2698,0.0
3185,0.0
2564,0.0
2664,0.0
2476,0.0
2374,0.0
3092,0.0
2518,0.0
3972,0.0
3330,0.0
2696,0.0
2087,0.0
2634,0.0
3693,0.0
2551,0.0
3261,0.0
2962,0.0
3961,0.0
3432,0.0
3054,0.0
2086,0.0
2793,0.0
2893,0.0
2191,0.0
3798,0.0
3112,0.0
3520,0.0
2379,0.0
3757,0.0
3969,0.0
2437,0.0
3648,0.0
2355,0.0
2271,0.0
2415,0.0
3941,0.0
3191,0.0
3718,0.0
2324,0.0
2517,0.0
3529,0.0
3328,0.0
3219,0.0
2808,0.0
3753,0.0
3670,0.0
2015,0.0
3026,0.0
3584,0.0
3702,0.0
2745,0.0
3903,0.0
3613,0.0
2876,0.0
3547,0.0
2544,0.0
2009,0.0
2795,0.0
2426,0.0
